raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Siraj to Jaiswal, 1 run 
short of a length slanting across the left-hander, Jaiswal stays back and cuts hard to 
deep third",0.1,1,1.0,"Siraj to Jaiswal, 1 run  .short of a length slanting across the left-hander, Jaiswal stays back and cuts hard to  .deep third",Siraj,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"0.2 
1w 
Siraj to V Suryavanshi, 1 wide 
short of a length down leg side, too far away for Suryavanshi to make contact with the 
glance",0.2,1w,1.0,"Siraj to V Suryavanshi, 1 wide  .short of a length down leg side, too far away for Suryavanshi to make contact with the  .glance",Siraj,V Suryavanshi,0.0,0,0,0,0,1.0,0,,1
"0.2 
1w 
Siraj to V Suryavanshi, 1 wide 
sprays it far outside off this time, Suryavanshi tries to reach it but it's too wide",0.2,1w,1.0,"Siraj to V Suryavanshi, 1 wide  .sprays it far outside off this time, Suryavanshi tries to reach it but it's too wide",Siraj,V Suryavanshi,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Siraj to V Suryavanshi, no run 
short of a length and much straighter, with serious bounce, squares up the batter and 
beats him with the zip across the left-hander",0.2,0,0.0,"Siraj to V Suryavanshi, no run  .short of a length and much straighter, with serious bounce, squares up the batter and  .beats him with the zip across the left-hander",Siraj,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"0.3 
6 
Siraj to V Suryavanshi, SIX runs 
massive hit down the ground, just pressed forward and swung through the line to 
smash the length ball high and far over the straight boundary 
See all photos",0.3,6,6.0,"Siraj to V Suryavanshi, SIX runs  .massive hit down the ground, just pressed forward and swung through the line to  .smash the length ball high and far over the straight boundary  .See all photos",Siraj,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
"0.4 
1 
Siraj to V Suryavanshi, 1 run 
punched off the back foot to mid off where a fumble allows the single, that was in the 
air and Prasidh tried to reach it with the slide but couldn't stop it cleanly",0.4,1,1.0,"Siraj to V Suryavanshi, 1 run  .punched off the back foot to mid off where a fumble allows the single, that was in the  .air and Prasidh tried to reach it with the slide but couldn't stop it cleanly",Siraj,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Siraj to Jaiswal, 1 run 
short and wide outside off, Jaiswal frees his arms and cuts hard to deep point",0.5,1,1.0,"Siraj to Jaiswal, 1 run  .short and wide outside off, Jaiswal frees his arms and cuts hard to deep point",Siraj,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Siraj to V Suryavanshi, no run 
Siraj bounces the 14-year old, Suryavanshi tries to upper cut but misses 
end of over 111 runs  
RR: 11/0CRR: 11.00 • RRR: 10.47 • Need 199 runs from 114b 
Vaibhav Suryavanshi7 (4b 1x6) 
Yashasvi Jaiswal2 (2b) 
Mohammed Siraj 1-0-11-0 
Ishant Sharma from over the wicket. 
Jay: ""Have you ever seen a captain being subbed out before?"" It's not common but it's 
happened, I'm sure.",0.6,0,0.0,"Siraj to V Suryavanshi, no run  .Siraj bounces the 14-year old, Suryavanshi tries to upper cut but misses",Siraj,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Ishant Sharma to Jaiswal, 1 run 
dropped by Buttler! I'm not sure that was his catch. Jaiswal tried to pull but skied the 
ball high in the air off the top edge, it flew miles in the air towards point, Buttler called 
for it and covered a lot of ground to get to the ball well in time but them dropped it as it 
swirled away from him. The fielder at point would have had much less ground to make 
to reach that catch. Buttler covered 21 metres to get there 
See all photos",1.1,1,1.0,"Ishant Sharma to Jaiswal, 1 run  .dropped by Buttler! I'm not sure that was his catch. Jaiswal tried to pull but skied the  .ball high in the air off the top edge, it flew miles in the air towards point, Buttler called  .for it and covered a lot of ground to get to the ball well in time but them dropped it as it  .swirled away from him. The fielder at point would have had much less ground to make  .to reach that catch. Buttler covered 21 metres to get there  .See all photos",Ishant Sharma,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Ishant Sharma to V Suryavanshi, 1 run 
played into the off side for a single",1.2,1,1.0,"Ishant Sharma to V Suryavanshi, 1 run  .played into the off side for a single",Ishant Sharma,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Ishant Sharma to Jaiswal, no run 
good length outside off, lets it go",1.3,0,0.0,"Ishant Sharma to Jaiswal, no run  .good length outside off, lets it go",Ishant Sharma,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Ishant Sharma to Jaiswal, no run 
good length and straight, Jaiswal defends from his crease 
Vidyut: ""As good as Jos has been with the bat this season, he's had a pretty bad year 
with the gloves"" He did have one superb one-handed catch though.",1.4,0,0.0,"Ishant Sharma to Jaiswal, no run  .good length and straight, Jaiswal defends from his crease",Ishant Sharma,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Ishant Sharma to Jaiswal, no run 
Jaiswal backs away to try and bash a good length ball through cover but can't pierce the 
infield",1.5,0,0.0,"Ishant Sharma to Jaiswal, no run  .Jaiswal backs away to try and bash a good length ball through cover but can't pierce the  .infield",Ishant Sharma,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.6 
6 
Ishant Sharma to Jaiswal, SIX runs 
how far has that gone? Length ball on a wicket to wicket line, Jaiswal clears his front leg 
and simply slams it, hitting the ball on the the roof of a structure beyond the wide long-
on boundary 
end of over 28 runs  
RR: 19/0CRR: 9.50 • RRR: 10.61 • Need 191 runs from 108b 
Yashasvi Jaiswal9 (7b 1x6) 
Vaibhav Suryavanshi8 (5b 1x6) 
Ishant Sharma 1-0-8-0 
Mohammed Siraj 1-0-11-0 
HBK: ""Just noticed that GT's top 3 are all in the top 6 list of Orange Cap holders despite 
the fact that they are all at least one innings short of most other teams. """,1.6,6,6.0,"Ishant Sharma to Jaiswal, SIX runs  .how far has that gone? Length ball on a wicket to wicket line, Jaiswal clears his front leg  .and simply slams it, hitting the ball on the the roof of a structure beyond the wide long- .on boundary",Ishant Sharma,Jaiswal,6.0,0,1,1,1,6.0,0,,1
"2.1 
• 
Siraj to V Suryavanshi, no run 
tries to push a short of a length ball angling across him from over the wicket on the off 
side but gets an inside edge on to his pads",2.1,0,0.0,"Siraj to V Suryavanshi, no run  .tries to push a short of a length ball angling across him from over the wicket on the off  .side but gets an inside edge on to his pads",Siraj,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Siraj to V Suryavanshi, 1 run 
short of a length at the body, Suryavanshi swivels and pulls the ball towards deep 
square leg, did not time that well",2.2,1,1.0,"Siraj to V Suryavanshi, 1 run  .short of a length at the body, Suryavanshi swivels and pulls the ball towards deep  .square leg, did not time that well",Siraj,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"2.3 
4 
Siraj to Jaiswal, FOUR runs 
has that gone all the way? No, just bounced inside the long-on boundary. Siraj banged it 
in short and Jaiswal responded with a flat-batted pull off the back foot",2.3,4,4.0,"Siraj to Jaiswal, FOUR runs  .has that gone all the way? No, just bounced inside the long-on boundary. Siraj banged it  .in short and Jaiswal responded with a flat-batted pull off the back foot",Siraj,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"2.4 
4 
Siraj to Jaiswal, FOUR runs 
Siraj goes fuller with his length outside off and Jaiswal smashes it flat and hard over 
the head of the fielder at mid off",2.4,4,4.0,"Siraj to Jaiswal, FOUR runs  .Siraj goes fuller with his length outside off and Jaiswal smashes it flat and hard over  .the head of the fielder at mid off",Siraj,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
Siraj to Jaiswal, no run 
full ball on the pads, Jaiswal tries to swings it away to long leg but misses and gets hit 
on the pad, Buttler moves to his right and dives to save the boundary",2.5,0,0.0,"Siraj to Jaiswal, no run  .full ball on the pads, Jaiswal tries to swings it away to long leg but misses and gets hit  .on the pad, Buttler moves to his right and dives to save the boundary",Siraj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"2.6 
4 
Siraj to Jaiswal, FOUR runs 
too full on the pads from Siraj and Jaiswal flicks it powerfully into the gap on the deep 
midwicket boundary 
end of over 313 runs  
RR: 32/0CRR: 10.66 • RRR: 10.47 • Need 178 runs from 102b 
Yashasvi Jaiswal21 (11b 3x4 1x6) 
Vaibhav Suryavanshi9 (7b 1x6) 
Mohammed Siraj 2-0-24-0 
Ishant Sharma 1-0-8-0",2.6,4,4.0,"Siraj to Jaiswal, FOUR runs  .too full on the pads from Siraj and Jaiswal flicks it powerfully into the gap on the deep  .midwicket boundary",Siraj,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"3.1 
6 
Ishant Sharma to V Suryavanshi, SIX runs 
how about that from the 14-year old! Moves back and across to a short ball and hooks it 
over the square leg boundary",3.1,6,6.0,"Ishant Sharma to V Suryavanshi, SIX runs  .how about that from the 14-year old! Moves back and across to a short ball and hooks it  .over the square leg boundary",Ishant Sharma,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
"3.2 
6 
Ishant Sharma to V Suryavanshi, SIX runs 
Ishant Sharma has been smashed into the first tier beyond the midwicket boundary! 
Tremendous hitting. The ball was too full this time and he just launched it miles with a 
wristy flick 
Tanay: ""Does RR have a chance? Seems like it if Jaiswal and Suryavanshi build a steady 
partnership now..."" Steady? This is rock and roll batting.",3.2,6,6.0,"Ishant Sharma to V Suryavanshi, SIX runs  .Ishant Sharma has been smashed into the first tier beyond the midwicket boundary!  .Tremendous hitting. The ball was too full this time and he just launched it miles with a  .wristy flick",Ishant Sharma,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
"3.3 
4 
Ishant Sharma to V Suryavanshi, FOUR runs 
in the air and just over the fielder Siraj running back from mid off. Suryavanshi came 
down the pitch and was met with a short of a length delivery, he checked his shot but 
checked it well enough to clear the fielder and run to the boundary",3.3,4,4.0,"Ishant Sharma to V Suryavanshi, FOUR runs  .in the air and just over the fielder Siraj running back from mid off. Suryavanshi came  .down the pitch and was met with a short of a length delivery, he checked his shot but  .checked it well enough to clear the fielder and run to the boundary",Ishant Sharma,V Suryavanshi,4.0,1,0,1,1,4.0,0,,1
"3.4 
• 
Ishant Sharma to V Suryavanshi, no run 
short of a length slanting across the left-hander outside off, tries to cut and misses",3.4,0,0.0,"Ishant Sharma to V Suryavanshi, no run  .short of a length slanting across the left-hander outside off, tries to cut and misses",Ishant Sharma,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"3.5 
6 
Ishant Sharma to V Suryavanshi, SIX runs 
this kid is giving it everything tonight, swings his bat so hard that the outside edge 
carries all the way over the third man boundary, he was aiming to send that length ball 
over the leg side",3.5,6,6.0,"Ishant Sharma to V Suryavanshi, SIX runs  .this kid is giving it everything tonight, swings his bat so hard that the outside edge  .carries all the way over the third man boundary, he was aiming to send that length ball  .over the leg side",Ishant Sharma,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
"3.6 
1w 
Ishant Sharma to V Suryavanshi, 1 wide 
sprays it extremely wide outside off stump from over the wicket",3.6,1w,1.0,"Ishant Sharma to V Suryavanshi, 1 wide  .sprays it extremely wide outside off stump from over the wicket",Ishant Sharma,V Suryavanshi,0.0,0,0,0,0,1.0,0,,1
"3.6 
1w 
Ishant Sharma to V Suryavanshi, 1 wide 
another wide outside off, Ishant shortened his length but the line too extreme ...he's 
trying to stay away from the batter's swinging arc",3.6,1w,1.0,"Ishant Sharma to V Suryavanshi, 1 wide  .another wide outside off, Ishant shortened his length but the line too extreme ...he's  .trying to stay away from the batter's swinging arc",Ishant Sharma,V Suryavanshi,0.0,0,0,0,0,1.0,0,,1
"3.6 
4 
Ishant Sharma to V Suryavanshi, FOUR runs 
and again! A one-bounce four this time to deep third. Suryavanshi aims for the leg side 
with a mighty swing, Ishant keeps the ball wide outside off and it pings of the thick edge 
of his bat ... 28 runs off that over, Ishant's most expensive in IPL history 
end of over 428 runs  
RR: 60/0CRR: 15.00 • RRR: 9.37 • Need 150 runs from 96b 
Vaibhav Suryavanshi35 (13b 2x4 4x6) 
Yashasvi Jaiswal21 (11b 3x4 1x6) 
Ishant Sharma 2-0-36-0 
Mohammed Siraj 2-0-24-0",3.6,4,4.0,"Ishant Sharma to V Suryavanshi, FOUR runs  .and again! A one-bounce four this time to deep third. Suryavanshi aims for the leg side  .with a mighty swing, Ishant keeps the ball wide outside off and it pings of the thick edge  .of his bat ... 28 runs off that over, Ishant's most expensive in IPL history",Ishant Sharma,V Suryavanshi,4.0,1,0,1,1,4.0,0,,1
"4.1 
4 
Sundar to Jaiswal, FOUR runs 
the runs keep coming for RR, Jaiswal backs away and slaps the ball through the covers",4.1,4,4.0,"Sundar to Jaiswal, FOUR runs  .the runs keep coming for RR, Jaiswal backs away and slaps the ball through the covers",Sundar,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"4.2 
1 
Sundar to Jaiswal, 1 run 
played down to long on for a single 
Kalyan: ""RR making a mockery of RRR""",4.2,1,1.0,"Sundar to Jaiswal, 1 run  .played down to long on for a single",Sundar,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"4.3 
6 
Sundar to V Suryavanshi, SIX runs 
too short from Sundar from around the wicket to the left-hander, Suryavanshi rocks 
back and pulls the ball over the deep square leg boundary, he's hitting the ball into the 
stands. This is breathtaking to watch",4.3,6,6.0,"Sundar to V Suryavanshi, SIX runs  .too short from Sundar from around the wicket to the left-hander, Suryavanshi rocks  .back and pulls the ball over the deep square leg boundary, he's hitting the ball into the  .stands. This is breathtaking to watch",Sundar,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
"4.4 
• 
Sundar to V Suryavanshi, no run 
mis-times a slog over the leg side to square leg",4.4,0,0.0,"Sundar to V Suryavanshi, no run  .mis-times a slog over the leg side to square leg",Sundar,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"4.5 
6 
Sundar to V Suryavanshi, SIX runs 
another one, this time over long leg, Sundar pitches too short and strays down leg, 
Suryavanshi uses the angle and just hammers it",4.5,6,6.0,"Sundar to V Suryavanshi, SIX runs  .another one, this time over long leg, Sundar pitches too short and strays down leg,  .Suryavanshi uses the angle and just hammers it",Sundar,V Suryavanshi,6.0,0,1,1,1,6.0,0,,1
