raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Archer to Salt, 1 wide 
he bangs it in short, as expected, but it's gone down leg for a wide",0.1,1w,1.0,"Archer to Salt, 1 wide  .he bangs it in short, as expected, but it's gone down leg for a wide",Archer,Salt,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Archer to Salt, no run 
swinging in at a pace of 145.1kmh! Salt barely has the time to move much but does well 
to defend it back 
There's been a slip, by the way 
 
Phil Salt in IPL, 2025 
INNS 
8 
RUNS 
213 
SR 
178.99 
AVE 
26.62 
HS 
65",0.1,0,0.0,"Archer to Salt, no run  .swinging in at a pace of 145.1kmh! Salt barely has the time to move much but does well  .to defend it back  .There's been a slip, by the way  .  .Phil Salt in IPL, 2025  .INNS  .8  .RUNS  .213  .SR  .178.99  .AVE  .26.62  .HS  .65",Archer,Salt,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Archer to Salt, no run 
goes over the stumps! Salt walks across to off to flay the ball with the swing to the leg 
side but he doesn't connect at all",0.2,0,0.0,"Archer to Salt, no run  .goes over the stumps! Salt walks across to off to flay the ball with the swing to the leg  .side but he doesn't connect at all",Archer,Salt,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Archer to Salt, no run 
beaten again! Stays still this time for the short of length ball outside off, Salt wants to 
punch it away but the extra bounce beats him",0.3,0,0.0,"Archer to Salt, no run  .beaten again! Stays still this time for the short of length ball outside off, Salt wants to  .punch it away but the extra bounce beats him",Archer,Salt,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Archer to Salt, 1 run 
short and coming in, bit more to the leg side now and Salt swivels to help it along to fine 
leg",0.4,1,1.0,"Archer to Salt, 1 run  .short and coming in, bit more to the leg side now and Salt swivels to help it along to fine  .leg",Archer,Salt,1.0,0,0,1,1,1.0,0,,1
"0.5 
5w 
Archer to Kohli, 5 wide 
bounces over Kohli, bounces over the keeper and gone for four! That was 149.8kmh! 
Short and quick, right into the pitch, Kohli lets it go over him while withdrawing his pull 
and the ball sails over Jurel",0.5,5w,5.0,"Archer to Kohli, 5 wide  .bounces over Kohli, bounces over the keeper and gone for four! That was 149.8kmh!  .Short and quick, right into the pitch, Kohli lets it go over him while withdrawing his pull  .and the ball sails over Jurel",Archer,Kohli,0.0,0,0,0,0,5.0,0,,1
"0.5 
4 
Archer to Kohli, FOUR runs 
just beyond the reach of first slip and four! What an over this has been, this one at 
148.5kmh, short outside off and Kohli gets a very thick outside edge while trying to 
scythe that away and luckily for him it beats first slip",0.5,4,4.0,"Archer to Kohli, FOUR runs  .just beyond the reach of first slip and four! What an over this has been, this one at  .148.5kmh, short outside off and Kohli gets a very thick outside edge while trying to  .scythe that away and luckily for him it beats first slip",Archer,Kohli,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Archer to Kohli, no run 
beats him like he had beaten Salt. Short and outside off, past the punching attempt with 
the extra bounce and into the keeper's gloves in no time after leaving the hand at 
150.1kmh 
end of over 111 runs  
RCB: 11/0CRR: 11.00  
Virat Kohli4 (2b 1x4) 
Phil Salt1 (4b) 
Jofra Archer 1-0-11-0 
Farqooqi from the other end. He can swing it as well, no slip though 
Fazalhaq Farooqi economy rate in IPL 202512.42",0.6,0,0.0,"Archer to Kohli, no run  .beats him like he had beaten Salt. Short and outside off, past the punching attempt with  .the extra bounce and into the keeper's gloves in no time after leaving the hand at  .150.1kmh",Archer,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Fazalhaq Farooqi to Salt, no run 
134.7kmh, he beats Salt first ball as well. On length on middle and angling away outside 
off, chases and misses",1.1,0,0.0,"Fazalhaq Farooqi to Salt, no run  .134.7kmh, he beats Salt first ball as well. On length on middle and angling away outside  .off, chases and misses",Fazalhaq Farooqi,Salt,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Fazalhaq Farooqi to Salt, 1 wide 
down the leg side and that's the second wide already. He was interestingly attempting a 
yorker, and the length was not that bad but the line was down leg with some inswing",1.2,1w,1.0,"Fazalhaq Farooqi to Salt, 1 wide  .down the leg side and that's the second wide already. He was interestingly attempting a  .yorker, and the length was not that bad but the line was down leg with some inswing",Fazalhaq Farooqi,Salt,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Fazalhaq Farooqi to Salt, no run 
dropped at mid-off! Another attempted yorker, Salt chips this low full toss straight down 
the ground to mid-off where captain Parag goes low to his right, catches the ball but 
can't hold on when his hands hit the ground on the tumble",1.2,0,0.0,"Fazalhaq Farooqi to Salt, no run  .dropped at mid-off! Another attempted yorker, Salt chips this low full toss straight down  .the ground to mid-off where captain Parag goes low to his right, catches the ball but  .can't hold on when his hands hit the ground on the tumble",Fazalhaq Farooqi,Salt,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Fazalhaq Farooqi to Salt, 1 run 
shorter and on middle and leg, clipped square this time for one",1.3,1,1.0,"Fazalhaq Farooqi to Salt, 1 run  .shorter and on middle and leg, clipped square this time for one",Fazalhaq Farooqi,Salt,1.0,0,0,1,1,1.0,0,,1
