raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Abhishek, no run 
angles this in from over the stumps, and goes on a fullish length around middle and off. 
Abhishek pushes it to mid-on with no foot movement",0.1,0,0.0,"Fazalhaq Farooqi to Abhishek, no run  .angles this in from over the stumps, and goes on a fullish length around middle and off.  .Abhishek pushes it to mid-on with no foot movement",Fazalhaq Farooqi,Abhishek,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Fazalhaq Farooqi to Abhishek, no run 
ohh, superb yorker! This is angled in but swings away to arrive bang on the base of off 
stump, before Abhishek digs it out off the outside half of the bat",0.2,0,0.0,"Fazalhaq Farooqi to Abhishek, no run  .ohh, superb yorker! This is angled in but swings away to arrive bang on the base of off  .stump, before Abhishek digs it out off the outside half of the bat",Fazalhaq Farooqi,Abhishek,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Fazalhaq Farooqi to Abhishek, FOUR runs 
I thought that was too much inswing, and that is whipped for four! It landed as a full 
toss which was dipping around off, and Abhishek swung it wide of mid-on to get things 
going",0.3,4,4.0,"Fazalhaq Farooqi to Abhishek, FOUR runs  .I thought that was too much inswing, and that is whipped for four! It landed as a full  .toss which was dipping around off, and Abhishek swung it wide of mid-on to get things  .going",Fazalhaq Farooqi,Abhishek,4.0,1,0,1,1,4.0,0,,1
"0.4 
4 
Fazalhaq Farooqi to Abhishek, FOUR runs 
through cover point! On a length on middle, and Abhishek made room early to dispatch 
that between point and cover point for four more",0.4,4,4.0,"Fazalhaq Farooqi to Abhishek, FOUR runs  .through cover point! On a length on middle, and Abhishek made room early to dispatch  .that between point and cover point for four more",Fazalhaq Farooqi,Abhishek,4.0,1,0,1,1,4.0,0,,1
"0.5 
1 
Fazalhaq Farooqi to Abhishek, 1 run 
much fuller length, and this one again swings sharply to arrive on a very full length on 
the stumps. Flicked hard to fine leg 
Head facing his first ball",0.5,1,1.0,"Fazalhaq Farooqi to Abhishek, 1 run  .much fuller length, and this one again swings sharply to arrive on a very full length on  .the stumps. Flicked hard to fine leg  .Head facing his first ball",Fazalhaq Farooqi,Abhishek,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Fazalhaq Farooqi to Head, 1 run 
another full toss from Farooqi, although this is lowish, and around fourth stump. Heaved 
away behind square to get off the mark 
end of over 110 runs  
SRH: 10/0CRR: 10.00  
Travis Head1 (1b) 
Abhishek Sharma9 (5b 2x4) 
Fazalhaq Farooqi 1-0-10-0 
Theekshana from the other end. Around the wicket, with no slip.",0.6,1,1.0,"Fazalhaq Farooqi to Head, 1 run  .another full toss from Farooqi, although this is lowish, and around fourth stump. Heaved  .away behind square to get off the mark",Fazalhaq Farooqi,Head,1.0,0,0,1,1,1.0,0,,1
"1.1 
1nb 
Theekshana to Head, (no ball) 
on a length, and quite quick around sixth stump. Punched towards point... and the siren 
goes off to inform that it's a no-ball 
Free hit",1.1,1nb,1.0,"Theekshana to Head, (no ball)  .on a length, and quite quick around sixth stump. Punched towards point... and the siren  .goes off to inform that it's a no-ball  .Free hit",Theekshana,Head,0.0,0,0,1,0,1.0,0,,1
"1.1 
1w 
Theekshana to Head, 1 wide 
on a length, and really wide of off. Wide called, even as Head seemed to back away 
Free hit stands",1.1,1w,1.0,"Theekshana to Head, 1 wide  .on a length, and really wide of off. Wide called, even as Head seemed to back away  .Free hit stands",Theekshana,Head,0.0,0,0,0,0,1.0,0,,1
"1.1 
2 
Theekshana to Head, 2 runs 
on a length again, but wide of off. This time Head throws his bat at it, and ends up 
mistiming a loft wide of long-off",1.1,2,2.0,"Theekshana to Head, 2 runs  .on a length again, but wide of off. This time Head throws his bat at it, and ends up  .mistiming a loft wide of long-off",Theekshana,Head,2.0,0,0,1,1,2.0,0,,1
"1.2 
• 
Theekshana to Head, no run 
fullish length, and angled in to to pitch just outside off. Slashed on the bounce to cover 
point",1.2,0,0.0,"Theekshana to Head, no run  .fullish length, and angled in to to pitch just outside off. Slashed on the bounce to cover  .point",Theekshana,Head,0.0,0,0,1,1,0.0,0,,0
