raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rabada to Gurbaz, no run 
Rabada will take the new ball. A change from usual. A length ball around off and Gurbaz 
is surprised by the bounce. 
See all photos",0.1,0,0.0,"Rabada to Gurbaz, no run  .Rabada will take the new ball. A change from usual. A length ball around off and Gurbaz  .is surprised by the bounce.  .See all photos",Rabada,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rabada to Gurbaz, no run 
full on off. Mistimed front foot defense",0.2,0,0.0,"Rabada to Gurbaz, no run  .full on off. Mistimed front foot defense",Rabada,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Rabada to Gurbaz, 1 run 
first runs! And it's a full ball awkwardly chipped over mid off, where Bavuma sees the 
ball go over",0.3,1,1.0,"Rabada to Gurbaz, 1 run  .first runs! And it's a full ball awkwardly chipped over mid off, where Bavuma sees the  .ball go over",Rabada,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Rabada to Ibrahim Zadran, no run 
length ball, fourth stump line. Fends this rising ball",0.4,0,0.0,"Rabada to Ibrahim Zadran, no run  .length ball, fourth stump line. Fends this rising ball",Rabada,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Rabada to Ibrahim Zadran, FOUR runs 
first boundary! Full ball, bit of shape away. Zadran crunches a compact cover drive 
 
Kagiso Rabada in World Cup 2023 
INNS 
8 
WKTS 
12 
ECON 
4.99 
AVE 
24.08 
BEST 
3/33",0.5,4,4.0,"Rabada to Ibrahim Zadran, FOUR runs  .first boundary! Full ball, bit of shape away. Zadran crunches a compact cover drive  .  .Kagiso Rabada in World Cup 2023  .INNS  .8  .WKTS  .12  .ECON  .4.99  .AVE  .24.08  .BEST  .3/33",Rabada,Ibrahim Zadran,4.0,1,0,1,1,4.0,0,,1
"0.6 
1 
Rabada to Ibrahim Zadran, 1 run 
full ball, around off stump. Tapped towards point for a quick single 
end of over 16 runs  
AFG: 6/0CRR: 6.00  
Ibrahim Zadran5 (3b 1x4) 
Rahmanullah Gurbaz1 (3b) 
Kagiso Rabada 1-0-6-0",0.6,1,1.0,"Rabada to Ibrahim Zadran, 1 run  .full ball, around off stump. Tapped towards point for a quick single",Rabada,Ibrahim Zadran,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Ngidi to Ibrahim Zadran, no run 
full ball around off stump. Fended, comes off the bat's inside half",1.1,0,0.0,"Ngidi to Ibrahim Zadran, no run  .full ball around off stump. Fended, comes off the bat's inside half",Ngidi,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Ngidi to Ibrahim Zadran, no run 
full ball just outside off. Attempts the drive but misses",1.2,0,0.0,"Ngidi to Ibrahim Zadran, no run  .full ball just outside off. Attempts the drive but misses",Ngidi,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Ngidi to Ibrahim Zadran, FOUR runs 
full and wide. Crunches a cover drive through the tiny gap near cover",1.3,4,4.0,"Ngidi to Ibrahim Zadran, FOUR runs  .full and wide. Crunches a cover drive through the tiny gap near cover",Ngidi,Ibrahim Zadran,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Ngidi to Ibrahim Zadran, no run 
good length ball just outside off stump. Left alone",1.4,0,0.0,"Ngidi to Ibrahim Zadran, no run  .good length ball just outside off stump. Left alone",Ngidi,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.5 
2 
Ngidi to Ibrahim Zadran, 2 runs 
full ball on his pads. Confidently flicked through to square leg",1.5,2,2.0,"Ngidi to Ibrahim Zadran, 2 runs  .full ball on his pads. Confidently flicked through to square leg",Ngidi,Ibrahim Zadran,2.0,0,0,1,1,2.0,0,,1
