raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Abbott to de Kock, no run 
Pitched up, pushed to mid-off. Came in slightly but QDK found the middle of the bat",0.1,0,0.0,"Abbott to de Kock, no run  .Pitched up, pushed to mid-off. Came in slightly but QDK found the middle of the bat",Abbott,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Abbott to de Kock, FOUR runs 
QDK gets away with it as Warner can't latch on! It was a wide back-of-length ball that 
QDK flashed at, the top edge was taking the ball high. Warner jumped, got fingers on it 
but couldn't hold on at first slip.",0.2,4,4.0,"Abbott to de Kock, FOUR runs  .QDK gets away with it as Warner can't latch on! It was a wide back-of-length ball that  .QDK flashed at, the top edge was taking the ball high. Warner jumped, got fingers on it  .but couldn't hold on at first slip.",Abbott,de Kock,4.0,1,0,1,1,4.0,0,,1
"0.3 
4 
Abbott to de Kock, FOUR runs 
Abbott misses his line, fullish ball comes in to middle and leg, clipped through 
midwicket",0.3,4,4.0,"Abbott to de Kock, FOUR runs  .Abbott misses his line, fullish ball comes in to middle and leg, clipped through  .midwicket",Abbott,de Kock,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Abbott to de Kock, no run 
Full on middle. 135kph. Blocked towards cover",0.4,0,0.0,"Abbott to de Kock, no run  .Full on middle. 135kph. Blocked towards cover",Abbott,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Abbott to de Kock, 1 run 
Length over leg, clipped to square leg",0.5,1,1.0,"Abbott to de Kock, 1 run  .Length over leg, clipped to square leg",Abbott,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Abbott to Bavuma, no run 
Test line and length to beat the outside edge. Tadly on a back of a length, fifth-stump 
line. Bavuma goes back and tries to block it close to the body. Plays the wrong line 
end of over 19 runs  
SA: 9/0CRR: 9.00 • RRR: 7.83 • Need 384 runs from 49 overs 
Temba Bavuma0 (1b) 
Quinton de Kock9 (5b 2x4) 
Sean Abbott 1-0-9-0 
First time ever in an ODI that Head has the new ball. Around",0.6,0,0.0,"Abbott to Bavuma, no run  .Test line and length to beat the outside edge. Tadly on a back of a length, fifth-stump  .line. Bavuma goes back and tries to block it close to the body. Plays the wrong line",Abbott,Bavuma,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Head to de Kock, no run 
Overpitched outside off, drifted away a bit, driven to cover",1.1,0,0.0,"Head to de Kock, no run  .Overpitched outside off, drifted away a bit, driven to cover",Head,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Head to de Kock, FOUR runs 
QDK finds the gap with the cover drive this time. This was full again, driven with the 
drift. Went in the gap through the left of cover",1.2,4,4.0,"Head to de Kock, FOUR runs  .QDK finds the gap with the cover drive this time. This was full again, driven with the  .drift. Went in the gap through the left of cover",Head,de Kock,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Head to de Kock, no run 
Shortish ball outside off, cut to point",1.3,0,0.0,"Head to de Kock, no run  .Shortish ball outside off, cut to point",Head,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Head to de Kock, no run 
Fullish ball outside off, pushed to cover",1.4,0,0.0,"Head to de Kock, no run  .Fullish ball outside off, pushed to cover",Head,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Head to de Kock, no run 
Full outside off, defended to cover point",1.5,0,0.0,"Head to de Kock, no run  .Full outside off, defended to cover point",Head,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Head to de Kock, FOUR runs 
Wide on a length, QDK slaps the 88kph ball with the spin. Gets it straight of point 
end of over 28 runs  
SA: 17/0CRR: 8.50 • RRR: 7.83 • Need 376 runs from 48 overs 
Quinton de Kock17 (11b 4x4) 
Temba Bavuma0 (1b) 
Travis Head 1-0-8-0 
Sean Abbott 1-0-9-0",1.6,4,4.0,"Head to de Kock, FOUR runs  .Wide on a length, QDK slaps the 88kph ball with the spin. Gets it straight of point",Head,de Kock,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Abbott to Bavuma, no run 
Fullish ball, top of off, blocked back to the bowler",2.1,0,0.0,"Abbott to Bavuma, no run  .Fullish ball, top of off, blocked back to the bowler",Abbott,Bavuma,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Abbott to Bavuma, FOUR runs 
On the pads, clipped along square off the back foot. Length ball angled in and Bavuma 
helped it from the top of his pads",2.2,4,4.0,"Abbott to Bavuma, FOUR runs  .On the pads, clipped along square off the back foot. Length ball angled in and Bavuma  .helped it from the top of his pads",Abbott,Bavuma,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Abbott to Bavuma, no run 
Two slips in but Abbott goes back of length into the body as Bavuma made room. 
Worked to midwicket",2.3,0,0.0,"Abbott to Bavuma, no run  .Two slips in but Abbott goes back of length into the body as Bavuma made room.  .Worked to midwicket",Abbott,Bavuma,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Abbott to Bavuma, 1 run 
Back of length over middle, glanced to deep fine leg. 138kph. Noise from the crowd 
started going up right after the shot was hit. Their energy this innings has been good",2.4,1,1.0,"Abbott to Bavuma, 1 run  .Back of length over middle, glanced to deep fine leg. 138kph. Noise from the crowd  .started going up right after the shot was hit. Their energy this innings has been good",Abbott,Bavuma,1.0,0,0,1,1,1.0,0,,1
"2.5 
4 
Abbott to de Kock, FOUR runs 
On the pads again, this time to QDK. The length ball is clipped through square leg again. 
Outfield's fast",2.5,4,4.0,"Abbott to de Kock, FOUR runs  .On the pads again, this time to QDK. The length ball is clipped through square leg again.  .Outfield's fast",Abbott,de Kock,4.0,1,0,1,1,4.0,0,,1
"2.6 
1 
Abbott to de Kock, 1 run 
Length over leg, clipped to the right of backward square. Zampa stops it with a jump 
across 
end of over 310 runs  
SA: 27/0CRR: 9.00 • RRR: 7.78 • Need 366 runs from 47 overs 
Quinton de Kock22 (13b 5x4) 
Temba Bavuma5 (5b 1x4) 
Sean Abbott 2-0-19-0 
Travis Head 1-0-8-0 
Head is replaced by Ellis",2.6,1,1.0,"Abbott to de Kock, 1 run  .Length over leg, clipped to the right of backward square. Zampa stops it with a jump  .across",Abbott,de Kock,1.0,0,0,1,1,1.0,0,,1
"3.1 
2 
Ellis to de Kock, 2 runs 
Length on middle and off, worked to the right of deep square leg. 132kph, looked quick 
though",3.1,2,2.0,"Ellis to de Kock, 2 runs  .Length on middle and off, worked to the right of deep square leg. 132kph, looked quick  .though",Ellis,de Kock,2.0,0,0,1,1,2.0,0,,1
"3.2 
• 
Ellis to de Kock, no run 
Length ball swings in to beat the square whip. Hits pad, lbw not given. Looked to be 
going down leg",3.2,0,0.0,"Ellis to de Kock, no run  .Length ball swings in to beat the square whip. Hits pad, lbw not given. Looked to be  .going down leg",Ellis,de Kock,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Ellis to de Kock, no run 
Ball trickles onto the stumps and the bails don't fall off! QDK's hand was on his head 
for a moment but he's all smiles now. Ellis smiles too. Back of length ball was defended 
late, a bit too late as it turned out. Ball went back in the crease and trickled onto the 
stumps. The sound was clear. QDK was chasing after it and pulled out with relief and 
delight.",3.3,0,0.0,"Ellis to de Kock, no run  .Ball trickles onto the stumps and the bails don't fall off! QDK's hand was on his head  .for a moment but he's all smiles now. Ellis smiles too. Back of length ball was defended  .late, a bit too late as it turned out. Ball went back in the crease and trickled onto the  .stumps. The sound was clear. QDK was chasing after it and pulled out with relief and  .delight.",Ellis,de Kock,0.0,0,0,1,1,0.0,0,,0
