raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Starc to de Kock, no run 
nice start, full and straight, hint of swing, defended to the bowler 
Two slips in place",0.1,0,0.0,"Starc to de Kock, no run  .nice start, full and straight, hint of swing, defended to the bowler  .Two slips in place",Starc,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Starc to de Kock, 1 run 
full on the pads, clipped sweetly into square leg but it's well cut off by Travis Head",0.2,1,1.0,"Starc to de Kock, 1 run  .full on the pads, clipped sweetly into square leg but it's well cut off by Travis Head",Starc,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Starc to Bavuma, no run 
full at off stump, some shape in, a half-hearted drive without much footwork",0.3,0,0.0,"Starc to Bavuma, no run  .full at off stump, some shape in, a half-hearted drive without much footwork",Starc,Bavuma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Starc to Bavuma, no run 
pushed very wide outside off but he gets away with it",0.4,0,0.0,"Starc to Bavuma, no run  .pushed very wide outside off but he gets away with it",Starc,Bavuma,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Starc to Bavuma, no run 
in the channel outside off, left alone, doesn't like a huge amount of pace in the pitch",0.5,0,0.0,"Starc to Bavuma, no run  .in the channel outside off, left alone, doesn't like a huge amount of pace in the pitch",Starc,Bavuma,0.0,0,0,1,1,0.0,0,,0
"0.6 
W 
Starc to Bavuma, OUT 
edged, caught behind! Early strike for Starc. On off stump, goes on the with angle, a bit 
of a limp poke from the captain and it's a neat catch by Inglis, low to his right 
Temba Bavuma c †Inglis b Starc 0 (4b 0x4 0x6 5m) SR: 0 
See all photos 
Perfect start for Australia. Starc hasn't had the best World Cup, but as in 2015 final he 
has a first-over wicket in the semi final 
end of over 11 run • 1 wicket 
SA: 1/1CRR: 1.00  
Quinton de Kock1 (2b) 
Mitchell Starc 1-0-1-1 
Will be Josh Hazlewood",0.6,W,0.0,"Starc to Bavuma, OUT  .edged, caught behind! Early strike for Starc. On off stump, goes on the with angle, a bit  .of a limp poke from the captain and it's a neat catch by Inglis, low to his right  .Temba Bavuma c †Inglis b Starc 0 (4b 0x4 0x6 5m) SR: 0",Starc,Bavuma,0.0,0,0,1,1,0.0,1,c †Inglis b Starc,0
"1.1 
• 
Hazlewood to de Kock, no run 
beaten! Terrific start. Back of a length at off stump, this climbs past the shoulder of the 
bat",1.1,0,0.0,"Hazlewood to de Kock, no run  .beaten! Terrific start. Back of a length at off stump, this climbs past the shoulder of the  .bat",Hazlewood,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Hazlewood to de Kock, 1 run 
thick edge, well wide of the lone slip, down to deep third...de Kock pushing forward 
outside off",1.2,1,1.0,"Hazlewood to de Kock, 1 run  .thick edge, well wide of the lone slip, down to deep third...de Kock pushing forward  .outside off",Hazlewood,de Kock,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Hazlewood to van der Dussen, no run 
short outside off, he drops his hands and lets it go through",1.3,0,0.0,"Hazlewood to van der Dussen, no run  .short outside off, he drops his hands and lets it go through",Hazlewood,van der Dussen,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hazlewood to van der Dussen, no run 
good length at middle and off, straightens a touch off the seam, defended to cover 
Unsurprisingly, feedback lighting up about Bavuma. A reminder he averages 47 in ODIs. 
Any captain would want to try and lead from the front",1.4,0,0.0,"Hazlewood to van der Dussen, no run  .good length at middle and off, straightens a touch off the seam, defended to cover  .Unsurprisingly, feedback lighting up about Bavuma. A reminder he averages 47 in ODIs.  .Any captain would want to try and lead from the front",Hazlewood,van der Dussen,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Hazlewood to van der Dussen, no run 
length ball, defended up to mid-on",1.5,0,0.0,"Hazlewood to van der Dussen, no run  .length ball, defended up to mid-on",Hazlewood,van der Dussen,0.0,0,0,1,1,0.0,0,,0
