raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Steyn to Sehwag, FOUR runs 
another first-ball four from Sehwag and Nagpur cheers! A touch too full from Steyn and 
the line is on middle, Sehwag lofts the ball over mid-on, that is some start",0.1,4,4.0,"Steyn to Sehwag, FOUR runs  .another first-ball four from Sehwag and Nagpur cheers! A touch too full from Steyn and  .the line is on middle, Sehwag lofts the ball over mid-on, that is some start",Steyn,Sehwag,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Steyn to Sehwag, no run 
lbw shout from Steyn as Sehwag misses the flick but that was missing leg stump",0.2,0,0.0,"Steyn to Sehwag, no run  .lbw shout from Steyn as Sehwag misses the flick but that was missing leg stump",Steyn,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Steyn to Sehwag, no run 
Sehwag tries to force the ball on the leg side from the crease but gets beaten by a good 
length ball that pitches on middle and off and shapes away from the right-hander",0.3,0,0.0,"Steyn to Sehwag, no run  .Sehwag tries to force the ball on the leg side from the crease but gets beaten by a good  .length ball that pitches on middle and off and shapes away from the right-hander",Steyn,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Steyn to Sehwag, no run 
good length delivery pitches outside off and seams away from the right-hander, Sehwag 
shoulders arms",0.4,0,0.0,"Steyn to Sehwag, no run  .good length delivery pitches outside off and seams away from the right-hander, Sehwag  .shoulders arms",Steyn,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Steyn to Sehwag, no run 
terrific fielding at mid-off! Sehwag slammed the drive off the front foot, sending the ball 
rocketing over the turf, Botha dived to his left and pulled off a superb save",0.5,0,0.0,"Steyn to Sehwag, no run  .terrific fielding at mid-off! Sehwag slammed the drive off the front foot, sending the ball  .rocketing over the turf, Botha dived to his left and pulled off a superb save",Steyn,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Steyn to Sehwag, no run 
Sehwag feels for a good length ball outside off but gets beaten 
By the way, on this day in 2006, South Africa chased 434. Just saying ... 
end of over 14 runs  
IND: 4/0CRR: 4.00  
Virender Sehwag4 (6b 1x4) 
Sachin Tendulkar0 (0b) 
Dale Steyn 1-0-4-0 
Morkel it is, from over the wicket.",0.6,0,0.0,"Steyn to Sehwag, no run  .Sehwag feels for a good length ball outside off but gets beaten  .By the way, on this day in 2006, South Africa chased 434. Just saying ...",Steyn,Sehwag,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Morkel to Tendulkar, 1 run 
It's Botha again! Diving to his left and tumbling to stop Tendulkar's on-the-up drive from 
piercing the gap between mid off and cover",1.1,1,1.0,"Morkel to Tendulkar, 1 run  .It's Botha again! Diving to his left and tumbling to stop Tendulkar's on-the-up drive from  .piercing the gap between mid off and cover",Morkel,Tendulkar,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Morkel to Sehwag, no run 
banged in short outside off stump and the ball lifts sharply to van Wyk after Sehwag 
plays no shot.",1.2,0,0.0,"Morkel to Sehwag, no run  .banged in short outside off stump and the ball lifts sharply to van Wyk after Sehwag  .plays no shot.",Morkel,Sehwag,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Morkel to Sehwag, FOUR runs 
van Wyk did not move! Dropped! Sehwag drove with feet rooted at a short of a length 
ball that seamed slightly away from him. Sehwag edged the cover off the ball and it flew 
only slightly to van Wyk's right. Maybe he didn't see for he did not move a muscle. A 
Kamran Akmal moment.",1.3,4,4.0,"Morkel to Sehwag, FOUR runs  .van Wyk did not move! Dropped! Sehwag drove with feet rooted at a short of a length  .ball that seamed slightly away from him. Sehwag edged the cover off the ball and it flew  .only slightly to van Wyk's right. Maybe he didn't see for he did not move a muscle. A  .Kamran Akmal moment.",Morkel,Sehwag,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Morkel to Sehwag, no run 
similar ball but this time Sehwag is more circumspect and plays no shot",1.4,0,0.0,"Morkel to Sehwag, no run  .similar ball but this time Sehwag is more circumspect and plays no shot",Morkel,Sehwag,0.0,0,0,1,1,0.0,0,,0
