raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mukesh Kumar to Hendricks, no run 
on a length, straight at him, defended. Gets bat on ball first up after two first overs of no 
bat on ball in the last two matches",0.1,0,0.0,"Mukesh Kumar to Hendricks, no run  .on a length, straight at him, defended. Gets bat on ball first up after two first overs of no  .bat on ball in the last two matches",Mukesh Kumar,Hendricks,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Mukesh Kumar to Hendricks, 1 run 
outside edge as this shapes away, but it goes down and rolls to deep third for a single",0.2,1,1.0,"Mukesh Kumar to Hendricks, 1 run  .outside edge as this shapes away, but it goes down and rolls to deep third for a single",Mukesh Kumar,Hendricks,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Mukesh Kumar to de Zorzi, no run 
shape in in the air, and then seam away after pitching. Too good to take the edge",0.3,0,0.0,"Mukesh Kumar to de Zorzi, no run  .shape in in the air, and then seam away after pitching. Too good to take the edge",Mukesh Kumar,de Zorzi,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Mukesh Kumar to de Zorzi, FOUR runs 
short of a length, close to him, cramped on the cut, the thick edge flies wide of second 
slip and fine of deep third",0.4,4,4.0,"Mukesh Kumar to de Zorzi, FOUR runs  .short of a length, close to him, cramped on the cut, the thick edge flies wide of second  .slip and fine of deep third",Mukesh Kumar,de Zorzi,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Mukesh Kumar to de Zorzi, no run 
on a length, just outside off, left alone 
Sanju Samson is keeping wicket, and KL Rahul is fielding",0.5,0,0.0,"Mukesh Kumar to de Zorzi, no run  .on a length, just outside off, left alone  .Sanju Samson is keeping wicket, and KL Rahul is fielding",Mukesh Kumar,de Zorzi,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Mukesh Kumar to de Zorzi, no run 
short of a length, no room, defended with an open face 
end of over 15 runs  
SA: 5/0CRR: 5.00 • RRR: 4.22 • Need 207 runs from 49 overs 
Tony de Zorzi4 (4b 1x4) 
Reeza Hendricks1 (2b) 
Mukesh Kumar 1-0-5-0 
Arshdeep Singh with the second new ball",0.6,0,0.0,"Mukesh Kumar to de Zorzi, no run  .short of a length, no room, defended with an open face",Mukesh Kumar,de Zorzi,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Arshdeep to Hendricks, 1 run 
full inswinger, Hendricks manages to still outside-edge it as he is stuck on the crease, 
but it falls wide of the diving Samson, who is keeping wicket. They get a single",1.1,1,1.0,"Arshdeep to Hendricks, 1 run  .full inswinger, Hendricks manages to still outside-edge it as he is stuck on the crease,  .but it falls wide of the diving Samson, who is keeping wicket. They get a single",Arshdeep,Hendricks,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Arshdeep to de Zorzi, no run 
lovely movement away from de Zorzi, who is beaten as he pushes at the line of the ball",1.2,0,0.0,"Arshdeep to de Zorzi, no run  .lovely movement away from de Zorzi, who is beaten as he pushes at the line of the ball",Arshdeep,de Zorzi,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Arshdeep to de Zorzi, no run 
on a length, angling in, defended to mid-off",1.3,0,0.0,"Arshdeep to de Zorzi, no run  .on a length, angling in, defended to mid-off",Arshdeep,de Zorzi,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Arshdeep to de Zorzi, 1 run 
flashes at a wide length ball, gets a thick edge that goes over the slips for a single",1.4,1,1.0,"Arshdeep to de Zorzi, 1 run  .flashes at a wide length ball, gets a thick edge that goes over the slips for a single",Arshdeep,de Zorzi,1.0,0,0,1,1,1.0,0,,1
