raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Ngidi to Rohit Sharma, no run 
wide of the crease, full and holds its line outside off, Rohit moves forward and pushes it 
to short cover 
Ngidi is operating from over the wicket, with two slips in place",0.1,0,0.0,"Ngidi to Rohit Sharma, no run  .wide of the crease, full and holds its line outside off, Rohit moves forward and pushes it  .to short cover  .Ngidi is operating from over the wicket, with two slips in place",Ngidi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Ngidi to Rohit Sharma, no run 
Ngidi drags his length back and keeps it in the channel outside off. Nothing doing from 
Ngidi",0.2,0,0.0,"Ngidi to Rohit Sharma, no run  .Ngidi drags his length back and keeps it in the channel outside off. Nothing doing from  .Ngidi",Ngidi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Ngidi to Rohit Sharma, no run 
nip-backer from wide of the crease, back of a length and skids back in to beat the 
inside edge and hit Rohit high on the thigh pad",0.3,0,0.0,"Ngidi to Rohit Sharma, no run  .nip-backer from wide of the crease, back of a length and skids back in to beat the  .inside edge and hit Rohit high on the thigh pad",Ngidi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Ngidi to Rohit Sharma, FOUR runs 
Rohit pumps it over the top. Pitched-up delivery outside off, Rohit backs away, 
manufactures swinging room and hits it over short cover 
Kamal: ""This is going to be Pakistan's WC.They were down and out and now they have a 
sniff. They are playing without pressure and nothing to loose mentality. The same 
happened in 1992 when they were on the brink and when they got a sniff, they were 
ruthless.""",0.4,4,4.0,"Ngidi to Rohit Sharma, FOUR runs  .Rohit pumps it over the top. Pitched-up delivery outside off, Rohit backs away,  .manufactures swinging room and hits it over short cover",Ngidi,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Ngidi to Rohit Sharma, no run 
wide of the crease, good length and slanting into off stump, blocked back to Ngidi",0.5,0,0.0,"Ngidi to Rohit Sharma, no run  .wide of the crease, good length and slanting into off stump, blocked back to Ngidi",Ngidi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Ngidi to Rohit Sharma, 1 run 
shorter and outside off, Rohit goes after it even though his bottom hand flies off the bat. 
He carves a thick outside edge that flies past second slip. Goes to deep third 
Ashwin Patti: ""@Tac: If its India vs Pakistan SF, then it would be at Eden Gardens"" 
end of over 15 runs  
IND: 5/0CRR: 5.00  
Rohit Sharma5 (6b 1x4) 
Shubman Gill0 (0b) 
Lungi Ngidi 1-0-5-0 
Marco Jansen has a chance to add to his powerplay scalps. Leg-gully in place for him",0.6,1,1.0,"Ngidi to Rohit Sharma, 1 run  .shorter and outside off, Rohit goes after it even though his bottom hand flies off the bat.  .He carves a thick outside edge that flies past second slip. Goes to deep third",Ngidi,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Jansen to Rohit Sharma, 1 run 
on a length, lands on middle and leg and bends away, opens Rohit up and grazes the 
outside edge, but it runs away past slip. Jansen has his hands on his head",1.1,1,1.0,"Jansen to Rohit Sharma, 1 run  .on a length, lands on middle and leg and bends away, opens Rohit up and grazes the  .outside edge, but it runs away past slip. Jansen has his hands on his head",Jansen,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.2 
1w 
Jansen to Gill, 1 wide 
back of a length and veering down the leg side, Gill lets it go",1.2,1w,1.0,"Jansen to Gill, 1 wide  .back of a length and veering down the leg side, Gill lets it go",Jansen,Gill,0.0,0,0,0,0,1.0,0,,1
"1.2 
5w 
Jansen to Gill, 5 wide 
swings away between Klaasen at leg-gully and keeper. Back of a length and nipping 
down the leg side, left alone",1.2,5w,5.0,"Jansen to Gill, 5 wide  .swings away between Klaasen at leg-gully and keeper. Back of a length and nipping  .down the leg side, left alone",Jansen,Gill,0.0,0,0,0,0,5.0,0,,1
"1.2 
1w 
Jansen to Gill, 1 wide 
Off-side wide this time. Full and sprayed so far wide of off stump",1.2,1w,1.0,"Jansen to Gill, 1 wide  .Off-side wide this time. Full and sprayed so far wide of off stump",Jansen,Gill,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Jansen to Gill, no run 
tighter line from Jansen. Good length and on a fourth-stump line, draws Gill forward into 
a defensive push to short cover",1.2,0,0.0,"Jansen to Gill, no run  .tighter line from Jansen. Good length and on a fourth-stump line, draws Gill forward into  .a defensive push to short cover",Jansen,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Jansen to Gill, FOUR runs 
carted through the covers. Fullish and attached with width outside off, Gill reaches out 
and caresses it away between short cover and mid-off",1.3,4,4.0,"Jansen to Gill, FOUR runs  .carted through the covers. Fullish and attached with width outside off, Gill reaches out  .and caresses it away between short cover and mid-off",Jansen,Gill,4.0,1,0,1,1,4.0,0,,1
"1.4 
1w 
Jansen to Gill, 1 wide 
shorter and slanting down the leg side for another wide. Jansen is under the pump 
Rajat: ""I dare say Kudrat ka Nizam will work. Pakistan will beat England and NZ Sri 
Lanka game will be washed out. India will beat South Africa here but I have a feeling one 
of their key bowlers are at a risk of injury playing all games so far. India will end up 
playing a different bowling combination against Pakistan in semis and that would be an 
interesting game to watch""",1.4,1w,1.0,"Jansen to Gill, 1 wide  .shorter and slanting down the leg side for another wide. Jansen is under the pump",Jansen,Gill,0.0,0,0,0,0,1.0,0,,1
"1.4 
• 
Jansen to Gill, no run 
shorter and angling across off, Gill watches it through to the keeper",1.4,0,0.0,"Jansen to Gill, no run  .shorter and angling across off, Gill watches it through to the keeper",Jansen,Gill,0.0,0,0,1,1,0.0,0,,0
