raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Ngidi to Vikramjit Singh, no run 
full and tailing down the leg side, wide called.",0.1,0,0.0,"Ngidi to Vikramjit Singh, no run  .full and tailing down the leg side, wide called.",Ngidi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Ngidi to Vikramjit Singh, no run 
fullish length on fifth stump, pushes at this and an inside edge goes through square leg 
for none.",0.2,0,0.0,"Ngidi to Vikramjit Singh, no run  .fullish length on fifth stump, pushes at this and an inside edge goes through square leg  .for none.",Ngidi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Ngidi to Vikramjit Singh, FOUR runs 
136 kph delivery full on fourth stump, punches firmly through cover and it races away to 
the rope.",0.3,4,4.0,"Ngidi to Vikramjit Singh, FOUR runs  .136 kph delivery full on fourth stump, punches firmly through cover and it races away to  .the rope.",Ngidi,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"0.4 
4 
Ngidi to Vikramjit Singh, FOUR runs 
fullish length on the legs, flicked square to the leg side rope.",0.4,4,4.0,"Ngidi to Vikramjit Singh, FOUR runs  .fullish length on the legs, flicked square to the leg side rope.",Ngidi,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Ngidi to Vikramjit Singh, no run 
full on the legs, flicked firmly but picks out Rassie at short midwicket for none.",0.5,0,0.0,"Ngidi to Vikramjit Singh, no run  .full on the legs, flicked firmly but picks out Rassie at short midwicket for none.",Ngidi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Ngidi to Vikramjit Singh, no run 
gem! Good length ball seams across fourth stump at 137 kph, prods at this and is 
beaten. 
end of over 18 runs  
NED: 8/0CRR: 8.00 • RRR: 7.40 • Need 363 runs from 49 overs 
Vikramjit Singh8 (6b 2x4) 
Max O'Dowd0 (0b) 
Lungi Ngidi 1-0-8-0 
Jansen starts left-arm over.",0.6,0,0.0,"Ngidi to Vikramjit Singh, no run  .gem! Good length ball seams across fourth stump at 137 kph, prods at this and is  .beaten.",Ngidi,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Jansen to O'Dowd, 1 run 
full and swinging in toward fourth stump, pokes at this and a thick edge goes along the 
ground to deep third for one.",1.1,1,1.0,"Jansen to O'Dowd, 1 run  .full and swinging in toward fourth stump, pokes at this and a thick edge goes along the  .ground to deep third for one.",Jansen,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Jansen to Vikramjit Singh, no run 
back of a length on fifth stump, shapes away a touch at 131 kph and beats O'Dowd 
prodding away from his body.",1.2,0,0.0,"Jansen to Vikramjit Singh, no run  .back of a length on fifth stump, shapes away a touch at 131 kph and beats O'Dowd  .prodding away from his body.",Jansen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Jansen to Vikramjit Singh, no run 
good length ball on off, defended to cover. 
Pezhman: ""I know You will not publish my comment but i am a pro South African fan 
watching the match from Iran , a great score hope a positive outcome as well and 
thanks Cricinfo site You all are superb."" Don't sell yourself short Pezhman. Why wouldn't 
we give you some airtime? Especially when you lather on the praise!",1.3,0,0.0,"Jansen to Vikramjit Singh, no run  .good length ball on off, defended to cover.",Jansen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Jansen to Vikramjit Singh, FOUR runs 
fullish length ball on sixth stump, spanked on the up through extra cover to the rope.",1.4,4,4.0,"Jansen to Vikramjit Singh, FOUR runs  .fullish length ball on sixth stump, spanked on the up through extra cover to the rope.",Jansen,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Jansen to Vikramjit Singh, no run 
back of a length tighter on fourth stump, defended to cover.",1.5,0,0.0,"Jansen to Vikramjit Singh, no run  .back of a length tighter on fourth stump, defended to cover.",Jansen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Jansen to Vikramjit Singh, no run 
good length ball on off at 134 kph, defended to cover. 
end of over 25 runs  
NED: 13/0CRR: 6.50 • RRR: 7.45 • Need 358 runs from 48 overs 
Vikramjit Singh12 (11b 3x4) 
Max O'Dowd1 (1b) 
Marco Jansen 1-0-5-0 
Lungi Ngidi 1-0-8-0",1.6,0,0.0,"Jansen to Vikramjit Singh, no run  .good length ball on off at 134 kph, defended to cover.",Jansen,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Ngidi to O'Dowd, no run 
full on fifth stump at 140 kph swinging away a touch late, beats O'Dowd driving hard at 
the delivery.",2.1,0,0.0,"Ngidi to O'Dowd, no run  .full on fifth stump at 140 kph swinging away a touch late, beats O'Dowd driving hard at  .the delivery.",Ngidi,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Ngidi to O'Dowd, no run 
full on fourth stump, defended to extra cover.",2.2,0,0.0,"Ngidi to O'Dowd, no run  .full on fourth stump, defended to extra cover.",Ngidi,O'Dowd,0.0,0,0,1,1,0.0,0,,0
