raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Jansen to Young, 1 run 
Length, on the hip - 85mph - tucked away through square leg and New Zealand are up 
and running 
Slip, gully and backward point for Ravindra",0.1,1,1.0,"Jansen to Young, 1 run  .Length, on the hip - 85mph - tucked away through square leg and New Zealand are up  .and running  .Slip, gully and backward point for Ravindra",Jansen,Young,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Jansen to Ravindra, no run 
139.3kph/86mph, full of that length, into the top of off, defended",0.2,0,0.0,"Jansen to Ravindra, no run  .139.3kph/86mph, full of that length, into the top of off, defended",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Jansen to Ravindra, no run 
Mid crease, straighter, angled into middle and leg at 142.8kpg/89mph, pushed towards 
mid on",0.3,0,0.0,"Jansen to Ravindra, no run  .Mid crease, straighter, angled into middle and leg at 142.8kpg/89mph, pushed towards  .mid on",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Jansen to Ravindra, no run 
Tighter to the stumps, bouncer, 137.5kph, 85mph, Ravindra thinks about going at it but 
decides to sway",0.4,0,0.0,"Jansen to Ravindra, no run  .Tighter to the stumps, bouncer, 137.5kph, 85mph, Ravindra thinks about going at it but  .decides to sway",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.5 
1w 
Jansen to Ravindra, 1 wide 
Down the leg side",0.5,1w,1.0,"Jansen to Ravindra, 1 wide  .Down the leg side",Jansen,Ravindra,0.0,0,0,0,0,1.0,0,,1
"0.5 
• 
Jansen to Ravindra, no run 
Mid-crease, into middle and off, defended back down the pitch",0.5,0,0.0,"Jansen to Ravindra, no run  .Mid-crease, into middle and off, defended back down the pitch",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Jansen to Ravindra, no run 
Good line, just outside off, 142.2kph/88mph, left alone 
end of over 12 runs  
NZ: 2/0CRR: 2.00  
Rachin Ravindra0 (5b) 
Will Young1 (1b) 
Marco Jansen 1-0-2-0 
Lungi Ngidi with the new ball at the Iqbal End",0.6,0,0.0,"Jansen to Ravindra, no run  .Good line, just outside off, 142.2kph/88mph, left alone",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Ngidi to Young, no run 
Starts into the pitch, 133.6kph/83mph, no real bounce, or pace off the pitch, bunted out 
to cover",1.1,0,0.0,"Ngidi to Young, no run  .Starts into the pitch, 133.6kph/83mph, no real bounce, or pace off the pitch, bunted out  .to cover",Ngidi,Young,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Ngidi to Young, no run 
Wide of the crease, angled in full, 138.2kph/86mph, worked to midwicket",1.2,0,0.0,"Ngidi to Young, no run  .Wide of the crease, angled in full, 138.2kph/86mph, worked to midwicket",Ngidi,Young,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Ngidi to Young, no run 
Again wide of the crease, full on off stump, 134.8kph, driven to Temba at mid off. Young 
thought he'd got that away down the ground but not quite out of the middle",1.3,0,0.0,"Ngidi to Young, no run  .Again wide of the crease, full on off stump, 134.8kph, driven to Temba at mid off. Young  .thought he'd got that away down the ground but not quite out of the middle",Ngidi,Young,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Ngidi to Young, FOUR runs 
Edged over Jansen at first slip! Length, bit of width, Young has a go at a cut, but the ball 
gets a bit big on him, but he goes through the shot and manages to get it over the tallest 
man on the field! 
 
SA in Powerplay overs (in Champions Trophy, 2024/25) 
INNS 
3 
WKTS 
5 
ECON 
4.85 
AVE 
21.20",1.4,4,4.0,"Ngidi to Young, FOUR runs  .Edged over Jansen at first slip! Length, bit of width, Young has a go at a cut, but the ball  .gets a bit big on him, but he goes through the shot and manages to get it over the tallest  .man on the field!  .  .SA in Powerplay overs (in Champions Trophy, 2024/25)  .INNS  .3  .WKTS  .5  .ECON  .4.85  .AVE  .21.20",Ngidi,Young,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Ngidi to Young, no run 
Fuller, straighter, angled into off stump once more, pushed to cover",1.5,0,0.0,"Ngidi to Young, no run  .Fuller, straighter, angled into off stump once more, pushed to cover",Ngidi,Young,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Ngidi to Young, no run 
Length, 134.9kph/84mph, hint of seam in from about a fourth stump line, played away 
into the off side without any real intent 
end of over 24 runs  
NZ: 6/0CRR: 3.00  
Will Young5 (7b 1x4) 
Rachin Ravindra0 (5b) 
Lungi Ngidi 1-0-4-0 
Marco Jansen 1-0-2-0 
Hannes: ""I don't understand why SA gives the new ball to Ngidi when you have one of 
the best bowlers in your team like Rabada? Doesn't make sense to me especially in a 
Semi Final."" Wasn't 't the tidiest over from Ngidi, all told. Touch too wide, and didn't 
seem to gauge what length to bowl. Still, plenty of time to correct...",1.6,0,0.0,"Ngidi to Young, no run  .Length, 134.9kph/84mph, hint of seam in from about a fourth stump line, played away  .into the off side without any real intent",Ngidi,Young,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Jansen to Ravindra, no run 
Bumper again, Ravindra sways again",2.1,0,0.0,"Jansen to Ravindra, no run  .Bumper again, Ravindra sways again",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Jansen to Ravindra, no run 
Fuller, on off stump, 138.4kph/86mph, fended towards cover",2.2,0,0.0,"Jansen to Ravindra, no run  .Fuller, on off stump, 138.4kph/86mph, fended towards cover",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Jansen to Ravindra, no run 
Wider on the crease, up at the hip, 140.7kph/87mph, watched and defended off the back 
foot",2.3,0,0.0,"Jansen to Ravindra, no run  .Wider on the crease, up at the hip, 140.7kph/87mph, watched and defended off the back  .foot",Jansen,Ravindra,0.0,0,0,1,1,0.0,0,,0
