raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rabada to Avishka Fernando, no run 
hard length on the stumps, nipping away, defended back by getting behind the ball",0.1,0,0.0,"Rabada to Avishka Fernando, no run  .hard length on the stumps, nipping away, defended back by getting behind the ball",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rabada to Avishka Fernando, no run 
length ball in the channel, tapped to point",0.2,0,0.0,"Rabada to Avishka Fernando, no run  .length ball in the channel, tapped to point",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.3 
2lb 
Rabada to Avishka Fernando, 2 leg byes 
strays on the pads and the ball is tickled fine off the pad. There's a fine leg in place to 
clean up.",0.3,2lb,2.0,"Rabada to Avishka Fernando, 2 leg byes  .strays on the pads and the ball is tickled fine off the pad. There's a fine leg in place to  .clean up.",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Rabada to Avishka Fernando, 1 wide 
shorter but down legside again, he can't connect with the pull but the ball's going to be a 
wide anyway.",0.4,1w,1.0,"Rabada to Avishka Fernando, 1 wide  .shorter but down legside again, he can't connect with the pull but the ball's going to be a  .wide anyway.",Rabada,Avishka Fernando,0.0,0,0,0,0,1.0,0,,1
"0.4 
1w 
Rabada to Avishka Fernando, 1 wide 
length ball outside off. This is called wide again. A bit harsh I think, that was on the 
tram-line.",0.4,1w,1.0,"Rabada to Avishka Fernando, 1 wide  .length ball outside off. This is called wide again. A bit harsh I think, that was on the  .tram-line.",Rabada,Avishka Fernando,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Rabada to Avishka Fernando, no run 
length on the stumps, turned to midwicket",0.4,0,0.0,"Rabada to Avishka Fernando, no run  .length on the stumps, turned to midwicket",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rabada to Avishka Fernando, no run 
beaten on the outside edge. Looking to drive on the up, getting on the front foot but 
Rabada has bowled this in the channel, and it straightens a touch to go past",0.5,0,0.0,"Rabada to Avishka Fernando, no run  .beaten on the outside edge. Looking to drive on the up, getting on the front foot but  .Rabada has bowled this in the channel, and it straightens a touch to go past",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Rabada to Avishka Fernando, 1 wide 
Rabada's radar all over the place in this first over. This one is back of a length but going 
well down legside",0.6,1w,1.0,"Rabada to Avishka Fernando, 1 wide  .Rabada's radar all over the place in this first over. This one is back of a length but going  .well down legside",Rabada,Avishka Fernando,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Rabada to Avishka Fernando, no run 
length on off, steered to point. Five runs in the over, but all via extras. 
end of over 15 runs  
SL: 5/0CRR: 5.00  
Avishka Fernando0 (6b) 
Dinesh Chandimal0 (0b) 
Kagiso Rabada 1-0-3-0 
Interesting. Maharaj to share the new ball. Round the wicket.",0.6,0,0.0,"Rabada to Avishka Fernando, no run  .length on off, steered to point. Five runs in the over, but all via extras.",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Maharaj to Chandimal, no run 
good length on the stumps, on the front foot to defend",1.1,0,0.0,"Maharaj to Chandimal, no run  .good length on the stumps, on the front foot to defend",Maharaj,Chandimal,0.0,0,0,1,1,0.0,0,,0
