raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
McMullen to McBrine, 1 run 
full delivery on leg stump that shapes into the batter gently. McBrine comes forward 
and helps it behind square to get off the mark",0.1,1,1.0,"McMullen to McBrine, 1 run  .full delivery on leg stump that shapes into the batter gently. McBrine comes forward  .and helps it behind square to get off the mark",McMullen,McBrine,1.0,0,0,1,1,1.0,0,,1
"0.2 
W 
McMullen to Stirling, OUT 
straighter this time, angling back into the pads. Clipped behind square for one 
Paul Stirling c Watt b McMullen 0 (1b 0x4 0x6 1m) SR: 0 
Captain Balbirnie walks out, a lot earlier than he would have hoped or expected",0.2,W,0.0,"McMullen to Stirling, OUT  .straighter this time, angling back into the pads. Clipped behind square for one  .Paul Stirling c Watt b McMullen 0 (1b 0x4 0x6 1m) SR: 0",McMullen,Stirling,0.0,0,0,1,1,0.0,1,c Watt b McMullen,0
"0.3 
W 
McMullen to Balbirnie, OUT 
two in two! Bedlam in Bulawayo! Ireland are in all sorts of trouble! Full delivery on off 
stump that threatens to shape away before pitching and holding its line. It might have 
nipped back a touch too and Balbirnie, expecting the away movement, plays outside the 
line. The ball breezes past the inside edge and pins him on the pads. The umpire thinks 
about it before raising his finger. That looked pretty adjacent! 
Andy Balbirnie lbw b McMullen 0 (1b 0x4 0x6 1m) SR: 0 
Tector in at 4, and he has to face McMullen's hat-trick ball first up...",0.3,W,0.0,"McMullen to Balbirnie, OUT  .two in two! Bedlam in Bulawayo! Ireland are in all sorts of trouble! Full delivery on off  .stump that threatens to shape away before pitching and holding its line. It might have  .nipped back a touch too and Balbirnie, expecting the away movement, plays outside the  .line. The ball breezes past the inside edge and pins him on the pads. The umpire thinks  .about it before raising his finger. That looked pretty adjacent!  .Andy Balbirnie lbw b McMullen 0 (1b 0x4 0x6 1m) SR: 0",McMullen,Balbirnie,0.0,0,0,1,1,0.0,1,lbw b McMullen,0
"0.4 
• 
McMullen to Tector, no run 
length delivery outside off stump that shapes away. Tector has a long, hard look at it 
before letting it go",0.4,0,0.0,"McMullen to Tector, no run  .length delivery outside off stump that shapes away. Tector has a long, hard look at it  .before letting it go",McMullen,Tector,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
McMullen to Tector, no run 
full delivery just outside off stump. Tector gets a decent stride forward and presents the 
full face of the bat",0.5,0,0.0,"McMullen to Tector, no run  .full delivery just outside off stump. Tector gets a decent stride forward and presents the  .full face of the bat",McMullen,Tector,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
McMullen to Tector, no run 
back of a length delivery just outside off stump. Tector lets the ball come to him before 
meeting it right under his eyes 
end of over 11 run • 2 wickets 
IRE: 1/2CRR: 1.00  
Harry Tector0 (3b) 
Andy McBrine1 (1b) 
Brandon McMullen 1-0-1-2 
Sole to take the new ball from the other end. Around the wicket to McBrine",0.6,0,0.0,"McMullen to Tector, no run  .back of a length delivery just outside off stump. Tector lets the ball come to him before  .meeting it right under his eyes",McMullen,Tector,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sole to McBrine, no run 
back of a length delivery angled into leg stump. The ball zips off the surface and pings 
McBrine on the thigh pad, much before his bat comes down",1.1,0,0.0,"Sole to McBrine, no run  .back of a length delivery angled into leg stump. The ball zips off the surface and pings  .McBrine on the thigh pad, much before his bat comes down",Sole,McBrine,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Sole to McBrine, 1 wide 
back of a length delivery fired down the leg side. McBrine leaves it alone as the umpire 
indulges in some exercise",1.2,1w,1.0,"Sole to McBrine, 1 wide  .back of a length delivery fired down the leg side. McBrine leaves it alone as the umpire  .indulges in some exercise",Sole,McBrine,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Sole to McBrine, no run 
oh! Length delivery on middle and off stump that nips back sharply. McBrine dangles his 
bat and jams it off the inside edge into his thigh pad",1.2,0,0.0,"Sole to McBrine, no run  .oh! Length delivery on middle and off stump that nips back sharply. McBrine dangles his  .bat and jams it off the inside edge into his thigh pad",Sole,McBrine,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Sole to McBrine, no run 
back of a length delivery on middle and off stump. McBrine hops up onto his toes and 
fends it into the off side",1.3,0,0.0,"Sole to McBrine, no run  .back of a length delivery on middle and off stump. McBrine hops up onto his toes and  .fends it into the off side",Sole,McBrine,0.0,0,0,1,1,0.0,0,,0
