raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Trumpelmann to Coetzer, OUT 
Kyle Coetzer lbw b Trumpelmann 0 (1b 0x4 0x6) SR: 0",0.1,W,0.0,"Trumpelmann to Coetzer, OUT  .Kyle Coetzer lbw b Trumpelmann 0 (1b 0x4 0x6) SR: 0",Trumpelmann,Coetzer,0.0,0,0,1,1,0.0,1,lbw b Trumpelmann,0
"0.2 
1lb 
Trumpelmann to McBride, 1 leg bye",0.2,1lb,1.0,"Trumpelmann to McBride, 1 leg bye",Trumpelmann,McBride,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Trumpelmann to Munsey, no run",0.3,0,0.0,"Trumpelmann to Munsey, no run",Trumpelmann,Munsey,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Trumpelmann to Munsey, no run",0.4,0,0.0,"Trumpelmann to Munsey, no run",Trumpelmann,Munsey,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Trumpelmann to Munsey, no run",0.5,0,0.0,"Trumpelmann to Munsey, no run",Trumpelmann,Munsey,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Trumpelmann to Munsey, no run 
end of over 1Wicket maiden 
SCOT: 1/1CRR: 1.00  
George Munsey0 (4b) 
Christopher McBride0 (1b) 
Ruben Trumpelmann 1-1-0-1",0.6,0,0.0,"Trumpelmann to Munsey, no run",Trumpelmann,Munsey,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Smit to McBride, 1 run",1.1,1,1.0,"Smit to McBride, 1 run",Smit,McBride,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Smit to Munsey, FOUR runs",1.2,4,4.0,"Smit to Munsey, FOUR runs",Smit,Munsey,4.0,1,0,1,1,4.0,0,,1
"1.3 
1w 
Smit to Munsey, 1 wide",1.3,1w,1.0,"Smit to Munsey, 1 wide",Smit,Munsey,0.0,0,0,0,0,1.0,0,,1
"1.3 
• 
Smit to Munsey, no run",1.3,0,0.0,"Smit to Munsey, no run",Smit,Munsey,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Smit to Munsey, 1 run",1.4,1,1.0,"Smit to Munsey, 1 run",Smit,Munsey,1.0,0,0,1,1,1.0,0,,1
"1.5 
1 
Smit to McBride, 1 run",1.5,1,1.0,"Smit to McBride, 1 run",Smit,McBride,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Smit to Munsey, no run 
end of over 28 runs  
SCOT: 9/1CRR: 4.50  
George Munsey5 (8b 1x4) 
Christopher McBride2 (3b) 
JJ Smit 1-0-8-0 
Ruben Trumpelmann 1-1-0-1",1.6,0,0.0,"Smit to Munsey, no run",Smit,Munsey,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Trumpelmann to McBride, no run",2.1,0,0.0,"Trumpelmann to McBride, no run",Trumpelmann,McBride,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Trumpelmann to McBride, FOUR runs",2.2,4,4.0,"Trumpelmann to McBride, FOUR runs",Trumpelmann,McBride,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Trumpelmann to McBride, no run",2.3,0,0.0,"Trumpelmann to McBride, no run",Trumpelmann,McBride,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Trumpelmann to McBride, no run",2.4,0,0.0,"Trumpelmann to McBride, no run",Trumpelmann,McBride,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Trumpelmann to McBride, no run",2.5,0,0.0,"Trumpelmann to McBride, no run",Trumpelmann,McBride,0.0,0,0,1,1,0.0,0,,0
