raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bukhari to Watts, no run 
left alone outside off, good pace",0.1,0,0.0,"Bukhari to Watts, no run  .left alone outside off, good pace",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bukhari to Watts, no run 
thick outside edge to gully",0.2,0,0.0,"Bukhari to Watts, no run  .thick outside edge to gully",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bukhari to Watts, no run 
blocked to midwicket, he wants a quick run but it's not there 
I've just noticed we're playing with what looks like pink stumps! For any particular 
reason I'm not sure!",0.3,0,0.0,"Bukhari to Watts, no run  .blocked to midwicket, he wants a quick run but it's not there  .I've just noticed we're playing with what looks like pink stumps! For any particular  .reason I'm not sure!",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bukhari to Watts, no run 
well outside off, left alone",0.4,0,0.0,"Bukhari to Watts, no run  .well outside off, left alone",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bukhari to Watts, no run 
too wide and he lets the ball fly through to the keeper",0.5,0,0.0,"Bukhari to Watts, no run  .too wide and he lets the ball fly through to the keeper",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Bukhari to Watts, 2 runs 
drives on the back foot through the covers, two runs in the gap 
end of over 12 runs  
SCOT: 2/0CRR: 2.00  
Fraser Watts2 (6b) 
Kyle Coetzer0 (0b) 
Mudassar Bukhari 1-0-2-0",0.6,2,2.0,"Bukhari to Watts, 2 runs  .drives on the back foot through the covers, two runs in the gap",Bukhari,Watts,2.0,0,0,1,1,2.0,0,,1
"1.1 
4 
Westdijk to Coetzer, FOUR runs 
too short, leans back and pulled away behind square leg for four, off the mark straight 
away",1.1,4,4.0,"Westdijk to Coetzer, FOUR runs  .too short, leans back and pulled away behind square leg for four, off the mark straight  .away",Westdijk,Coetzer,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Westdijk to Coetzer, no run 
cut to the man at point",1.2,0,0.0,"Westdijk to Coetzer, no run  .cut to the man at point",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Westdijk to Coetzer, 1 run 
good pace and a flashing drive, inside edge runs away to fine leg",1.3,1,1.0,"Westdijk to Coetzer, 1 run  .good pace and a flashing drive, inside edge runs away to fine leg",Westdijk,Coetzer,1.0,0,0,1,1,1.0,0,,1
"1.4 
3lb 
Westdijk to Watts, 3 leg byes 
off the pads and drops to square leg, they scamper a single and a rash throw from the 
Dutch fielder gives two more down to mid-on. Buzzers!",1.4,3lb,3.0,"Westdijk to Watts, 3 leg byes  .off the pads and drops to square leg, they scamper a single and a rash throw from the  .Dutch fielder gives two more down to mid-on. Buzzers!",Westdijk,Watts,0.0,0,0,1,1,0.0,0,,0
"1.5 
2 
Westdijk to Coetzer, 2 runs 
flicked round the corner to fine leg, wide of the fielder and they jog a second",1.5,2,2.0,"Westdijk to Coetzer, 2 runs  .flicked round the corner to fine leg, wide of the fielder and they jog a second",Westdijk,Coetzer,2.0,0,0,1,1,2.0,0,,1
"1.6 
• 
Westdijk to Coetzer, no run 
driven hard back at the bowler 
end of over 210 runs  
SCOT: 12/0CRR: 6.00  
Kyle Coetzer7 (5b 1x4) 
Fraser Watts2 (7b) 
Berend Westdijk 1-0-7-0 
Mudassar Bukhari 1-0-2-0",1.6,0,0.0,"Westdijk to Coetzer, no run  .driven hard back at the bowler",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"2.1 
1w 
Bukhari to Watts, 1 wide 
down the leg-side",2.1,1w,1.0,"Bukhari to Watts, 1 wide  .down the leg-side",Bukhari,Watts,0.0,0,0,0,0,1.0,0,,1
"2.1 
2 
Bukhari to Watts, 2 runs 
driving again, thick edge to deep square leg",2.1,2,2.0,"Bukhari to Watts, 2 runs  .driving again, thick edge to deep square leg",Bukhari,Watts,2.0,0,0,1,1,2.0,0,,1
"2.2 
• 
Bukhari to Watts, no run 
gets on the front foot early, decides to leave the ball outside off",2.2,0,0.0,"Bukhari to Watts, no run  .gets on the front foot early, decides to leave the ball outside off",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Bukhari to Watts, no run 
blocked away to point, again looking for a quick single but it's not available",2.3,0,0.0,"Bukhari to Watts, no run  .blocked away to point, again looking for a quick single but it's not available",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Bukhari to Watts, no run 
shorter ball squares him up with the defensive shot",2.4,0,0.0,"Bukhari to Watts, no run  .shorter ball squares him up with the defensive shot",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Bukhari to Watts, no run 
drives away a shorter ball to point",2.5,0,0.0,"Bukhari to Watts, no run  .drives away a shorter ball to point",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"2.6 
2 
Bukhari to Watts, 2 runs 
blocked in to the leg-side, the ball trickles to the man at deep square slowly and they 
come sprinting back for a second 
end of over 35 runs  
SCOT: 17/0CRR: 5.66  
Fraser Watts6 (13b) 
Kyle Coetzer7 (5b 1x4) 
Mudassar Bukhari 2-0-7-0 
Berend Westdijk 1-0-7-0",2.6,2,2.0,"Bukhari to Watts, 2 runs  .blocked in to the leg-side, the ball trickles to the man at deep square slowly and they  .come sprinting back for a second",Bukhari,Watts,2.0,0,0,1,1,2.0,0,,1
"3.1 
• 
Westdijk to Coetzer, no run 
left alone outside off, too wide to tempt him in to playing",3.1,0,0.0,"Westdijk to Coetzer, no run  .left alone outside off, too wide to tempt him in to playing",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Westdijk to Coetzer, FOUR runs 
wide again, but a little bit shorter and cut away between cover and point for four runs, 
lovely shot, and a gently ripple of applause from the small crowd and teammates",3.2,4,4.0,"Westdijk to Coetzer, FOUR runs  .wide again, but a little bit shorter and cut away between cover and point for four runs,  .lovely shot, and a gently ripple of applause from the small crowd and teammates",Westdijk,Coetzer,4.0,1,0,1,1,4.0,0,,1
"3.3 
• 
Westdijk to Coetzer, no run 
content with the boundary, solid block in to the off-side",3.3,0,0.0,"Westdijk to Coetzer, no run  .content with the boundary, solid block in to the off-side",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Westdijk to Coetzer, no run 
drives hard to the man in on the drive at short cover, who snaffles the ball quickly, Watts 
was backing up and slightly out his crease, as the fielder smashed down the stumps. 
Big shouts go up but he just managed to dive in on time",3.4,0,0.0,"Westdijk to Coetzer, no run  .drives hard to the man in on the drive at short cover, who snaffles the ball quickly, Watts  .was backing up and slightly out his crease, as the fielder smashed down the stumps.  .Big shouts go up but he just managed to dive in on time",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Westdijk to Coetzer, no run 
defends back to the bowler on the front foot",3.5,0,0.0,"Westdijk to Coetzer, no run  .defends back to the bowler on the front foot",Westdijk,Coetzer,0.0,0,0,1,1,0.0,0,,0
"3.6 
2 
Westdijk to Coetzer, 2 runs 
clipped over midwicket, in the air but in to a big gap as they pick up two 
end of over 46 runs  
SCOT: 23/0CRR: 5.75  
Kyle Coetzer13 (11b 2x4) 
Fraser Watts6 (13b) 
Berend Westdijk 2-0-13-0 
Mudassar Bukhari 2-0-7-0",3.6,2,2.0,"Westdijk to Coetzer, 2 runs  .clipped over midwicket, in the air but in to a big gap as they pick up two",Westdijk,Coetzer,2.0,0,0,1,1,2.0,0,,1
"4.1 
• 
Bukhari to Watts, no run 
defended in to the off-side",4.1,0,0.0,"Bukhari to Watts, no run  .defended in to the off-side",Bukhari,Watts,0.0,0,0,1,1,0.0,0,,0
"4.2 
1 
Bukhari to Watts, 1 run 
late cut away to third man",4.2,1,1.0,"Bukhari to Watts, 1 run  .late cut away to third man",Bukhari,Watts,1.0,0,0,1,1,1.0,0,,1
"4.3 
• 
Bukhari to Coetzer, no run 
good line and length, blocked in to the covers",4.3,0,0.0,"Bukhari to Coetzer, no run  .good line and length, blocked in to the covers",Bukhari,Coetzer,0.0,0,0,1,1,0.0,0,,0
