raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bilal Khan to McBride, no run 
the bat face half-closes, as it is a length ball slanted on middle and off, as it even angles 
in. Nudged to the man behind square",0.1,0,0.0,"Bilal Khan to McBride, no run  .the bat face half-closes, as it is a length ball slanted on middle and off, as it even angles  .in. Nudged to the man behind square",Bilal Khan,McBride,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bilal Khan to McBride, no run 
another length delivery, although this is on off stump. Dabbed down",0.2,0,0.0,"Bilal Khan to McBride, no run  .another length delivery, although this is on off stump. Dabbed down",Bilal Khan,McBride,0.0,0,0,1,1,0.0,0,,0
"0.3 
W 
Bilal Khan to McBride, OUT 
pins him in front third ball! The umpire took a second or two extra to decide, before 
raising his before. This time Bilal went fuller than the two previous balls, and pitched it 
on middle. The ball angled in late - or rather straightened - and struck McBride on his 
front pad as he missed his attempted flick. Scotland lose an early wicket again 
Christopher McBride lbw b Bilal Khan 0 (3b 0x4 0x6 1m) SR: 0 
See all photos 
Here comes McMullen",0.3,W,0.0,"Bilal Khan to McBride, OUT  .pins him in front third ball! The umpire took a second or two extra to decide, before  .raising his before. This time Bilal went fuller than the two previous balls, and pitched it  .on middle. The ball angled in late - or rather straightened - and struck McBride on his  .front pad as he missed his attempted flick. Scotland lose an early wicket again  .Christopher McBride lbw b Bilal Khan 0 (3b 0x4 0x6 1m) SR: 0",Bilal Khan,McBride,0.0,0,0,1,1,0.0,1,lbw b Bilal Khan,0
"0.4 
• 
Bilal Khan to McMullen, no run 
quite full ball bang on off stump, as it hints to angle in. He takes a good stride forward 
to push to point",0.4,0,0.0,"Bilal Khan to McMullen, no run  .quite full ball bang on off stump, as it hints to angle in. He takes a good stride forward  .to push to point",Bilal Khan,McMullen,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bilal Khan to McMullen, no run 
very full on middle and off, and his bat loses a part of its slice, as a chunk comes off 
when he flicks it. A new bat is called for 
Short midwicket in place",0.5,0,0.0,"Bilal Khan to McMullen, no run  .very full on middle and off, and his bat loses a part of its slice, as a chunk comes off  .when he flicks it. A new bat is called for  .Short midwicket in place",Bilal Khan,McMullen,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bilal Khan to McMullen, no run 
good length ball, which straightens after pitching on middle. Tapped down from deep in 
the crease 
end of over 1Wicket maiden 
SCOT: 0/1CRR: 0.00  
Brandon McMullen0 (3b) 
Matthew Cross0 (0b) 
Bilal Khan 1-1-0-1 
Butt from the other end. Two slips present.",0.6,0,0.0,"Bilal Khan to McMullen, no run  .good length ball, which straightens after pitching on middle. Tapped down from deep in  .the crease",Bilal Khan,McMullen,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Fayyaz Butt to Cross, no run 
fullish delivery just outside off, as it moves away a bit after pitching. Pushed towards 
point 
Second slip moves to gully",1.1,0,0.0,"Fayyaz Butt to Cross, no run  .fullish delivery just outside off, as it moves away a bit after pitching. Pushed towards  .point  .Second slip moves to gully",Fayyaz Butt,Cross,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Fayyaz Butt to Cross, 1 run 
low full toss, which was swinging away, and ended around off. Drives forward, but gets 
it off the outside half of the bat to deep third",1.2,1,1.0,"Fayyaz Butt to Cross, 1 run  .low full toss, which was swinging away, and ended around off. Drives forward, but gets  .it off the outside half of the bat to deep third",Fayyaz Butt,Cross,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Fayyaz Butt to McMullen, no run 
loud appeal for leg before wicket, but this certainly seemed heading down the leg side. 
Length ball on middle, which was angled in, and goes on with the arm to strike 
McMullen on the leg stump, as he leaned forward to try and clip, but missed",1.3,0,0.0,"Fayyaz Butt to McMullen, no run  .loud appeal for leg before wicket, but this certainly seemed heading down the leg side.  .Length ball on middle, which was angled in, and goes on with the arm to strike  .McMullen on the leg stump, as he leaned forward to try and clip, but missed",Fayyaz Butt,McMullen,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Fayyaz Butt to McMullen, no run 
fuller ball on off, and pushed down to mid-off",1.4,0,0.0,"Fayyaz Butt to McMullen, no run  .fuller ball on off, and pushed down to mid-off",Fayyaz Butt,McMullen,0.0,0,0,1,1,0.0,0,,0
