raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Ngarava to McBride, no run 
good length on the pads to start, worked straight to short midwicket",0.1,0,0.0,"Ngarava to McBride, no run  .good length on the pads to start, worked straight to short midwicket",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Ngarava to McBride, no run 
This one pitches on the stumps and keeps going across the right hander. McBride 
pushes at it and is beaten on the outside edge",0.2,0,0.0,"Ngarava to McBride, no run  .This one pitches on the stumps and keeps going across the right hander. McBride  .pushes at it and is beaten on the outside edge",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Ngarava to McBride, 1 run 
good length on the stumps, pushes it in front of mid-on for a quick single",0.3,1,1.0,"Ngarava to McBride, 1 run  .good length on the stumps, pushes it in front of mid-on for a quick single",Ngarava,McBride,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Ngarava to Cross, no run 
good length just outside off, watchfully left by Cross 
Charlie : ""This looks a better Zimbabwean side than the previous ones. Innocent has a 
solid technique and can be aggressive as well. There are enough bowlers to cover 50 
overs so Luke won't be missed much. Chatara will come through again as he as done 
for Zim in tight situations. Exciting stuff. I hope Zim comes through and don't choke.""",0.4,0,0.0,"Ngarava to Cross, no run  .good length just outside off, watchfully left by Cross",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Ngarava to Cross, no run 
pulls the length a little shorter on the stumps, comes back in to the batter. Defended 
from within the crease",0.5,0,0.0,"Ngarava to Cross, no run  .pulls the length a little shorter on the stumps, comes back in to the batter. Defended  .from within the crease",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"0.6 
3 
Ngarava to Cross, 3 runs 
Driven in the air but in the gap, this was a good length outside off and Cross checks the 
drive, it flies between point and cover. Valiant effort on the boundary to chase back and 
haul it in centimetres from the rope 
end of over 14 runs  
SCOT: 4/0CRR: 4.00  
Matthew Cross3 (3b) 
Christopher McBride1 (3b) 
Richard Ngarava 1-0-4-0 
Muzarabani from over the wicket",0.6,3,3.0,"Ngarava to Cross, 3 runs  .Driven in the air but in the gap, this was a good length outside off and Cross checks the  .drive, it flies between point and cover. Valiant effort on the boundary to chase back and  .haul it in centimetres from the rope",Ngarava,Cross,3.0,0,0,1,1,3.0,0,,1
"1.1 
• 
Muzarabani to Cross, no run 
Dicey leave! My word this nips back a ton from outside off. Cross leaves this on length 
and it's masterfully judged as this whizzes over middle and leg",1.1,0,0.0,"Muzarabani to Cross, no run  .Dicey leave! My word this nips back a ton from outside off. Cross leaves this on length  .and it's masterfully judged as this whizzes over middle and leg",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Muzarabani to Cross, no run 
good length now, again angled in. Defended from within the crease",1.2,0,0.0,"Muzarabani to Cross, no run  .good length now, again angled in. Defended from within the crease",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Muzarabani to Cross, no run 
fuller targeting off stump, Cross gets behind the line and defends",1.3,0,0.0,"Muzarabani to Cross, no run  .fuller targeting off stump, Cross gets behind the line and defends",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Muzarabani to Cross, 1 run 
back of a length outside off, opens the face and defends this down to third man",1.4,1,1.0,"Muzarabani to Cross, 1 run  .back of a length outside off, opens the face and defends this down to third man",Muzarabani,Cross,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Muzarabani to McBride, no run 
full on off, pushed to short mid-off 
Ryan: ""I think Madhevere should have been dropped, and leave Jongwe or Evans in""",1.5,0,0.0,"Muzarabani to McBride, no run  .full on off, pushed to short mid-off",Muzarabani,McBride,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Muzarabani to McBride, FOUR runs 
Lovely straight drive! This was just full of a good length and McBride leans into this 
straight drive, all the away along the ground past the bowler's outstretched hand 
end of over 25 runs  
SCOT: 9/0CRR: 4.50  
Christopher McBride5 (5b 1x4) 
Matthew Cross4 (7b) 
Blessing Muzarabani 1-0-5-0 
Richard Ngarava 1-0-4-0",1.6,4,4.0,"Muzarabani to McBride, FOUR runs  .Lovely straight drive! This was just full of a good length and McBride leans into this  .straight drive, all the away along the ground past the bowler's outstretched hand",Muzarabani,McBride,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Ngarava to Cross, no run 
good length outside off, left",2.1,0,0.0,"Ngarava to Cross, no run  .good length outside off, left",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Ngarava to Cross, no run 
goes past the edge! This was slightly fuller and catches Cross in the crease looking to 
defend. Zips past",2.2,0,0.0,"Ngarava to Cross, no run  .goes past the edge! This was slightly fuller and catches Cross in the crease looking to  .defend. Zips past",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Ngarava to Cross, no run 
And again! This one was wider and full again, Cross thinks about the drive and just pulls 
his bat back and the last second as this skids past the edge",2.3,0,0.0,"Ngarava to Cross, no run  .And again! This one was wider and full again, Cross thinks about the drive and just pulls  .his bat back and the last second as this skids past the edge",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Ngarava to Cross, no run 
good length just outside off, 134kph, nips away a touch. Once more Cross pulls out at 
the last moment, as he's unsure if this is coming back in or holding it's line",2.4,0,0.0,"Ngarava to Cross, no run  .good length just outside off, 134kph, nips away a touch. Once more Cross pulls out at  .the last moment, as he's unsure if this is coming back in or holding it's line",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Ngarava to Cross, 1 run 
straighter on the pads, worked towards square leg for one",2.5,1,1.0,"Ngarava to Cross, 1 run  .straighter on the pads, worked towards square leg for one",Ngarava,Cross,1.0,0,0,1,1,1.0,0,,1
"2.6 
1 
Ngarava to McBride, 1 run 
shorter, short-arm pull behind square leg for one 
end of over 32 runs  
SCOT: 11/0CRR: 3.66  
Christopher McBride6 (6b 1x4) 
Matthew Cross5 (12b) 
Richard Ngarava 2-0-6-0 
Blessing Muzarabani 1-0-5-0 
Vinith: ""In grounds like these where the first 10-15 are very tough and the remaining are 
very easy, it makes the most sense to send your bowlers to open the batting. You are 
surely gonna lose wickets. Lose the ones that don't matter. Then have the actual 
batsmen score at a quick pace."" Have you seen the Zim tail lately, Vinith? They can 
certainly hold their own.",2.6,1,1.0,"Ngarava to McBride, 1 run  .shorter, short-arm pull behind square leg for one",Ngarava,McBride,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Muzarabani to McBride, no run 
good length on off, pushes at this and gets an inside edge towards square leg",3.1,0,0.0,"Muzarabani to McBride, no run  .good length on off, pushes at this and gets an inside edge towards square leg",Muzarabani,McBride,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Muzarabani to McBride, no run 
full on the pads, whipped straight to square leg",3.2,0,0.0,"Muzarabani to McBride, no run  .full on the pads, whipped straight to square leg",Muzarabani,McBride,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Muzarabani to McBride, no run 
length outside off, gets forward and pushes this towards point",3.3,0,0.0,"Muzarabani to McBride, no run  .length outside off, gets forward and pushes this towards point",Muzarabani,McBride,0.0,0,0,1,1,0.0,0,,0
"3.4 
1 
Muzarabani to McBride, 1 run 
back of a length on the stumps, defended to mid-on for a quick single. Direct hit on the 
pick up and throw but the batter is well in 
Zaj: ""I can understand Madhevere's Selection....Masakadza though, selected as the 
main spin bowling option but doesnt even bowl more than 5 overs""",3.4,1,1.0,"Muzarabani to McBride, 1 run  .back of a length on the stumps, defended to mid-on for a quick single. Direct hit on the  .pick up and throw but the batter is well in",Muzarabani,McBride,1.0,0,0,1,1,1.0,0,,1
"3.5 
1 
Muzarabani to Cross, 1 run 
back of a length outside off, hint of shape away. Chopped behind point for one",3.5,1,1.0,"Muzarabani to Cross, 1 run  .back of a length outside off, hint of shape away. Chopped behind point for one",Muzarabani,Cross,1.0,0,0,1,1,1.0,0,,1
"3.6 
2 
Muzarabani to McBride, 2 runs 
Full and wide outside off, driven slightly uppishly behind point for a couple as third man 
scoots around to collect 
end of over 44 runs  
SCOT: 15/0CRR: 3.75  
Christopher McBride9 (11b 1x4) 
Matthew Cross6 (13b) 
Blessing Muzarabani 2-0-9-0 
Richard Ngarava 2-0-6-0",3.6,2,2.0,"Muzarabani to McBride, 2 runs  .Full and wide outside off, driven slightly uppishly behind point for a couple as third man  .scoots around to collect",Muzarabani,McBride,2.0,0,0,1,1,2.0,0,,1
"4.1 
• 
Ngarava to Cross, no run 
back of a length on the stumps, defended straight at short midwicket",4.1,0,0.0,"Ngarava to Cross, no run  .back of a length on the stumps, defended straight at short midwicket",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Ngarava to Cross, no run 
good length just outside off, defended on the front foot 
Sonam: ""Does anyone notice cricinfo new spike graph in live stat section? Well i like it 
very much."" Cheers on behalf of the team, Sonam.",4.2,0,0.0,"Ngarava to Cross, no run  .good length just outside off, defended on the front foot",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Ngarava to Cross, no run 
play and a miss! Slightly full of a good length, entices the drive as this hips past the 
outside edge",4.3,0,0.0,"Ngarava to Cross, no run  .play and a miss! Slightly full of a good length, entices the drive as this hips past the  .outside edge",Ngarava,Cross,0.0,0,0,1,1,0.0,0,,0
"4.4 
1 
Ngarava to Cross, 1 run 
back of a length on off, drop and run towards mid-off",4.4,1,1.0,"Ngarava to Cross, 1 run  .back of a length on off, drop and run towards mid-off",Ngarava,Cross,1.0,0,0,1,1,1.0,0,,1
"4.5 
• 
Ngarava to McBride, no run 
full outside off, looks to drive and edges this along the ground to slip",4.5,0,0.0,"Ngarava to McBride, no run  .full outside off, looks to drive and edges this along the ground to slip",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Ngarava to McBride, no run 
And again beats the edge! Another one on a good length that pitches on middle and off 
and nips away. Has the battery stuck on the crease and fishing at this 
end of over 51 run  
SCOT: 16/0CRR: 3.20  
Christopher McBride9 (13b 1x4) 
Matthew Cross7 (17b) 
Richard Ngarava 3-0-7-0 
Blessing Muzarabani 2-0-9-0",4.6,0,0.0,"Ngarava to McBride, no run  .And again beats the edge! Another one on a good length that pitches on middle and off  .and nips away. Has the battery stuck on the crease and fishing at this",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"5.1 
2 
Muzarabani to Cross, 2 runs 
full on the pads, inside edge onto the pads as this goes down towards fine leg for a 
couple",5.1,2,2.0,"Muzarabani to Cross, 2 runs  .full on the pads, inside edge onto the pads as this goes down towards fine leg for a  .couple",Muzarabani,Cross,2.0,0,0,1,1,2.0,0,,1
"5.2 
• 
Muzarabani to Cross, no run 
good length on middle, pushed towards mid-on",5.2,0,0.0,"Muzarabani to Cross, no run  .good length on middle, pushed towards mid-on",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"5.3 
• 
Muzarabani to Cross, no run 
back of a length on off, stays back and defends towards point 
Marco: ""@sonam - I hadn't but I have now - that's a fabulous addition, and glad you 
mentioned it this early in the match.""",5.3,0,0.0,"Muzarabani to Cross, no run  .back of a length on off, stays back and defends towards point",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"5.4 
4 
Muzarabani to Cross, FOUR runs 
Whipped through midwicket! Lovely use of the wrists here as this is full on middle and 
leg. Races across the outfield",5.4,4,4.0,"Muzarabani to Cross, FOUR runs  .Whipped through midwicket! Lovely use of the wrists here as this is full on middle and  .leg. Races across the outfield",Muzarabani,Cross,4.0,1,0,1,1,4.0,0,,1
"5.5 
• 
Muzarabani to Cross, no run 
draws the length back and nips it in. Struck on the thigh guard as he looks to work this 
onside",5.5,0,0.0,"Muzarabani to Cross, no run  .draws the length back and nips it in. Struck on the thigh guard as he looks to work this  .onside",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"5.6 
• 
Muzarabani to Cross, no run 
good length on off, defended on the front foot 
end of over 66 runs  
SCOT: 22/0CRR: 3.66  
Matthew Cross13 (23b 1x4) 
Christopher McBride9 (13b 1x4) 
Blessing Muzarabani 3-0-15-0 
Richard Ngarava 3-0-7-0 
Tobias: ""I agree with Zaj. Raza and Williams are the two main spin bowling options. 
Either another batter for Mazakadza or Jongwe, who is a better batter down the order.""",5.6,0,0.0,"Muzarabani to Cross, no run  .good length on off, defended on the front foot",Muzarabani,Cross,0.0,0,0,1,1,0.0,0,,0
"6.1 
1w 
Ngarava to McBride, 1 wide 
short of a length, 127kph, slides down leg",6.1,1w,1.0,"Ngarava to McBride, 1 wide  .short of a length, 127kph, slides down leg",Ngarava,McBride,0.0,0,0,0,0,1.0,0,,1
"6.1 
• 
Ngarava to McBride, no run 
full just outside off, drives this straight at mid-off",6.1,0,0.0,"Ngarava to McBride, no run  .full just outside off, drives this straight at mid-off",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Ngarava to McBride, no run 
back of a length on off, 131kph, back foot punch to mid-off",6.2,0,0.0,"Ngarava to McBride, no run  .back of a length on off, 131kph, back foot punch to mid-off",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"6.3 
• 
Ngarava to McBride, no run 
short of a length on the stumps, 139kph, stays in the crease and defends",6.3,0,0.0,"Ngarava to McBride, no run  .short of a length on the stumps, 139kph, stays in the crease and defends",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"6.4 
• 
Ngarava to McBride, no run 
Full on off, 132kph, this was driven hard into the turf and it comes back towards 
Ngarava, who sticks a left hand out and deflects it to strike the unsuspecting Cross. The 
non-striker is unharmed though 
around the wicket now",6.4,0,0.0,"Ngarava to McBride, no run  .Full on off, 132kph, this was driven hard into the turf and it comes back towards  .Ngarava, who sticks a left hand out and deflects it to strike the unsuspecting Cross. The  .non-striker is unharmed though  .around the wicket now",Ngarava,McBride,0.0,0,0,1,1,0.0,0,,0
"6.5 
1 
Ngarava to McBride, 1 run 
full on off, driven to the left of the man at cover",6.5,1,1.0,"Ngarava to McBride, 1 run  .full on off, driven to the left of the man at cover",Ngarava,McBride,1.0,0,0,1,1,1.0,0,,1
