raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rajitha to Gurbaz, no run 
good length in the channel outside off to start, 128kph, shaping away. Left alone",0.1,0,0.0,"Rajitha to Gurbaz, no run  .good length in the channel outside off to start, 128kph, shaping away. Left alone",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rajitha to Gurbaz, no run 
good length a little wider, 129kph, again Gurbaz opts not to attempt a stroke",0.2,0,0.0,"Rajitha to Gurbaz, no run  .good length a little wider, 129kph, again Gurbaz opts not to attempt a stroke",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Rajitha to Gurbaz, 1 run 
straighter and fuller on middle and off, 132kph, this one straightens just a touch. 
Definitely some movement on offer. Driven to mid-on for a quick single",0.3,1,1.0,"Rajitha to Gurbaz, 1 run  .straighter and fuller on middle and off, 132kph, this one straightens just a touch.  .Definitely some movement on offer. Driven to mid-on for a quick single",Rajitha,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Rajitha to Ibrahim Zadran, no run 
good length outside off, left alone 
Hamdullah Tolo: ""SL played exceptionally, but it's not a difficult wicket. Afghan player 
should play deep and patiently and wrap up the series. """,0.4,0,0.0,"Rajitha to Ibrahim Zadran, no run  .good length outside off, left alone",Rajitha,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rajitha to Ibrahim Zadran, no run 
good length on off, gets behind the line and defends",0.5,0,0.0,"Rajitha to Ibrahim Zadran, no run  .good length on off, gets behind the line and defends",Rajitha,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rajitha to Ibrahim Zadran, no run 
back of a length on middle and off, defended off the back foot 
end of over 11 run  
AFG: 1/0CRR: 1.00 • RRR: 6.59 • Need 323 runs from 49 overs 
Ibrahim Zadran0 (3b) 
Rahmanullah Gurbaz1 (3b) 
Kasun Rajitha 1-0-1-0 
Dushmantha Chameera to share the new ball, the first time Sri Lankan fans are seeing 
him in several months. Two slips in place",0.6,0,0.0,"Rajitha to Ibrahim Zadran, no run  .back of a length on middle and off, defended off the back foot",Rajitha,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Chameera to Gurbaz, no run 
Back of a length on off, 141kph, defended off the back foot",1.1,0,0.0,"Chameera to Gurbaz, no run  .Back of a length on off, 141kph, defended off the back foot",Chameera,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Chameera to Gurbaz, no run 
good length outside off, 136kph, this one keeps a little low as Gurbaz watches it go by. 
Through to the keeper on the bounce",1.2,0,0.0,"Chameera to Gurbaz, no run  .good length outside off, 136kph, this one keeps a little low as Gurbaz watches it go by.  .Through to the keeper on the bounce",Chameera,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Chameera to Gurbaz, no run 
short of a length outside off, gets back and across and defends it towards point",1.3,0,0.0,"Chameera to Gurbaz, no run  .short of a length outside off, gets back and across and defends it towards point",Chameera,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Chameera to Gurbaz, no run 
good length in that six stump line, 140kph, left alone",1.4,0,0.0,"Chameera to Gurbaz, no run  .good length in that six stump line, 140kph, left alone",Chameera,Gurbaz,0.0,0,0,1,1,0.0,0,,0
