raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mujeeb to Nissanka, no run 
Good length, drifts in as Nissanka defends on the front foot 
See all photos",0.1,0,0.0,"Mujeeb to Nissanka, no run  .Good length, drifts in as Nissanka defends on the front foot  .See all photos",Mujeeb,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Mujeeb to Nissanka, 1 run 
Off the mark, as he goes back and punches this down to long-on 
Around the wicket to the left hander",0.2,1,1.0,"Mujeeb to Nissanka, 1 run  .Off the mark, as he goes back and punches this down to long-on  .Around the wicket to the left hander",Mujeeb,Nissanka,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Mujeeb to Dimuth Karunaratne, no run 
Well fielded at short extra cover, as Dimuth goes back for this back foot punch",0.3,0,0.0,"Mujeeb to Dimuth Karunaratne, no run  .Well fielded at short extra cover, as Dimuth goes back for this back foot punch",Mujeeb,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Mujeeb to Dimuth Karunaratne, 1 run 
full on off, driven down to long-on for one 
over the wicket",0.4,1,1.0,"Mujeeb to Dimuth Karunaratne, 1 run  .full on off, driven down to long-on for one  .over the wicket",Mujeeb,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Mujeeb to Nissanka, 1 run 
drifts in full on the pads, knocked with straight bat down to long-on 
around the wicket",0.5,1,1.0,"Mujeeb to Nissanka, 1 run  .drifts in full on the pads, knocked with straight bat down to long-on  .around the wicket",Mujeeb,Nissanka,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Mujeeb to Dimuth Karunaratne, 1 run 
darts in on the pads, whipped towards deep square leg 
end of over 14 runs  
SL: 4/0CRR: 4.00  
Dimuth Karunaratne2 (3b) 
Pathum Nissanka2 (3b) 
Mujeeb Ur Rahman 1-0-4-0 
Farooqi now from over the wicket",0.6,1,1.0,"Mujeeb to Dimuth Karunaratne, 1 run  .darts in on the pads, whipped towards deep square leg",Mujeeb,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Fazalhaq Farooqi to Dimuth Karunaratne, no run 
full and straight, defended back towards the bowler",1.1,0,0.0,"Fazalhaq Farooqi to Dimuth Karunaratne, no run  .full and straight, defended back towards the bowler",Fazalhaq Farooqi,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Fazalhaq Farooqi to Dimuth Karunaratne, no run 
full again, driven to mid-off",1.2,0,0.0,"Fazalhaq Farooqi to Dimuth Karunaratne, no run  .full again, driven to mid-off",Fazalhaq Farooqi,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Fazalhaq Farooqi to Dimuth Karunaratne, no run 
Play and a miss! This was short of a length and very wide, there for the taking but 
Karunaratne can't connect with the cut",1.3,0,0.0,"Fazalhaq Farooqi to Dimuth Karunaratne, no run  .Play and a miss! This was short of a length and very wide, there for the taking but  .Karunaratne can't connect with the cut",Fazalhaq Farooqi,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Fazalhaq Farooqi to Dimuth Karunaratne, no run 
full on the stumps, catches the inside half of the bat on the drive as this goes towards 
midwicket",1.4,0,0.0,"Fazalhaq Farooqi to Dimuth Karunaratne, no run  .full on the stumps, catches the inside half of the bat on the drive as this goes towards  .midwicket",Fazalhaq Farooqi,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Fazalhaq Farooqi to Dimuth Karunaratne, 1 run 
good length on off, push and run towards cover for a quick one 
Slight delay here as Ikram, the Afghan keeper, has copped a blow on a finger in his right 
hand collecting that last throw. He's getting some treatment now, and looks like he's 
going off the field. 
While we wait for the restart, Firdose has just pinged with the following: ""Ok I stepped 
out and can confirm it is BOILING."" 
Gurbaz putting on the gloves, as Ikram is off the field",1.5,1,1.0,"Fazalhaq Farooqi to Dimuth Karunaratne, 1 run  .good length on off, push and run towards cover for a quick one  .Slight delay here as Ikram, the Afghan keeper, has copped a blow on a finger in his right  .hand collecting that last throw. He's getting some treatment now, and looks like he's  .going off the field.",Fazalhaq Farooqi,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Fazalhaq Farooqi to Nissanka, 1 run 
full, shaping in the on the pads, tucked past square leg for one. Nissanka wanted two 
there, but Dimuth turns it down 
end of over 22 runs  
SL: 6/0CRR: 3.00  
Pathum Nissanka3 (4b) 
Dimuth Karunaratne3 (8b) 
Fazalhaq Farooqi 1-0-2-0 
Mujeeb Ur Rahman 1-0-4-0",1.6,1,1.0,"Fazalhaq Farooqi to Nissanka, 1 run  .full, shaping in the on the pads, tucked past square leg for one. Nissanka wanted two  .there, but Dimuth turns it down",Fazalhaq Farooqi,Nissanka,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Mujeeb to Nissanka, no run 
good length on off, gets foward and pushes this back towards the bowler",2.1,0,0.0,"Mujeeb to Nissanka, no run  .good length on off, gets foward and pushes this back towards the bowler",Mujeeb,Nissanka,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Mujeeb to Nissanka, 1 run 
drifts on the pads, worked behind square leg for one",2.2,1,1.0,"Mujeeb to Nissanka, 1 run  .drifts on the pads, worked behind square leg for one",Mujeeb,Nissanka,1.0,0,0,1,1,1.0,0,,1
"2.3 
2 
Mujeeb to Dimuth Karunaratne, 2 runs 
good length outside off, Dimuth gets a thick edge past slip as it beats short third as 
well. Not enough legs to reach the ropes but they get a couple",2.3,2,2.0,"Mujeeb to Dimuth Karunaratne, 2 runs  .good length outside off, Dimuth gets a thick edge past slip as it beats short third as  .well. Not enough legs to reach the ropes but they get a couple",Mujeeb,Dimuth Karunaratne,2.0,0,0,1,1,2.0,0,,1
"2.4 
• 
Mujeeb to Dimuth Karunaratne, no run 
good length on off, another edge on the drive. Straight to short third now",2.4,0,0.0,"Mujeeb to Dimuth Karunaratne, no run  .good length on off, another edge on the drive. Straight to short third now",Mujeeb,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Mujeeb to Dimuth Karunaratne, 1 run 
good length on off, angled in. Driven down to long-on 
 
Mujeeb Ur Rahman in Powerplay overs (in ODIs) 
BALLS 
1754 
WKTS 
46 
4s/6s 
114/14 
ECON 
3.98 
AVE 
25.30",2.5,1,1.0,"Mujeeb to Dimuth Karunaratne, 1 run  .good length on off, angled in. Driven down to long-on  .  .Mujeeb Ur Rahman in Powerplay overs (in ODIs)  .BALLS  .1754  .WKTS  .46  .4s/6s  .114/14  .ECON  .3.98  .AVE  .25.30",Mujeeb,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
