raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Fazalhaq Farooqi to Nissanka, 2 runs 
back of a length delivery on leg stump. Nissanka lets the ball come to him before 
tucking it off his hips through square leg for a couple of runs",0.1,2,2.0,"Fazalhaq Farooqi to Nissanka, 2 runs  .back of a length delivery on leg stump. Nissanka lets the ball come to him before  .tucking it off his hips through square leg for a couple of runs",Fazalhaq Farooqi,Nissanka,2.0,0,0,1,1,2.0,0,,1
"0.2 
• 
Fazalhaq Farooqi to Nissanka, no run 
length delivery on leg stump. Nissanka comes half forward and plays it towards mid 
wicket",0.2,0,0.0,"Fazalhaq Farooqi to Nissanka, no run  .length delivery on leg stump. Nissanka comes half forward and plays it towards mid  .wicket",Fazalhaq Farooqi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Fazalhaq Farooqi to Nissanka, no run 
back of a length delivery on off stump. Nissanka gets behind the line of the ball and 
presents the full face of the bat",0.3,0,0.0,"Fazalhaq Farooqi to Nissanka, no run  .back of a length delivery on off stump. Nissanka gets behind the line of the ball and  .presents the full face of the bat",Fazalhaq Farooqi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Fazalhaq Farooqi to Nissanka, 1 run 
edged! Full delivery angled across the batter outside off stump. Nissanka goes chasing 
it and gets a thick outside edge that bobbles down to third man",0.4,1,1.0,"Fazalhaq Farooqi to Nissanka, 1 run  .edged! Full delivery angled across the batter outside off stump. Nissanka goes chasing  .it and gets a thick outside edge that bobbles down to third man",Fazalhaq Farooqi,Nissanka,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Fazalhaq Farooqi to Dimuth Karunaratne, no run 
length delivery slanted into middle and off stump. Karunaratne gets a half stride forward 
and prods it into the leg side",0.5,0,0.0,"Fazalhaq Farooqi to Dimuth Karunaratne, no run  .length delivery slanted into middle and off stump. Karunaratne gets a half stride forward  .and prods it into the leg side",Fazalhaq Farooqi,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Fazalhaq Farooqi to Dimuth Karunaratne, 2 runs 
length delivery that drifts onto the pads. Karunaratne uses the angle and works it past 
mid wicket to get off the mark with a brace 
end of over 15 runs  
SL: 5/0CRR: 5.00 • RRR: 2.28 • Need 112 runs from 49 overs 
Dimuth Karunaratne2 (2b) 
Pathum Nissanka3 (4b) 
Fazalhaq Farooqi 1-0-5-0 
Fareed to take the new ball from the other end",0.6,2,2.0,"Fazalhaq Farooqi to Dimuth Karunaratne, 2 runs  .length delivery that drifts onto the pads. Karunaratne uses the angle and works it past  .mid wicket to get off the mark with a brace",Fazalhaq Farooqi,Dimuth Karunaratne,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Fareed Ahmad to Nissanka, no run 
back of a length delivery on off stump. Nissanka gets onto the back foot and defends it 
towards the bowler",1.1,0,0.0,"Fareed Ahmad to Nissanka, no run  .back of a length delivery on off stump. Nissanka gets onto the back foot and defends it  .towards the bowler",Fareed Ahmad,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Fareed Ahmad to Nissanka, no run 
back of a length delivery just outside off stump. Nissanka hops up onto his toes and 
drops it into the off side with soft hands",1.2,0,0.0,"Fareed Ahmad to Nissanka, no run  .back of a length delivery just outside off stump. Nissanka hops up onto his toes and  .drops it into the off side with soft hands",Fareed Ahmad,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Fareed Ahmad to Nissanka, FOUR runs 
shot! Dug into the track on leg stump and this one sits up to be hit. Nissanka rocks back 
and hammers it through the backward square leg region for four!",1.3,4,4.0,"Fareed Ahmad to Nissanka, FOUR runs  .shot! Dug into the track on leg stump and this one sits up to be hit. Nissanka rocks back  .and hammers it through the backward square leg region for four!",Fareed Ahmad,Nissanka,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
Fareed Ahmad to Nissanka, FOUR runs 
four more! Back of a length delivery outside off stump. Nissanka stands up tall, gets his 
hands through the ball and cracks it past cover point!",1.4,4,4.0,"Fareed Ahmad to Nissanka, FOUR runs  .four more! Back of a length delivery outside off stump. Nissanka stands up tall, gets his  .hands through the ball and cracks it past cover point!",Fareed Ahmad,Nissanka,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Fareed Ahmad to Nissanka, no run 
back of a length delivery just outside off stump. Nissanka hangs back and dabs it 
towards backward point",1.5,0,0.0,"Fareed Ahmad to Nissanka, no run  .back of a length delivery just outside off stump. Nissanka hangs back and dabs it  .towards backward point",Fareed Ahmad,Nissanka,0.0,0,0,1,1,0.0,0,,0
