raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Taskin to Nissanka, no run 
hint of shape away straight away. Good length just outside off. Nissanka stays back and 
is squared up, but manages to defend this",0.1,0,0.0,"Taskin to Nissanka, no run  .hint of shape away straight away. Good length just outside off. Nissanka stays back and  .is squared up, but manages to defend this",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Taskin to Nissanka, no run 
good length outside off, defended towards point",0.2,0,0.0,"Taskin to Nissanka, no run  .good length outside off, defended towards point",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.3 
2 
Taskin to Nissanka, 2 runs 
Slightly short and Sri Lanka are underway in this chase! This pull was toe-ended but 
clears mid-on and they get a couple",0.3,2,2.0,"Taskin to Nissanka, 2 runs  .Slightly short and Sri Lanka are underway in this chase! This pull was toe-ended but  .clears mid-on and they get a couple",Taskin,Nissanka,2.0,0,0,1,1,2.0,0,,1
"0.4 
• 
Taskin to Nissanka, no run 
back of a length on off, 140kph, defended from within the crease",0.4,0,0.0,"Taskin to Nissanka, no run  .back of a length on off, 140kph, defended from within the crease",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Taskin to Nissanka, no run 
length wide outside off, 139kph, back foot punch straight to cover",0.5,0,0.0,"Taskin to Nissanka, no run  .length wide outside off, 139kph, back foot punch straight to cover",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Taskin to Nissanka, 2 runs 
On his toes and punches this past point for a couple! Does well to get on top of the 
bounce and chops this into the turf and over point. Third man runs around to collect 
end of over 14 runs  
SL: 4/0CRR: 4.00 • RRR: 3.28 • Need 161 runs from 49 overs 
Pathum Nissanka4 (6b) 
Dimuth Karunaratne0 (0b) 
Taskin Ahmed 1-0-4-0 
Shoriful now, left-arm over",0.6,2,2.0,"Taskin to Nissanka, 2 runs  .On his toes and punches this past point for a couple! Does well to get on top of the  .bounce and chops this into the turf and over point. Third man runs around to collect",Taskin,Nissanka,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Shoriful Islam to Dimuth Karunaratne, no run 
back of a length on off, hint of shape away. Defended off the back foot by Dimuth",1.1,0,0.0,"Shoriful Islam to Dimuth Karunaratne, no run  .back of a length on off, hint of shape away. Defended off the back foot by Dimuth",Shoriful Islam,Dimuth Karunaratne,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Shoriful Islam to Dimuth Karunaratne, 1 run 
back of a length and straight, 130kph, worked off the hips towards deep square leg",1.2,1,1.0,"Shoriful Islam to Dimuth Karunaratne, 1 run  .back of a length and straight, 130kph, worked off the hips towards deep square leg",Shoriful Islam,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
"1.3 
2 
Shoriful Islam to Nissanka, 2 runs 
fuller, on a good length this time, but a touch too straight as this shapes in to the right-
hander. clipped behind square leg for a couple",1.3,2,2.0,"Shoriful Islam to Nissanka, 2 runs  .fuller, on a good length this time, but a touch too straight as this shapes in to the right- .hander. clipped behind square leg for a couple",Shoriful Islam,Nissanka,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Shoriful Islam to Nissanka, no run 
Quicker this time, 138kph, shaping in off a good length and rifles into Nissanka's front 
pad. But this is sliding down leg",1.4,0,0.0,"Shoriful Islam to Nissanka, no run  .Quicker this time, 138kph, shaping in off a good length and rifles into Nissanka's front  .pad. But this is sliding down leg",Shoriful Islam,Nissanka,0.0,0,0,1,1,0.0,0,,0
