raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
5nb 
Udana to Tamim, (no ball) FOUR runs 
bit too full and wide, and Tamim reaches out on the off side to start with a cracking four 
over the cover-point region. Oh it's a no ball for overstepping, free hit coming up 
straightaway",0.1,5nb,5.0,"Udana to Tamim, (no ball) FOUR runs  .bit too full and wide, and Tamim reaches out on the off side to start with a cracking four  .over the cover-point region. Oh it's a no ball for overstepping, free hit coming up  .straightaway",Udana,Tamim,4.0,0,0,1,0,5.0,0,,1
"0.1 
4 
Udana to Tamim, FOUR runs 
slower ball outside off and Tamim goes for a cross-batted heave, doesn't quite middle it 
but gets enough to beat the chasing fielder. Four more! 
A slip is there now",0.1,4,4.0,"Udana to Tamim, FOUR runs  .slower ball outside off and Tamim goes for a cross-batted heave, doesn't quite middle it  .but gets enough to beat the chasing fielder. Four more!  .A slip is there now",Udana,Tamim,4.0,1,0,1,1,4.0,0,,1
"0.2 
1w 
Udana to Tamim, 1 wide 
lots of away movement from outside off, easy leave for Tamim and it's called a wide 
now",0.2,1w,1.0,"Udana to Tamim, 1 wide  .lots of away movement from outside off, easy leave for Tamim and it's called a wide  .now",Udana,Tamim,0.0,0,0,0,0,1.0,0,,1
"0.2 
4 
Udana to Tamim, FOUR runs 
smoked through the covers this time, as it was fairly wide again. Leans into the ball and 
absolutely middles that cover drive to beat mid-off 
What a start for Tamim",0.2,4,4.0,"Udana to Tamim, FOUR runs  .smoked through the covers this time, as it was fairly wide again. Leans into the ball and  .absolutely middles that cover drive to beat mid-off  .What a start for Tamim",Udana,Tamim,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Udana to Tamim, no run 
beats him with a much better line, much closer to the batter and Tamim pokes and 
misses",0.3,0,0.0,"Udana to Tamim, no run  .beats him with a much better line, much closer to the batter and Tamim pokes and  .misses",Udana,Tamim,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Udana to Tamim, 1 run 
dropped at point! What a dramatic first over this is. Gets a hint of room on the off side 
and he scythes it to point where the fielder gets both hands to it at knee length but can't 
hold on to it and also concedes a single",0.4,1,1.0,"Udana to Tamim, 1 run  .dropped at point! What a dramatic first over this is. Gets a hint of room on the off side  .and he scythes it to point where the fielder gets both hands to it at knee length but can't  .hold on to it and also concedes a single",Udana,Tamim,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Udana to Litton Das, no run 
just outside off and he pushes it to cover point",0.5,0,0.0,"Udana to Litton Das, no run  .just outside off and he pushes it to cover point",Udana,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Udana to Litton Das, no run 
on the leg side now and much shorter, he goes on his toes and defends towards square 
leg 
end of over 115 runs  
BAN: 15/0CRR: 15.00  
Litton Das0 (2b) 
Tamim Iqbal13 (5b 3x4) 
Isuru Udana 1-0-15-0 
Chameera from the other end, a slip in place",0.6,0,0.0,"Udana to Litton Das, no run  .on the leg side now and much shorter, he goes on his toes and defends towards square  .leg",Udana,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.1 
W 
Chameera to Tamim, OUT 
loud, loud lbw appeal as Tamim is pinned right in front with an inswinger but the umpire 
doesn't move. Sri Lanka go for the review. Slightly full delivery and pitched right on 
middle stump to swing in and beat the inside edge, hitting him right in front of middle 
and leg, and it's going to hit leg stump according to ball-tracking. First strike for Sri 
Lanka! 
Tamim Iqbal lbw b Chameera 13 (6b 3x4 0x6 11m) SR: 216.66 
Shakib at No. 3",1.1,W,0.0,"Chameera to Tamim, OUT  .loud, loud lbw appeal as Tamim is pinned right in front with an inswinger but the umpire  .doesn't move. Sri Lanka go for the review. Slightly full delivery and pitched right on  .middle stump to swing in and beat the inside edge, hitting him right in front of middle  .and leg, and it's going to hit leg stump according to ball-tracking. First strike for Sri  .Lanka!  .Tamim Iqbal lbw b Chameera 13 (6b 3x4 0x6 11m) SR: 216.66",Chameera,Tamim,0.0,0,0,1,1,0.0,1,lbw b Chameera,0
"1.2 
• 
Chameera to Shakib, no run 
fullish delivery outside off, Shakib bunts it to cover point with a horizontal bat",1.2,0,0.0,"Chameera to Shakib, no run  .fullish delivery outside off, Shakib bunts it to cover point with a horizontal bat",Chameera,Shakib,0.0,0,0,1,1,0.0,0,,0
