raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1lb 
Shoriful Islam to Nissanka, 1 leg bye 
bit of extra bounce from a back of a length. On the pads, and deflected of the thigh 
guard behind square leg for one 
See all photos 
 
BAN vs SL 
MATCHES 
L 
L 
L 
W 
W",0.1,1lb,1.0,"Shoriful Islam to Nissanka, 1 leg bye  .bit of extra bounce from a back of a length. On the pads, and deflected of the thigh  .guard behind square leg for one  .See all photos  .  .BAN vs SL  .MATCHES  .L  .L  .L  .W  .W",Shoriful Islam,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shoriful Islam to Perera, no run 
full and wide, but KJP miscues this into the turf",0.2,0,0.0,"Shoriful Islam to Perera, no run  .full and wide, but KJP miscues this into the turf",Shoriful Islam,Perera,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Shoriful Islam to Perera, FOUR runs 
Doesn't miss out here though! Bang! Full and wide again, but this time leans into it and 
slaps this through the covers",0.3,4,4.0,"Shoriful Islam to Perera, FOUR runs  .Doesn't miss out here though! Bang! Full and wide again, but this time leans into it and  .slaps this through the covers",Shoriful Islam,Perera,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Shoriful Islam to Perera, no run 
full again, but straighter on middle and leg. Pushed straight to mid-on",0.4,0,0.0,"Shoriful Islam to Perera, no run  .full again, but straighter on middle and leg. Pushed straight to mid-on",Shoriful Islam,Perera,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shoriful Islam to Perera, no run 
good length on off, pitching and straightening. Defended",0.5,0,0.0,"Shoriful Islam to Perera, no run  .good length on off, pitching and straightening. Defended",Shoriful Islam,Perera,0.0,0,0,1,1,0.0,0,,0
"0.6 
W 
Shoriful Islam to Perera, OUT 
Outstanding grab from Mushfiqur! This was good length and wide, and entices Perera 
into another drive. But this one has extra bounce on it and takes a thick edge, which 
flies high to Mushfiqur's left. The Bangladesh keeper though goes completely airborne 
and grabs this with his left mitt, in front of first slip. Moment of magic 
Kusal Perera c †Mushfiqur Rahim b Shoriful Islam 4 (5b 1x4 0x6 5m) SR: 80 
See all photos 
end of over 15 runs • 1 wicket 
SL: 5/1CRR: 5.00  
Pathum Nissanka0 (1b) 
Shoriful Islam 1-0-4-1",0.6,W,0.0,"Shoriful Islam to Perera, OUT  .Outstanding grab from Mushfiqur! This was good length and wide, and entices Perera  .into another drive. But this one has extra bounce on it and takes a thick edge, which  .flies high to Mushfiqur's left. The Bangladesh keeper though goes completely airborne  .and grabs this with his left mitt, in front of first slip. Moment of magic  .Kusal Perera c †Mushfiqur Rahim b Shoriful Islam 4 (5b 1x4 0x6 5m) SR: 80",Shoriful Islam,Perera,0.0,0,0,1,1,0.0,1,c †Mushfiqur Rahim b Shoriful Islam,0
"1.1 
• 
Taskin to Nissanka, no run 
good length outside off, shaping away. Left alone",1.1,0,0.0,"Taskin to Nissanka, no run  .good length outside off, shaping away. Left alone",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Taskin to Nissanka, no run 
good length outside off, left once more 
LJ: ""So...dropping Dimuth (because he scores 20-30 too slowly) to bring in KJP so he 
gets a quick 4-5... seems to have worked out as planned"" --- The thinking is probably 
along the lines of KJP's ""ceiling"" being higher than Dimuth's, despite him having a lower 
""floor""",1.2,0,0.0,"Taskin to Nissanka, no run  .good length outside off, left once more",Taskin,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Taskin to Nissanka, 1 run 
full and wide, slashed high over backward point. On the bounce to third man",1.3,1,1.0,"Taskin to Nissanka, 1 run  .full and wide, slashed high over backward point. On the bounce to third man",Taskin,Nissanka,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Taskin to Kusal Mendis, no run 
back of a length outside off, some distinct shape away. Left alone",1.4,0,0.0,"Taskin to Kusal Mendis, no run  .back of a length outside off, some distinct shape away. Left alone",Taskin,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Taskin to Kusal Mendis, no run 
good length on the stumps, defended from within the crease",1.5,0,0.0,"Taskin to Kusal Mendis, no run  .good length on the stumps, defended from within the crease",Taskin,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Taskin to Kusal Mendis, no run 
good length just outside off, gets behind the line and defends 
end of over 21 run  
SL: 6/1CRR: 3.00  
Kusal Mendis0 (3b) 
Pathum Nissanka1 (4b) 
Taskin Ahmed 1-0-1-0 
Shoriful Islam 1-0-4-1 
Shrey: ""Not denying that it was an amazing catch, but kind of unnecessary? Ball seemed 
to be headed right into first slip's hands..."" --- Mushfiq not taking any chances.",1.6,0,0.0,"Taskin to Kusal Mendis, no run  .good length just outside off, gets behind the line and defends",Taskin,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
