raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rajitha to Shaw, no run 
length, a bit of swing away, and he defends this towards point. Just about 127kph.",0.1,0,0.0,"Rajitha to Shaw, no run  .length, a bit of swing away, and he defends this towards point. Just about 127kph.",Rajitha,Shaw,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rajitha to Shaw, no run 
fuller, around off, swings away, and he looks to bring that bat of his down to drive down 
the wicket. Gets a decent connection, but too close to Rajitha 
Sowmya : ""No feet movement in Prithvi Shaw's game is an area that the SL should 
capitalize upon. Luring him into playing away swingers, for starters, may push him to 
play a false stroke!! """,0.2,0,0.0,"Rajitha to Shaw, no run  .fuller, around off, swings away, and he looks to bring that bat of his down to drive down  .the wicket. Gets a decent connection, but too close to Rajitha",Rajitha,Shaw,0.0,0,0,1,1,0.0,0,,0
"0.3 
1w 
Rajitha to Shaw, 1 wide 
full, down the pads, and he will have to reload this one",0.3,1w,1.0,"Rajitha to Shaw, 1 wide  .full, down the pads, and he will have to reload this one",Rajitha,Shaw,0.0,0,0,0,0,1.0,0,,1
"0.3 
1w 
Rajitha to Shaw, 1 wide 
way down the leg side again. A good take behind the wicket, away to his left 
Tharaka Jasenth: ""What happened to the walking off-stump that was Prithvi Shaw in 
Australia? "" --- He is a massive confidence player. Has got that belief back after a good 
domestic white-ball season earlier in the year",0.3,1w,1.0,"Rajitha to Shaw, 1 wide  .way down the leg side again. A good take behind the wicket, away to his left",Rajitha,Shaw,0.0,0,0,0,0,1.0,0,,1
"0.3 
• 
Rajitha to Shaw, no run 
fullish length, around off, and he drives this, but cannot beat mid-off",0.3,0,0.0,"Rajitha to Shaw, no run  .fullish length, around off, and he drives this, but cannot beat mid-off",Rajitha,Shaw,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Rajitha to Shaw, FOUR runs 
oh, that is gorgeous! Similar ball to the last, but just a bit closer to him. And this time he 
drives straight down the wicket, just to the right of Dhawan, and placed perfectly to the 
left of mid-on, who gives up the chase almost as soon as he begins it",0.4,4,4.0,"Rajitha to Shaw, FOUR runs  .oh, that is gorgeous! Similar ball to the last, but just a bit closer to him. And this time he  .drives straight down the wicket, just to the right of Dhawan, and placed perfectly to the  .left of mid-on, who gives up the chase almost as soon as he begins it",Rajitha,Shaw,4.0,1,0,1,1,4.0,0,,1
"0.5 
4 
Rajitha to Shaw, FOUR runs 
this time it's on the other side! Fullish length, just around off, and he puts in a tiny press 
forward and drives through the line, to the right of mid-off",0.5,4,4.0,"Rajitha to Shaw, FOUR runs  .this time it's on the other side! Fullish length, just around off, and he puts in a tiny press  .forward and drives through the line, to the right of mid-off",Rajitha,Shaw,4.0,1,0,1,1,4.0,0,,1
"0.6 
4 
Rajitha to Shaw, FOUR runs 
a hat-trick of boundaries, and this is perhaps the most loose among the deliveries. 
Slants into his pads, and it is an easy putaway, as he just places this towards the 
unprotected deep midwicket area 
That hasn't taken long, has it? 
end of over 114 runs  
IND: 14/0CRR: 14.00 • RRR: 5.34 • Need 262 runs from 49 overs 
Prithvi Shaw12 (6b 3x4) 
Shikhar Dhawan0 (0b) 
Kasun Rajitha 1-0-14-0 
Malli: ""Srilanka should start with spin from other end to throw Shaw off who mentioned 
that he likes pace on the ball in last match interview""",0.6,4,4.0,"Rajitha to Shaw, FOUR runs  .a hat-trick of boundaries, and this is perhaps the most loose among the deliveries.  .Slants into his pads, and it is an easy putaway, as he just places this towards the  .unprotected deep midwicket area  .That hasn't taken long, has it?",Rajitha,Shaw,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Chameera to S Dhawan, no run 
Chameera begins with a fuller ball around off, and Dhawan launches into a gorgeous 
cover drive himself. Cannot beat cover, though",1.1,0,0.0,"Chameera to S Dhawan, no run  .Chameera begins with a fuller ball around off, and Dhawan launches into a gorgeous  .cover drive himself. Cannot beat cover, though",Chameera,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Chameera to S Dhawan, no run 
length, worked off his pads, but straight to midwicket 
Proudfoot: ""While I largely believe Shaw has been good, I don't see SL capitalizing on 
Shaw's weakness which still seems to be present. Their inexperience is making them 
bowl rank deliveries which Shaw will send to the rope all day. They need someone as 
good as Cummins was, and the closest I can think of is Suranga Lakmal."" --- I reckon 
they might start going short soon. Which could make for a fascinating battle",1.2,0,0.0,"Chameera to S Dhawan, no run  .length, worked off his pads, but straight to midwicket",Chameera,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Chameera to S Dhawan, FOUR runs 
short to Dhawan, who guides it over the slips. It goes on one bounce to Rajitha down at 
third man, and he doesn't account for the spin. Overruns it, and it slips through to his left 
for four!",1.3,4,4.0,"Chameera to S Dhawan, FOUR runs  .short to Dhawan, who guides it over the slips. It goes on one bounce to Rajitha down at  .third man, and he doesn't account for the spin. Overruns it, and it slips through to his left  .for four!",Chameera,S Dhawan,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
Chameera to S Dhawan, FOUR runs 
Dhawan joins in the driving fun! It's fullish, around off, and he just pushes this to the left 
of mid-off. Just takes a couple of steps and then stops to admire his own shot. Shaw 
didn't even move, in fact, at the non-striker's end",1.4,4,4.0,"Chameera to S Dhawan, FOUR runs  .Dhawan joins in the driving fun! It's fullish, around off, and he just pushes this to the left  .of mid-off. Just takes a couple of steps and then stops to admire his own shot. Shaw  .didn't even move, in fact, at the non-striker's end",Chameera,S Dhawan,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Chameera to S Dhawan, no run 
back of a length, around the body, defended 
Siripala Ayya: ""Man, SL's bowlers just disappoint sometimes...it's ever so often when our 
batting does reasonably well, our bowlers don't perform.""",1.5,0,0.0,"Chameera to S Dhawan, no run  .back of a length, around the body, defended",Chameera,S Dhawan,0.0,0,0,1,1,0.0,0,,0
