raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Madushanka to Rohit Sharma, FOUR runs 
a bit too full and swings back into the pads, Rohit picks it away to the left of that leg-
gully for a first-ball four",0.1,4,4.0,"Madushanka to Rohit Sharma, FOUR runs  .a bit too full and swings back into the pads, Rohit picks it away to the left of that leg- .gully for a first-ball four",Madushanka,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.2 
W 
Madushanka to Rohit Sharma, OUT 
Oh wow, terrific delivery from Madushanka. He has hushed the Wankhede. Nice and 
full, better line from the left-arm seamer. It lands around middle. Rohit plays back in the 
crease, searching for the inswinger. But this one swerves away past the outside edge 
and sends the off stump cartwheeling. It was the offcutter with the new ball from 
Madushanka. Bona fide contender for the ball of the tournament 
Rohit Sharma b Madushanka 4 (2b 1x4 0x6 2m) SR: 200 
See all photos 
Kohli walks out at No.3 
 
Rohit Sharma vs left-arm pace in ODIs 
RUNS 
1617 
OUTS 
34 
4s/6s 
179/44 
SR 
87.88 
AVE 
47.55",0.2,W,0.0,"Madushanka to Rohit Sharma, OUT  .Oh wow, terrific delivery from Madushanka. He has hushed the Wankhede. Nice and  .full, better line from the left-arm seamer. It lands around middle. Rohit plays back in the  .crease, searching for the inswinger. But this one swerves away past the outside edge  .and sends the off stump cartwheeling. It was the offcutter with the new ball from  .Madushanka. Bona fide contender for the ball of the tournament  .Rohit Sharma b Madushanka 4 (2b 1x4 0x6 2m) SR: 200",Madushanka,Rohit Sharma,0.0,0,0,1,1,0.0,1,b Madushanka,0
"0.3 
• 
Madushanka to Kohli, no run 
full and swings back in, chipped in the air but does not carry to leg-gully. Good bowling 
and good captaincy from SL",0.3,0,0.0,"Madushanka to Kohli, no run  .full and swings back in, chipped in the air but does not carry to leg-gully. Good bowling  .and good captaincy from SL",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Madushanka to Kohli, no run 
shorter and on off and middle, fended back to the bowler",0.4,0,0.0,"Madushanka to Kohli, no run  .shorter and on off and middle, fended back to the bowler",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Madushanka to Kohli, no run 
pitched-up delivery outside off, Kohli gets forward and drives through the line to mid-off",0.5,0,0.0,"Madushanka to Kohli, no run  .pitched-up delivery outside off, Kohli gets forward and drives through the line to mid-off",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Madushanka to Kohli, FOUR runs 
full and veering down the leg side, Kohli connects with it, flicking it away between leg-
gully and the keeper 
See all photos 
end of over 18 runs • 1 wicket 
IND: 8/1CRR: 8.00  
Virat Kohli4 (4b 1x4) 
Shubman Gill0 (0b) 
Dilshan Madushanka 1-0-8-1 
Here's Chameera from the other end. Right-arm over the wicket",0.6,4,4.0,"Madushanka to Kohli, FOUR runs  .full and veering down the leg side, Kohli connects with it, flicking it away between leg- .gully and the keeper  .See all photos",Madushanka,Kohli,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Chameera to Gill, no run 
on a length and largely holds its line outside off, guided to point",1.1,0,0.0,"Chameera to Gill, no run  .on a length and largely holds its line outside off, guided to point",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Chameera to Gill, no run 
much fuller and on a fourth-stump line, 140.7ks, Gill push-drives it to mid-off",1.2,0,0.0,"Chameera to Gill, no run  .much fuller and on a fourth-stump line, 140.7ks, Gill push-drives it to mid-off",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Chameera to Gill, no run 
back of a length and homing in at off stump, Gill gets forward and defensively drops the 
ball into the covers",1.3,0,0.0,"Chameera to Gill, no run  .back of a length and homing in at off stump, Gill gets forward and defensively drops the  .ball into the covers",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Chameera to Gill, no run 
back of a length and fizzing through outside off, no shot 
Chandrasekaran: ""Off cutter in the 2nd ball of the Innings. Brave and terrific execution 
from Madhushanka , No batter would have imagined a off-cutter is coming when they 
are looking for swing. Terrific bowling. Top Notch""",1.4,0,0.0,"Chameera to Gill, no run  .back of a length and fizzing through outside off, no shot",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Chameera to Gill, no run 
back-of-a-length inducker from Chameera, slices Gill into half and bounces over the 
stumps",1.5,0,0.0,"Chameera to Gill, no run  .back-of-a-length inducker from Chameera, slices Gill into half and bounces over the  .stumps",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Chameera to Gill, no run 
141ks, Chameera hits the bat as opposed to bat hitting the ball. In-between length once 
again, the ball hits the splice and rolls away into the leg side. Good start from SL 
Shikhar : ""The crowd's silence at Rohit's wicket reminded me of '99 Kolkata test when 
Akthar got Sachin's stump flying first ball."" 
end of over 2Maiden 
IND: 8/1CRR: 4.00  
Shubman Gill0 (6b) 
Virat Kohli4 (4b 1x4) 
Dushmantha Chameera 1-1-0-0 
Dilshan Madushanka 1-0-8-1",1.6,0,0.0,"Chameera to Gill, no run  .141ks, Chameera hits the bat as opposed to bat hitting the ball. In-between length once  .again, the ball hits the splice and rolls away into the leg side. Good start from SL",Chameera,Gill,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Madushanka to Kohli, no run 
full and swerves back in at middle and leg, holds up in the surface, Kohli checks his flick 
and chips it in front of the bowler",2.1,0,0.0,"Madushanka to Kohli, no run  .full and swerves back in at middle and leg, holds up in the surface, Kohli checks his flick  .and chips it in front of the bowler",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Madushanka to Kohli, FOUR runs 
on the pads, comes out as a half-volley, which is sweetly whipped away to the right of 
midwicket for four 
Leg-gully has been whisked away to fine leg 
 
Virat Kohli vs left-arm pace in ODIs 
RUNS 
1582 
OUTS 
34 
4s/6s 
172/21 
SR 
96.99 
AVE 
46.52",2.2,4,4.0,"Madushanka to Kohli, FOUR runs  .on the pads, comes out as a half-volley, which is sweetly whipped away to the right of  .midwicket for four  .Leg-gully has been whisked away to fine leg  .  .Virat Kohli vs left-arm pace in ODIs  .RUNS  .1582  .OUTS  .34  .4s/6s  .172/21  .SR  .96.99  .AVE  .46.52",Madushanka,Kohli,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Madushanka to Kohli, no run 
on a length and on off, Kohli moves forward and taps it to mid-off",2.3,0,0.0,"Madushanka to Kohli, no run  .on a length and on off, Kohli moves forward and taps it to mid-off",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"2.4 
1w 
Madushanka to Kohli, 1 wide 
short and banged down the leg side, nothing doing from Kohli, wide called",2.4,1w,1.0,"Madushanka to Kohli, 1 wide  .short and banged down the leg side, nothing doing from Kohli, wide called",Madushanka,Kohli,0.0,0,0,0,0,1.0,0,,1
"2.4 
• 
Madushanka to Kohli, no run 
Madushanka lets rip a bouncer, angling across off, Kohli sways his upper body out of 
the way 
Sonu: ""That ball from Madhushanka reminded me of how the Fizz burst on to the 
International scene.""",2.4,0,0.0,"Madushanka to Kohli, no run  .Madushanka lets rip a bouncer, angling across off, Kohli sways his upper body out of  .the way",Madushanka,Kohli,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Madushanka to Kohli, 1 run 
on the pads, flicked away to that man at fine leg",2.5,1,1.0,"Madushanka to Kohli, 1 run  .on the pads, flicked away to that man at fine leg",Madushanka,Kohli,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Madushanka to Gill, no run 
full and threatens to angle across off, but Madushanka has the skill to bring this back 
into Gill, patted to mid-on 
end of over 36 runs  
IND: 14/1CRR: 4.66  
Shubman Gill0 (7b) 
Virat Kohli9 (9b 2x4) 
Dilshan Madushanka 2-0-14-1 
Dushmantha Chameera 1-1-0-0 
Good time to revisit Al Muthu's piece on Madushanka",2.6,0,0.0,"Madushanka to Gill, no run  .full and threatens to angle across off, but Madushanka has the skill to bring this back  .into Gill, patted to mid-on",Madushanka,Gill,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Chameera to Kohli, no run 
on a length and outside off, pushed into the covers on the front foot",3.1,0,0.0,"Chameera to Kohli, no run  .on a length and outside off, pushed into the covers on the front foot",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Chameera to Kohli, no run 
on a length and homing in at off stump, Chameera draws a leading edge. The ball does 
not come onto the bat. The ball does not carry back to Chameera",3.2,0,0.0,"Chameera to Kohli, no run  .on a length and homing in at off stump, Chameera draws a leading edge. The ball does  .not come onto the bat. The ball does not carry back to Chameera",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Chameera to Kohli, no run 
pretty full on middle and leg, Kohli shuffles across and flicks it away to square leg 
Hari: ""India's love affair with left arm seamers is a never ending story. That's a Jaffa 
from Madhushanka. """,3.3,0,0.0,"Chameera to Kohli, no run  .pretty full on middle and leg, Kohli shuffles across and flicks it away to square leg",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Chameera to Kohli, no run 
another sharp inducker from Chameera, starts outside off and seams back in, Kohli 
inside-edges it onto his thigh, but the ball does not pop up. It bounces in front of the 
diving keeper. Probing bowling from SL's new-ball operators",3.4,0,0.0,"Chameera to Kohli, no run  .another sharp inducker from Chameera, starts outside off and seams back in, Kohli  .inside-edges it onto his thigh, but the ball does not pop up. It bounces in front of the  .diving keeper. Probing bowling from SL's new-ball operators",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Chameera to Kohli, no run 
good length and seams back on once again, Kohli wafts at it and manages an inside 
edge onto the pad once again",3.5,0,0.0,"Chameera to Kohli, no run  .good length and seams back on once again, Kohli wafts at it and manages an inside  .edge onto the pad once again",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Chameera to Kohli, no run 
back of a length and nipping away against the inward angle, left alone outside off 
end of over 4Maiden 
IND: 14/1CRR: 3.50  
Virat Kohli9 (15b 2x4) 
Shubman Gill0 (7b) 
Dushmantha Chameera 2-2-0-0 
Dilshan Madushanka 2-0-14-1",3.6,0,0.0,"Chameera to Kohli, no run  .back of a length and nipping away against the inward angle, left alone outside off",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Madushanka to Gill, no run 
on a length and slides away outside off, more with the angle, Gill pushes outside off and 
is beaten on the outside edge. Another offcutter from Madushanka",4.1,0,0.0,"Madushanka to Gill, no run  .on a length and slides away outside off, more with the angle, Gill pushes outside off and  .is beaten on the outside edge. Another offcutter from Madushanka",Madushanka,Gill,0.0,0,0,1,1,0.0,0,,0
"4.2 
4 
Madushanka to Gill, FOUR runs 
pulled away to the midwicket boundary. Madushanka digs it short and gets it on the top 
of the stumps, but it's not short enough. Put away on the back foot",4.2,4,4.0,"Madushanka to Gill, FOUR runs  .pulled away to the midwicket boundary. Madushanka digs it short and gets it on the top  .of the stumps, but it's not short enough. Put away on the back foot",Madushanka,Gill,4.0,1,0,1,1,4.0,0,,1
"4.3 
4 
Madushanka to Gill, FOUR runs 
this is even better from Gill! Just short of a good length and just a hint of width outside 
off. Gill moves back, and serenely punches it to the right of point",4.3,4,4.0,"Madushanka to Gill, FOUR runs  .this is even better from Gill! Just short of a good length and just a hint of width outside  .off. Gill moves back, and serenely punches it to the right of point",Madushanka,Gill,4.0,1,0,1,1,4.0,0,,1
"4.4 
• 
Madushanka to Gill, no run 
mighty full and swings back in at off stump, jammed out to mid-off",4.4,0,0.0,"Madushanka to Gill, no run  .mighty full and swings back in at off stump, jammed out to mid-off",Madushanka,Gill,0.0,0,0,1,1,0.0,0,,0
"4.5 
1w 
Madushanka to Gill, 1 wide 
very full and veering down the leg side, wide called",4.5,1w,1.0,"Madushanka to Gill, 1 wide  .very full and veering down the leg side, wide called",Madushanka,Gill,0.0,0,0,0,0,1.0,0,,1
"4.5 
1 
Madushanka to Gill, 1 run 
Asalanka leaps across to his left from cover-point but the ball bursts out of his hands. 
He drops a difficult chance. On a length and outside off, Gill slashes in the air and gets 
away with it",4.5,1,1.0,"Madushanka to Gill, 1 run  .Asalanka leaps across to his left from cover-point but the ball bursts out of his hands.  .He drops a difficult chance. On a length and outside off, Gill slashes in the air and gets  .away with it",Madushanka,Gill,1.0,0,0,1,1,1.0,0,,1
"4.6 
1 
Madushanka to Kohli, 1 run 
another Mustafizur-esque cutter from Madushanka, Kohli checks his shot and chips it 
away wide of mid-on 
end of over 511 runs  
IND: 25/1CRR: 5.00  
Virat Kohli10 (16b 2x4) 
Shubman Gill9 (12b 2x4) 
Dilshan Madushanka 3-0-25-1 
Dushmantha Chameera 2-2-0-0",4.6,1,1.0,"Madushanka to Kohli, 1 run  .another Mustafizur-esque cutter from Madushanka, Kohli checks his shot and chips it  .away wide of mid-on",Madushanka,Kohli,1.0,0,0,1,1,1.0,0,,1
"5.1 
• 
Chameera to Kohli, no run 
Chameera drops a return catch. He draws another leading edge. Chameera sticks out 
his left hand, juggles, but the ball pops out. Chameera lands rather awkwardly on his 
shoulder. He's clutching his left shoulder now, but he's okay to resume bowling 
See all photos",5.1,0,0.0,"Chameera to Kohli, no run  .Chameera drops a return catch. He draws another leading edge. Chameera sticks out  .his left hand, juggles, but the ball pops out. Chameera lands rather awkwardly on his  .shoulder. He's clutching his left shoulder now, but he's okay to resume bowling  .See all photos",Chameera,Kohli,0.0,0,0,1,1,0.0,0,,0
