raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Henry to Nissanka, 1 run 
Full outside off, with the ball shaping away. Nissanka opens the face and drives it 
behind point to get Sri Lanka off the mark",0.1,1,1.0,"Henry to Nissanka, 1 run  .Full outside off, with the ball shaping away. Nissanka opens the face and drives it  .behind point to get Sri Lanka off the mark",Henry,Nissanka,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Henry to Nuwanidu Fernando, no run 
On a length just outside off, Fernando blocks",0.2,0,0.0,"Henry to Nuwanidu Fernando, no run  .On a length just outside off, Fernando blocks",Henry,Nuwanidu Fernando,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Henry to Nuwanidu Fernando, no run 
On a length outside off, Fernando plays inside the line as the ball jags away past the 
outside edge",0.3,0,0.0,"Henry to Nuwanidu Fernando, no run  .On a length outside off, Fernando plays inside the line as the ball jags away past the  .outside edge",Henry,Nuwanidu Fernando,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Henry to Nuwanidu Fernando, no run 
Beaten! Angling in on a length outside off, the ball straightens and goes past the edge",0.4,0,0.0,"Henry to Nuwanidu Fernando, no run  .Beaten! Angling in on a length outside off, the ball straightens and goes past the edge",Henry,Nuwanidu Fernando,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Henry to Nuwanidu Fernando, no run 
Beaten again! Fuller this time, tempting Fernando into the drive, but it again moves away 
and beats the bat 
Supun Chamathka: ""Why NZ are not playing the full team including Williamson, Southee 
"" A lot of their players are away for the IPL",0.5,0,0.0,"Henry to Nuwanidu Fernando, no run  .Beaten again! Fuller this time, tempting Fernando into the drive, but it again moves away  .and beats the bat",Henry,Nuwanidu Fernando,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Henry to Nuwanidu Fernando, no run 
Back of a length outside off, he shoulders arms this time 
end of over 11 run  
SL: 1/0CRR: 1.00  
Nuwanidu Fernando0 (5b) 
Pathum Nissanka1 (1b) 
Matt Henry 1-0-1-0 
Henry Shipley from the other end",0.6,0,0.0,"Henry to Nuwanidu Fernando, no run  .Back of a length outside off, he shoulders arms this time",Henry,Nuwanidu Fernando,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
Shipley to Nissanka, 1 wide 
Bangs it in back of a length on off, but it goes down leg 
Dyl: ""@Bradley Skillin I would argue that Matt Henry is in the first XI for ODIs and 
Nicholls is pretty close too. But otherwise yes feels very developmental""",1.1,1w,1.0,"Shipley to Nissanka, 1 wide  .Bangs it in back of a length on off, but it goes down leg",Shipley,Nissanka,0.0,0,0,0,0,1.0,0,,1
"1.1 
• 
Shipley to Nissanka, no run 
On a length outside off, it seams in and Nissanka nudges it down on the leg-side",1.1,0,0.0,"Shipley to Nissanka, no run  .On a length outside off, it seams in and Nissanka nudges it down on the leg-side",Shipley,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Shipley to Nissanka, 1 wide 
On a length on middle and leg, it slides down as Nissanka shoulders arms",1.2,1w,1.0,"Shipley to Nissanka, 1 wide  .On a length on middle and leg, it slides down as Nissanka shoulders arms",Shipley,Nissanka,0.0,0,0,0,0,1.0,0,,1
"1.2 
4 
Shipley to Nissanka, FOUR runs 
Just over point! Full and wide, Nissanka slashes it over the fielder who leapt high but 
couldn't stop it and it races away",1.2,4,4.0,"Shipley to Nissanka, FOUR runs  .Just over point! Full and wide, Nissanka slashes it over the fielder who leapt high but  .couldn't stop it and it races away",Shipley,Nissanka,4.0,1,0,1,1,4.0,0,,1
