raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to Nissanka, no run 
full and swings in to rap the front pad, but this is sliding past leg 
Two slips in place",0.1,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .full and swings in to rap the front pad, but this is sliding past leg  .Two slips in place",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shaheen Shah Afridi to Nissanka, no run 
good length, holds its line across off. Nissanka gets forward and defends solidly",0.2,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .good length, holds its line across off. Nissanka gets forward and defends solidly",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Nissanka, no run 
full and swinging into the pads once more, 131kph, defended towards square leg",0.3,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .full and swinging into the pads once more, 131kph, defended towards square leg",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Nissanka, no run 
good length, angles across the right hander, 132kph. Left alone 
Zarrak: ""You did not post my pre-toss prediction, I am not sure if you will this time 
around, but mark my words, Charith Asalanka will repeat his performance against Pak 
and would play an important role in a SL win today. """,0.4,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .good length, angles across the right hander, 132kph. Left alone",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Shaheen Shah Afridi to Nissanka, FOUR runs 
Errs down leg and put away! This was again swinging in down leg, but this time 
Nissanka glances it nice and fine. Fine leg was wide and had no chance",0.5,4,4.0,"Shaheen Shah Afridi to Nissanka, FOUR runs  .Errs down leg and put away! This was again swinging in down leg, but this time  .Nissanka glances it nice and fine. Fine leg was wide and had no chance",Shaheen Shah Afridi,Nissanka,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Shaheen Shah Afridi to Nissanka, no run 
good length, wide of off stump, 132kph. Left 
end of over 14 runs  
SL: 4/0CRR: 4.00  
Pathum Nissanka4 (6b 1x4) 
Kusal Perera0 (0b) 
Shaheen Shah Afridi 1-0-4-0",0.6,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .good length, wide of off stump, 132kph. Left",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Hasan Ali to Perera, no run 
back of a length on the stumps, defended from within the crease",1.1,0,0.0,"Hasan Ali to Perera, no run  .back of a length on the stumps, defended from within the crease",Hasan Ali,Perera,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Hasan Ali to Perera, 1 wide 
slides down leg on a back of a length 
Raza Anwar: ""Hassan Ali will be the most economical bowler for Pakistan today. That is 
my prediction.""",1.2,1w,1.0,"Hasan Ali to Perera, 1 wide  .slides down leg on a back of a length",Hasan Ali,Perera,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Hasan Ali to Perera, no run 
swing and a miss! This was short of a length and wide outside off, it was there to be hit 
but Perera misses",1.2,0,0.0,"Hasan Ali to Perera, no run  .swing and a miss! This was short of a length and wide outside off, it was there to be hit  .but Perera misses",Hasan Ali,Perera,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hasan Ali to Perera, no run 
shapes in now, fuller on the stumps, worked straight to square leg",1.3,0,0.0,"Hasan Ali to Perera, no run  .shapes in now, fuller on the stumps, worked straight to square leg",Hasan Ali,Perera,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Hasan Ali to Perera, OUT 
And now he's nicked through! Ali strikes early! This was short of a length and wide of 
off, similar to one earlier in the over. Perera looks to flay this over point but there's a bit 
of extra bounce that induces the edge as the keeper completes a regulation take 
Kusal Perera c †Mohammad Rizwan b Hasan Ali 0 (4b 0x4 0x6 7m) SR: 0 
Baig: ""What's up with Shaheen's pace? Is he carrying a niggle?He is usually at the 141-
140 kph mark from the start."" --- Not sure about any niggles, but from what I've observed 
as of late, since his return from injury he takes a little time to get warmed up.",1.4,W,0.0,"Hasan Ali to Perera, OUT  .And now he's nicked through! Ali strikes early! This was short of a length and wide of  .off, similar to one earlier in the over. Perera looks to flay this over point but there's a bit  .of extra bounce that induces the edge as the keeper completes a regulation take  .Kusal Perera c †Mohammad Rizwan b Hasan Ali 0 (4b 0x4 0x6 7m) SR: 0",Hasan Ali,Perera,0.0,0,0,1,1,0.0,1,c †Mohammad Rizwan b Hasan Ali,0
"1.5 
• 
Hasan Ali to Kusal Mendis, no run 
full and wide, shaping away, 131kph. Driven nicely but straight to cover",1.5,0,0.0,"Hasan Ali to Kusal Mendis, no run  .full and wide, shaping away, 131kph. Driven nicely but straight to cover",Hasan Ali,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"1.6 
1w 
Hasan Ali to Kusal Mendis, 1 wide 
short of a length, sliding down leg",1.6,1w,1.0,"Hasan Ali to Kusal Mendis, 1 wide  .short of a length, sliding down leg",Hasan Ali,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"1.6 
• 
Hasan Ali to Kusal Mendis, no run 
good length wide outside off, Mendis decides to watch this go by 
end of over 22 runs • 1 wicket 
SL: 6/1CRR: 3.00  
Kusal Mendis0 (2b) 
Pathum Nissanka4 (6b 1x4) 
Hasan Ali 1-0-2-1 
Shaheen Shah Afridi 1-0-4-0 
Pritam Banerjee: ""@ Waseem India's national anthem is written by Rabindranath Tagore 
and Sri Lanka's is inspired from his composition. Also Bangladesh's national anthem is 
composed by the great man himself, and hence the similarity""",1.6,0,0.0,"Hasan Ali to Kusal Mendis, no run  .good length wide outside off, Mendis decides to watch this go by",Hasan Ali,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Shaheen Shah Afridi to Nissanka, no run 
back of a length, angling away from off, 128kph. Left watchfully",2.1,0,0.0,"Shaheen Shah Afridi to Nissanka, no run  .back of a length, angling away from off, 128kph. Left watchfully",Shaheen Shah Afridi,Nissanka,0.0,0,0,1,1,0.0,0,,0
"2.2 
1w 
Shaheen Shah Afridi to Nissanka, 1 wide 
length ball, but too wide outside off",2.2,1w,1.0,"Shaheen Shah Afridi to Nissanka, 1 wide  .length ball, but too wide outside off",Shaheen Shah Afridi,Nissanka,0.0,0,0,0,0,1.0,0,,1
"2.2 
1 
Shaheen Shah Afridi to Nissanka, 1 run 
full on the pads, whipped behind square. Goes straight to wide fine leg",2.2,1,1.0,"Shaheen Shah Afridi to Nissanka, 1 run  .full on the pads, whipped behind square. Goes straight to wide fine leg",Shaheen Shah Afridi,Nissanka,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Shaheen Shah Afridi to Kusal Mendis, no run 
good length outside off, Mendis lets this go",2.3,0,0.0,"Shaheen Shah Afridi to Kusal Mendis, no run  .good length outside off, Mendis lets this go",Shaheen Shah Afridi,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"2.4 
1w 
Shaheen Shah Afridi to Kusal Mendis, 1 wide 
good length but again struggles with the line, this pitches outside leg and keeps shaping 
down",2.4,1w,1.0,"Shaheen Shah Afridi to Kusal Mendis, 1 wide  .good length but again struggles with the line, this pitches outside leg and keeps shaping  .down",Shaheen Shah Afridi,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"2.4 
1w 
Shaheen Shah Afridi to Kusal Mendis, 1 wide 
Oh dear, another wide down leg. Not great so far from Afridi, this",2.4,1w,1.0,"Shaheen Shah Afridi to Kusal Mendis, 1 wide  .Oh dear, another wide down leg. Not great so far from Afridi, this",Shaheen Shah Afridi,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"2.4 
• 
Shaheen Shah Afridi to Kusal Mendis, no run 
fuller on middle and leg, defended",2.4,0,0.0,"Shaheen Shah Afridi to Kusal Mendis, no run  .fuller on middle and leg, defended",Shaheen Shah Afridi,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Shaheen Shah Afridi to Kusal Mendis, FOUR runs 
Gets it into space! Not much timing here, but this was a percentage cricket from 
Mendis. Takes this from outside off and full, and picks it up over mid-on",2.5,4,4.0,"Shaheen Shah Afridi to Kusal Mendis, FOUR runs  .Gets it into space! Not much timing here, but this was a percentage cricket from  .Mendis. Takes this from outside off and full, and picks it up over mid-on",Shaheen Shah Afridi,Kusal Mendis,4.0,1,0,1,1,4.0,0,,1
