raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Rabada to Avishka Fernando, 1 run 
short ball outside off stump. And dabbed to third man",0.1,1,1.0,"Rabada to Avishka Fernando, 1 run  .short ball outside off stump. And dabbed to third man",Rabada,Avishka Fernando,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Rabada to Bhanuka, no run 
length ball angling in, and hits his thigh pad. Bit extra bounce",0.2,0,0.0,"Rabada to Bhanuka, no run  .length ball angling in, and hits his thigh pad. Bit extra bounce",Rabada,Bhanuka,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rabada to Bhanuka, no run 
full ball on the fifth-stump line, and left alone",0.3,0,0.0,"Rabada to Bhanuka, no run  .full ball on the fifth-stump line, and left alone",Rabada,Bhanuka,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Rabada to Bhanuka, 1 run 
short and wide, and poked through to the off side for his first runs",0.4,1,1.0,"Rabada to Bhanuka, 1 run  .short and wide, and poked through to the off side for his first runs",Rabada,Bhanuka,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Rabada to Avishka Fernando, no run 
full ball outside off stump. Moving away. And left alone by Avishka",0.5,0,0.0,"Rabada to Avishka Fernando, no run  .full ball outside off stump. Moving away. And left alone by Avishka",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rabada to Avishka Fernando, no run 
good length ball angling in with the arm. Worked off his hips to the leg side 
end of over 12 runs  
SL: 2/0CRR: 2.00 • RRR: 6.15 • Need 283 runs from 46 overs 
Avishka Fernando1 (3b) 
Minod Bhanuka1 (3b) 
Kagiso Rabada 1-0-2-0 
Rabada to continue.",0.6,0,0.0,"Rabada to Avishka Fernando, no run  .good length ball angling in with the arm. Worked off his hips to the leg side",Rabada,Avishka Fernando,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Mulder to Bhanuka, 1 run 
back of a length just outside off stump. Rides the bounce to nudge it away to cover 
point. Runs across for a single but non-striker says no. He scurries back to his crease",1.1,1,1.0,"Mulder to Bhanuka, 1 run  .back of a length just outside off stump. Rides the bounce to nudge it away to cover  .point. Runs across for a single but non-striker says no. He scurries back to his crease",Mulder,Bhanuka,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Mulder to Avishka Fernando, 1 run 
length ball outside off, and comfortably dabbed to third man for one",1.2,1,1.0,"Mulder to Avishka Fernando, 1 run  .length ball outside off, and comfortably dabbed to third man for one",Mulder,Avishka Fernando,1.0,0,0,1,1,1.0,0,,1
"1.3 
1w 
Mulder to Bhanuka, 1 wide 
full and wide. No shot offered, and the umpire stretches his arm out",1.3,1w,1.0,"Mulder to Bhanuka, 1 wide  .full and wide. No shot offered, and the umpire stretches his arm out",Mulder,Bhanuka,0.0,0,0,0,0,1.0,0,,1
"1.3 
• 
Mulder to Bhanuka, no run",1.3,0,0.0,"Mulder to Bhanuka, no run",Mulder,Bhanuka,0.0,0,0,1,1,0.0,0,,0
