raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rajitha to Muhammad Waseem, no run 
full on fifth stump, blocked back down the pitch.",0.1,0,0.0,"Rajitha to Muhammad Waseem, no run  .full on fifth stump, blocked back down the pitch.",Rajitha,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rajitha to Muhammad Waseem, no run 
good length ball on sixth stump, left alone.",0.2,0,0.0,"Rajitha to Muhammad Waseem, no run  .good length ball on sixth stump, left alone.",Rajitha,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rajitha to Muhammad Waseem, no run 
good length ball on fourth stump, defended again down the pitch.",0.3,0,0.0,"Rajitha to Muhammad Waseem, no run  .good length ball on fourth stump, defended again down the pitch.",Rajitha,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Rajitha to Muhammad Waseem, no run 
good length ball on fifth stump, goes for a flat-footed cut and miscues it into the ground 
well short of cover.",0.4,0,0.0,"Rajitha to Muhammad Waseem, no run  .good length ball on fifth stump, goes for a flat-footed cut and miscues it into the ground  .well short of cover.",Rajitha,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Rajitha to Muhammad Waseem, FOUR runs 
a touch fuller on fifth stump, not quite a half-volley but he drives this on the up with a 
firm punch through extra cover that races away to the rope. 
One of the two slips leaves after that boundary and comes into short extra cover.",0.5,4,4.0,"Rajitha to Muhammad Waseem, FOUR runs  .a touch fuller on fifth stump, not quite a half-volley but he drives this on the up with a  .firm punch through extra cover that races away to the rope.  .One of the two slips leaves after that boundary and comes into short extra cover.",Rajitha,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"0.6 
1w 
Rajitha to Muhammad Waseem, 1 wide 
full and tailing down leg past a flick, wide called.",0.6,1w,1.0,"Rajitha to Muhammad Waseem, 1 wide  .full and tailing down leg past a flick, wide called.",Rajitha,Muhammad Waseem,0.0,0,0,0,0,1.0,0,,1
"0.6 
1 
Rajitha to Muhammad Waseem, 1 run 
good length ball on the legs, flicked to deep fine leg for a single. 
end of over 16 runs  
UAE: 6/0CRR: 6.00 • RRR: 7.14 • Need 350 runs from 49 overs 
Muhammad Waseem5 (6b 1x4) 
Rohan Mustafa0 (0b) 
Kasun Rajitha 1-0-6-0",0.6,1,1.0,"Rajitha to Muhammad Waseem, 1 run  .good length ball on the legs, flicked to deep fine leg for a single.",Rajitha,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Lahiru Kumara to Muhammad Waseem, no run 
edge! Doesn't carry to first slip! Flat footed poke to a ball on a fullish length on the fifth 
stump channel, it clips the edge and splits the keeper and second slip to short hop first 
slip.",1.1,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .edge! Doesn't carry to first slip! Flat footed poke to a ball on a fullish length on the fifth  .stump channel, it clips the edge and splits the keeper and second slip to short hop first  .slip.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Lahiru Kumara to Muhammad Waseem, FOUR runs 
fullish length again on fourth stump, goes to drive straight over mid-off but comes off a 
thick edge and sails over cover bouncing away to the rope.",1.2,4,4.0,"Lahiru Kumara to Muhammad Waseem, FOUR runs  .fullish length again on fourth stump, goes to drive straight over mid-off but comes off a  .thick edge and sails over cover bouncing away to the rope.",Lahiru Kumara,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Lahiru Kumara to Muhammad Waseem, no run 
back of a length on middle stump, beats Waseem playing down the wrong line, stifled 
lbw shout as he's hit high on the thigh.",1.3,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .back of a length on middle stump, beats Waseem playing down the wrong line, stifled  .lbw shout as he's hit high on the thigh.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Lahiru Kumara to Muhammad Waseem, no run 
good length ball on eighth stump, left alone.",1.4,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .good length ball on eighth stump, left alone.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.5 
4lb 
Lahiru Kumara to Muhammad Waseem, 4 leg byes 
good length ball darts in off the seam and hits Waseem on the back thigh in front of 
middle after beating a flick, it deflects off the body and splits the keeper and first slip 
going to the rope for four leg byes.",1.5,4lb,4.0,"Lahiru Kumara to Muhammad Waseem, 4 leg byes  .good length ball darts in off the seam and hits Waseem on the back thigh in front of  .middle after beating a flick, it deflects off the body and splits the keeper and first slip  .going to the rope for four leg byes.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Lahiru Kumara to Muhammad Waseem, no run 
fullish length ball on sixth stump that shapes in very sharply hitting Waseem on the 
pads in front of middle and leg beating another attempted flick, stifled lbw shouts again. 
The ball was moving too much to hit the stumps. 
end of over 28 runs  
UAE: 14/0CRR: 7.00 • RRR: 7.12 • Need 342 runs from 48 overs 
Muhammad Waseem9 (12b 2x4) 
Rohan Mustafa0 (0b) 
Lahiru Kumara 1-0-4-0 
Kasun Rajitha 1-0-6-0",1.6,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .fullish length ball on sixth stump that shapes in very sharply hitting Waseem on the  .pads in front of middle and leg beating another attempted flick, stifled lbw shouts again.  .The ball was moving too much to hit the stumps.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Rajitha to Mustafa, no run 
good length ball angled across the left-hander on fifth stump, left alone.",2.1,0,0.0,"Rajitha to Mustafa, no run  .good length ball angled across the left-hander on fifth stump, left alone.",Rajitha,Mustafa,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Rajitha to Mustafa, FOUR runs 
fullish length ball on off stump, punched firmly on the up through cover to the rope.",2.2,4,4.0,"Rajitha to Mustafa, FOUR runs  .fullish length ball on off stump, punched firmly on the up through cover to the rope.",Rajitha,Mustafa,4.0,1,0,1,1,4.0,0,,1
"2.3 
4 
Rajitha to Mustafa, FOUR runs 
Mustafa charges down the wicket and slashes a length ball on off stump high over 
backward point bouncing away to the rope.",2.3,4,4.0,"Rajitha to Mustafa, FOUR runs  .Mustafa charges down the wicket and slashes a length ball on off stump high over  .backward point bouncing away to the rope.",Rajitha,Mustafa,4.0,1,0,1,1,4.0,0,,1
"2.4 
• 
Rajitha to Mustafa, no run 
good length ball angled across eighth stump, left alone.",2.4,0,0.0,"Rajitha to Mustafa, no run  .good length ball angled across eighth stump, left alone.",Rajitha,Mustafa,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Rajitha to Mustafa, 1 run 
fullish length on sixth stump, reaches out and smashes a drive toward cover that is 
knocked down partially with a dive to the left to turn four into a single.",2.5,1,1.0,"Rajitha to Mustafa, 1 run  .fullish length on sixth stump, reaches out and smashes a drive toward cover that is  .knocked down partially with a dive to the left to turn four into a single.",Rajitha,Mustafa,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Rajitha to Muhammad Waseem, no run 
short on fifth stump, Waseem miscues a cut into the ground. 
end of over 39 runs  
UAE: 23/0CRR: 7.66 • RRR: 7.08 • Need 333 runs from 47 overs 
Muhammad Waseem9 (13b 2x4) 
Rohan Mustafa9 (5b 2x4) 
Kasun Rajitha 2-0-15-0 
Lahiru Kumara 1-0-4-0",2.6,0,0.0,"Rajitha to Muhammad Waseem, no run  .short on fifth stump, Waseem miscues a cut into the ground.",Rajitha,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Lahiru Kumara to Mustafa, no run 
back of a length on off, Mustafa hops on his toes to defend.",3.1,0,0.0,"Lahiru Kumara to Mustafa, no run  .back of a length on off, Mustafa hops on his toes to defend.",Lahiru Kumara,Mustafa,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Lahiru Kumara to Mustafa, no run 
back of a length ball on fifth stump, Mustafa swats flat-footed at this and is beaten.",3.2,0,0.0,"Lahiru Kumara to Mustafa, no run  .back of a length ball on fifth stump, Mustafa swats flat-footed at this and is beaten.",Lahiru Kumara,Mustafa,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Lahiru Kumara to Mustafa, 1 run 
back of a length on fourth stump, tap and run gently into the covers for one.",3.3,1,1.0,"Lahiru Kumara to Mustafa, 1 run  .back of a length on fourth stump, tap and run gently into the covers for one.",Lahiru Kumara,Mustafa,1.0,0,0,1,1,1.0,0,,1
"3.4 
5w 
Lahiru Kumara to Muhammad Waseem, 5 wide 
full and swinging way down leg past the diving effort of Kusal Mendis and goes to the 
rope for five wides.",3.4,5w,5.0,"Lahiru Kumara to Muhammad Waseem, 5 wide  .full and swinging way down leg past the diving effort of Kusal Mendis and goes to the  .rope for five wides.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,0,0,5.0,0,,1
"3.4 
• 
Lahiru Kumara to Muhammad Waseem, no run 
back of a length on fourth stump, defended back down the pitch.",3.4,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .back of a length on fourth stump, defended back down the pitch.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Lahiru Kumara to Muhammad Waseem, no run 
back of a length on middle, beats Waseem going to flick through midwicket and hits 
him high on the thigh before dribbling back to the bowler.",3.5,0,0.0,"Lahiru Kumara to Muhammad Waseem, no run  .back of a length on middle, beats Waseem going to flick through midwicket and hits  .him high on the thigh before dribbling back to the bowler.",Lahiru Kumara,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"3.6 
4 
Lahiru Kumara to Muhammad Waseem, FOUR runs 
too full on middle and off swinging in, Waseem with a firm punch that flies past Mustafa 
through mid-on to the rope. 
end of over 410 runs  
UAE: 33/0CRR: 8.25 • RRR: 7.02 • Need 323 runs from 46 overs 
Muhammad Waseem13 (16b 3x4) 
Rohan Mustafa10 (8b 2x4) 
Lahiru Kumara 2-0-14-0 
Kasun Rajitha 2-0-15-0 
First bowling change of the chase. Maheesh Theekshana into the attack with a slip in 
place, bowling over the wicket to Mustafa.",3.6,4,4.0,"Lahiru Kumara to Muhammad Waseem, FOUR runs  .too full on middle and off swinging in, Waseem with a firm punch that flies past Mustafa  .through mid-on to the rope.",Lahiru Kumara,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
