raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mayers to Nissanka, no run 
length delivery just outside off stump. Nissanka gets onto the front foot and defends",0.1,0,0.0,"Mayers to Nissanka, no run  .length delivery just outside off stump. Nissanka gets onto the front foot and defends",Mayers,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Mayers to Nissanka, FOUR runs 
off the mark with a boundary! Half-volley outside off stump that shapes in late. 
Nissanka works it out, leans forward and times it exquisitely past mid on",0.2,4,4.0,"Mayers to Nissanka, FOUR runs  .off the mark with a boundary! Half-volley outside off stump that shapes in late.  .Nissanka works it out, leans forward and times it exquisitely past mid on",Mayers,Nissanka,4.0,1,0,1,1,4.0,0,,1
"0.3 
2 
Mayers to Nissanka, 2 runs 
full and outside off stump again. Nissanka gets a decent stride in and pushes it through 
the cover point region for a couple of runs",0.3,2,2.0,"Mayers to Nissanka, 2 runs  .full and outside off stump again. Nissanka gets a decent stride in and pushes it through  .the cover point region for a couple of runs",Mayers,Nissanka,2.0,0,0,1,1,2.0,0,,1
"0.4 
• 
Mayers to Nissanka, no run 
length delivery in the channel that nips back. Nissanka has a nibble at it and gets an 
inside edge that pings into the flap of his front pad",0.4,0,0.0,"Mayers to Nissanka, no run  .length delivery in the channel that nips back. Nissanka has a nibble at it and gets an  .inside edge that pings into the flap of his front pad",Mayers,Nissanka,0.0,0,0,1,1,0.0,0,,0
"0.5 
2 
Mayers to Nissanka, 2 runs 
length delivery that just drifts onto the pads with the angle. Nissanka gets inside the line 
and glances it down to fine leg for a brace",0.5,2,2.0,"Mayers to Nissanka, 2 runs  .length delivery that just drifts onto the pads with the angle. Nissanka gets inside the line  .and glances it down to fine leg for a brace",Mayers,Nissanka,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Mayers to Nissanka, no run 
length delivery in the corridor just outside off. Nissanka lets the ball come to him before 
meeting it right under his eyes 
end of over 18 runs  
SL: 8/0CRR: 8.00 • RRR: 4.81 • Need 236 runs from 49 overs 
Pathum Nissanka8 (6b 1x4) 
Dimuth Karunaratne0 (0b) 
Kyle Mayers 1-0-8-0 
Shepherd to take the new ball from the other end. Slip i place for Karunaratne",0.6,0,0.0,"Mayers to Nissanka, no run  .length delivery in the corridor just outside off. Nissanka lets the ball come to him before  .meeting it right under his eyes",Mayers,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Shepherd to Dimuth Karunaratne, 1 run 
length delivery on leg stump that shapes in. Karunaratne uses the pace and tucks it off 
his pads towards fine leg to get off the mark 
Two slips for Nissanka",1.1,1,1.0,"Shepherd to Dimuth Karunaratne, 1 run  .length delivery on leg stump that shapes in. Karunaratne uses the pace and tucks it off  .his pads towards fine leg to get off the mark  .Two slips for Nissanka",Shepherd,Dimuth Karunaratne,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Shepherd to Nissanka, no run 
back of a length delivery on off stump. The ball keeps a little low but Nissanka adjusts 
nicely to defend",1.2,0,0.0,"Shepherd to Nissanka, no run  .back of a length delivery on off stump. The ball keeps a little low but Nissanka adjusts  .nicely to defend",Shepherd,Nissanka,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Shepherd to Nissanka, FOUR runs 
shot! Marginally short outside off stump. Nissanka picks the length very early, rocks 
back and hammers it through square leg for four!",1.3,4,4.0,"Shepherd to Nissanka, FOUR runs  .shot! Marginally short outside off stump. Nissanka picks the length very early, rocks  .back and hammers it through square leg for four!",Shepherd,Nissanka,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Shepherd to Nissanka, no run 
back of a length delivery outside off stump. Nissanka gets up on his toes and taps it 
towards backward point",1.4,0,0.0,"Shepherd to Nissanka, no run  .back of a length delivery outside off stump. Nissanka gets up on his toes and taps it  .towards backward point",Shepherd,Nissanka,0.0,0,0,1,1,0.0,0,,0
