raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Madushanka to Gumbie, no run 
Bowls it full and on the fourth-stump line, Gumbie gets a half-stride in and defends it 
solidly. 
Second slip goes to short midwicket",0.1,0,0.0,"Madushanka to Gumbie, no run  .Bowls it full and on the fourth-stump line, Gumbie gets a half-stride in and defends it  .solidly.  .Second slip goes to short midwicket",Madushanka,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Madushanka to Gumbie, no run 
A hint of swing inwards around off and middle, he pushes it back towards the bowler.",0.2,0,0.0,"Madushanka to Gumbie, no run  .A hint of swing inwards around off and middle, he pushes it back towards the bowler.",Madushanka,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Madushanka to Gumbie, no run 
Banged in short around leg, forces Gumbie to duck and let it go.",0.3,0,0.0,"Madushanka to Gumbie, no run  .Banged in short around leg, forces Gumbie to duck and let it go.",Madushanka,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Madushanka to Gumbie, 1 wide 
Full and sprays it down leg, Gumbie walks across a tad early and then lets it go. Perhaps 
would have hit him on the pad had he stayed put in his original position.",0.4,1w,1.0,"Madushanka to Gumbie, 1 wide  .Full and sprays it down leg, Gumbie walks across a tad early and then lets it go. Perhaps  .would have hit him on the pad had he stayed put in his original position.",Madushanka,Gumbie,0.0,0,0,0,0,1.0,0,,1
"0.4 
1w 
Madushanka to Gumbie, 1 wide 
On a length this time, starts outside leg and gets a bit of a shape down leg. He 
shoulders arms again.",0.4,1w,1.0,"Madushanka to Gumbie, 1 wide  .On a length this time, starts outside leg and gets a bit of a shape down leg. He  .shoulders arms again.",Madushanka,Gumbie,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Madushanka to Gumbie, no run 
Fuller and just outside off at 132 kph, Gumbe gets his bat down quickly to push it back 
past the non-striker towards mid-off.",0.4,0,0.0,"Madushanka to Gumbie, no run  .Fuller and just outside off at 132 kph, Gumbe gets his bat down quickly to push it back  .past the non-striker towards mid-off.",Madushanka,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.5 
W 
Madushanka to Gumbie, OUT 
Early strike for Sri Lanka! And the plan works for them. Zimbabwe had only lost one 
wicket in the first ten overs in the competition up until now. Madushanka and Sri 
Lanka's plan was always to have Gumbie dismissed with an inswinging one. They had a 
square leg and short midwicket in place. Madushanka bowls it full on middle and leg 
with the inswing and asks him to flick. Gumbie does it straight to Nissanka at short 
midwicket to depart for a five-ball duck. Lowest opening stand in this tournament for 
Zimbabwe. 
Joylord Gumbie c Nissanka b Madushanka 0 (5b 0x4 0x6 6m) SR: 0 
Wessly Madhevere is in at No. 3. Earlier that he would have expected",0.5,W,0.0,"Madushanka to Gumbie, OUT  .Early strike for Sri Lanka! And the plan works for them. Zimbabwe had only lost one  .wicket in the first ten overs in the competition up until now. Madushanka and Sri  .Lanka's plan was always to have Gumbie dismissed with an inswinging one. They had a  .square leg and short midwicket in place. Madushanka bowls it full on middle and leg  .with the inswing and asks him to flick. Gumbie does it straight to Nissanka at short  .midwicket to depart for a five-ball duck. Lowest opening stand in this tournament for  .Zimbabwe.  .Joylord Gumbie c Nissanka b Madushanka 0 (5b 0x4 0x6 6m) SR: 0",Madushanka,Gumbie,0.0,0,0,1,1,0.0,1,c Nissanka b Madushanka,0
"0.6 
• 
Madushanka to Madhevere, no run 
Inswinging yorker on middle at 131kph, digs it back out. Successful over to moot for Sri 
Lanka 
end of over 12 runs • 1 wicket 
ZIM: 2/1CRR: 2.00  
Wessly Madhevere0 (1b) 
Craig Ervine0 (0b) 
Dilshan Madushanka 1-0-2-1 
Dasun Shanaka takes the second new ball. No Kumara or Rajitha and the captain has 
the new orb. Pathirana is generally good with the older ball. One slip in as he runs in 
from over the wicket",0.6,0,0.0,"Madushanka to Madhevere, no run  .Inswinging yorker on middle at 131kph, digs it back out. Successful over to moot for Sri  .Lanka",Madushanka,Madhevere,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shanaka to Ervine, no run 
Full around middle and off, not much swing, Ervine gets half-forward and defends it 
towards cover.",1.1,0,0.0,"Shanaka to Ervine, no run  .Full around middle and off, not much swing, Ervine gets half-forward and defends it  .towards cover.",Shanaka,Ervine,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Shanaka to Ervine, 1 run 
Length ball on the pads with a hint of shape in, tucked away to fine leg. 
Jono: ""I think this is a very balanced looking Zimbabwe XI, with Luke Jongwe and Brad 
Evans able to bolster the bowling attack as well as being able to add some valuable 
runs at the back end of their innings if they are needed for that,which hopefully they 
won't be called on """,1.2,1,1.0,"Shanaka to Ervine, 1 run  .Length ball on the pads with a hint of shape in, tucked away to fine leg.",Shanaka,Ervine,1.0,0,0,1,1,1.0,0,,1
