raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Malinga to Taylor, no run 
ominous start, fast and furious and swinging away from well outside off. Taylor leaves.",0.1,0,0.0,"Malinga to Taylor, no run  .ominous start, fast and furious and swinging away from well outside off. Taylor leaves.",Malinga,Taylor,0.0,0,0,1,1,0.0,0,,0
"0.2 
1b 
Malinga to Taylor, 1 bye 
voila, he's already getting it to swing like crazy. 141 kph, lands just outside off and 
Taylor misses as he feels away from the body. So does Sanga as it snakes away.",0.2,1b,1.0,"Malinga to Taylor, 1 bye  .voila, he's already getting it to swing like crazy. 141 kph, lands just outside off and  .Taylor misses as he feels away from the body. So does Sanga as it snakes away.",Malinga,Taylor,0.0,0,0,1,1,0.0,0,,1
"0.3 
1w 
Malinga to Chakabva, 1 wide 
this one slips down the leg side for a wide.",0.3,1w,1.0,"Malinga to Chakabva, 1 wide  .this one slips down the leg side for a wide.",Malinga,Chakabva,0.0,0,0,0,0,1.0,0,,1
"0.3 
• 
Malinga to Chakabva, no run 
Chakabva can't see it. Full away swinger on the stumps, he looks to flick and somehow 
gets a leading edge into the covers. Clueless.",0.3,0,0.0,"Malinga to Chakabva, no run  .Chakabva can't see it. Full away swinger on the stumps, he looks to flick and somehow  .gets a leading edge into the covers. Clueless.",Malinga,Chakabva,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Malinga to Chakabva, 1 run 
back of a length this time and finally a run off the bat. Regis Registers his first run, 
defending to the leg side",0.4,1,1.0,"Malinga to Chakabva, 1 run  .back of a length this time and finally a run off the bat. Regis Registers his first run,  .defending to the leg side",Malinga,Chakabva,1.0,0,0,1,1,1.0,0,,1
"0.5 
4 
Malinga to Taylor, FOUR runs 
full toss on the pads as Malinga loses his radar, Taylor is good enough to wait for it and 
clip it neatly backward of square. Zimbabwe have hit their first four.",0.5,4,4.0,"Malinga to Taylor, FOUR runs  .full toss on the pads as Malinga loses his radar, Taylor is good enough to wait for it and  .clip it neatly backward of square. Zimbabwe have hit their first four.",Malinga,Taylor,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Malinga to Taylor, no run 
confident shot, 143 kph away swinger outside off, Taylor gets close to the line and 
drives on the up, but finds cover this time. 
end of over 17 runs  
ZIM: 7/0CRR: 7.00 • RRR: 6.55 
Brendan Taylor4 (4b 1x4) 
Regis Chakabva1 (2b) 
Lasith Malinga 1-0-6-0 
Kula has the new ball for the second over.",0.6,0,0.0,"Malinga to Taylor, no run  .confident shot, 143 kph away swinger outside off, Taylor gets close to the line and  .drives on the up, but finds cover this time.",Malinga,Taylor,0.0,0,0,1,1,0.0,0,,0
"1.1 
2 
Kulasekara to Chakabva, 2 runs 
begins with one that tails into the pads and it is worked off the pads for a couple",1.1,2,2.0,"Kulasekara to Chakabva, 2 runs  .begins with one that tails into the pads and it is worked off the pads for a couple",Kulasekara,Chakabva,2.0,0,0,1,1,2.0,0,,1
"1.2 
• 
Kulasekara to Chakabva, no run 
he's getting the inducker going here. Chakabva covers the line and defends this time",1.2,0,0.0,"Kulasekara to Chakabva, no run  .he's getting the inducker going here. Chakabva covers the line and defends this time",Kulasekara,Chakabva,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Kulasekara to Chakabva, 1 run 
back of a length outside off, Chakabva steers with an opened face, backward of point 
for one",1.3,1,1.0,"Kulasekara to Chakabva, 1 run  .back of a length outside off, Chakabva steers with an opened face, backward of point  .for one",Kulasekara,Chakabva,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Kulasekara to Taylor, no run 
lovely delivery, huge lbw appeal, turned down and not reviewed. Another huge inducker 
from Kula, curves in off his arm and comes into Taylor who has the tendency to play 
around the pads a bit. He was doing just that today, and seemed to be struck in front of 
middle. Would that have hit leg? Replays awaited. Ah, they are in, and it was missing leg. 
Good decision not to review it.",1.4,0,0.0,"Kulasekara to Taylor, no run  .lovely delivery, huge lbw appeal, turned down and not reviewed. Another huge inducker  .from Kula, curves in off his arm and comes into Taylor who has the tendency to play  .around the pads a bit. He was doing just that today, and seemed to be struck in front of  .middle. Would that have hit leg? Replays awaited. Ah, they are in, and it was missing leg.  .Good decision not to review it.",Kulasekara,Taylor,0.0,0,0,1,1,0.0,0,,0
"1.5 
2 
Kulasekara to Taylor, 2 runs 
again Kula gets it to come into Taylor, who this time waits and turns the wrists at the 
same time. A couple to midwicket",1.5,2,2.0,"Kulasekara to Taylor, 2 runs  .again Kula gets it to come into Taylor, who this time waits and turns the wrists at the  .same time. A couple to midwicket",Kulasekara,Taylor,2.0,0,0,1,1,2.0,0,,1
