raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Shami to Rasheed, OUT 
Gone first ball! It's that perfect Test match delivery with the new ball, on a length 
outside off, shaping away. Rasheed pushes at it and gets a thick edge and Abhishek 
Sharma takes a sharp catch at slip! 
Shaik Rasheed c Abhishek Sharma b Mohammed Shami 0 (1b 0x4 0x6 1m) SR: 0 
See all photos 
And it is Sam Curran at No. 3",0.1,W,0.0,"Shami to Rasheed, OUT  .Gone first ball! It's that perfect Test match delivery with the new ball, on a length  .outside off, shaping away. Rasheed pushes at it and gets a thick edge and Abhishek  .Sharma takes a sharp catch at slip!  .Shaik Rasheed c Abhishek Sharma b Mohammed Shami 0 (1b 0x4 0x6 1m) SR: 0",Shami,Rasheed,0.0,0,0,1,1,0.0,1,c Abhishek Sharma b Mohammed Shami,0
"0.2 
1nb 
Shami to Sam Curran, (no ball) 
Looks to take it away from Curran but misses on the line. That's too wide from Shami. 
Oh, and Shami's managed to disturb the stumps at the non-striker's end while loading 
up so it's a no-ball",0.2,1nb,1.0,"Shami to Sam Curran, (no ball)  .Looks to take it away from Curran but misses on the line. That's too wide from Shami.  .Oh, and Shami's managed to disturb the stumps at the non-striker's end while loading  .up so it's a no-ball",Shami,Sam Curran,0.0,0,0,1,0,1.0,0,,1
"0.2 
1 
Shami to Sam Curran, 1 run 
Shami nails the yorker and Curran can only inside edge it onto his pads trying to swing it 
leg side. The ball rolls to his left and they get their first run off the bat 
Two slips in place for Mhatre",0.2,1,1.0,"Shami to Sam Curran, 1 run  .Shami nails the yorker and Curran can only inside edge it onto his pads trying to swing it  .leg side. The ball rolls to his left and they get their first run off the bat  .Two slips in place for Mhatre",Shami,Sam Curran,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Shami to Mhatre, no run 
Pitched up full outside off, swing away again, Mhatre plays it to point",0.3,0,0.0,"Shami to Mhatre, no run  .Pitched up full outside off, swing away again, Mhatre plays it to point",Shami,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shami to Mhatre, no run 
Shami pulls his length back as he delivers another outswinger. Mhatre meets it with a 
firm back-foot punch to cover",0.4,0,0.0,"Shami to Mhatre, no run  .Shami pulls his length back as he delivers another outswinger. Mhatre meets it with a  .firm back-foot punch to cover",Shami,Mhatre,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Shami to Mhatre, FOUR runs 
Slapped away past cover! Short and wide and Mhatre stands tall and punches it away to 
cover's left. The fielder puts in the dive but he's placed that perfectly 
Prithvi Shaw - Shreyas Iyer DC v CSK 2018 - 41y 364d 
Rishabh Pant - Quinton de Kock DC v GL 2016 - 41y 359d 
Rishabh Pant- Sanju Samson DC v RPS 2016 - 40y 34d 
Ayush Mhatre - Shaik Rasheed, CSK vs SRH 2025 - 38y 141d 
Vaibhav Suryavanshi - Yashasvi Jaiswal, RR v LSG 2025 - 37y 145d 
Youngest opening pairs combined in IPL:",0.5,4,4.0,"Shami to Mhatre, FOUR runs  .Slapped away past cover! Short and wide and Mhatre stands tall and punches it away to  .cover's left. The fielder puts in the dive but he's placed that perfectly  .Prithvi Shaw - Shreyas Iyer DC v CSK 2018 - 41y 364d  .Rishabh Pant - Quinton de Kock DC v GL 2016 - 41y 359d  .Rishabh Pant- Sanju Samson DC v RPS 2016 - 40y 34d  .Ayush Mhatre - Shaik Rasheed, CSK vs SRH 2025 - 38y 141d  .Vaibhav Suryavanshi - Yashasvi Jaiswal, RR v LSG 2025 - 37y 145d  .Youngest opening pairs combined in IPL:",Shami,Mhatre,4.0,1,0,1,1,4.0,0,,1
"0.6 
1 
Shami to Mhatre, 1 run 
Full around middle, Mhatre punches it towards mid-on for a single 
end of over 17 runs • 1 wicket 
CSK: 7/1CRR: 7.00  
Ayush Mhatre5 (4b 1x4) 
Sam Curran1 (2b) 
Mohammed Shami 1-0-7-1 
Cummins from the other end",0.6,1,1.0,"Shami to Mhatre, 1 run  .Full around middle, Mhatre punches it towards mid-on for a single",Shami,Mhatre,1.0,0,0,1,1,1.0,0,,1
"1.1 
4 
Cummins to Mhatre, FOUR runs 
Mhatre has picked up today from where he left off. This is full, and there's width on 
offer, and Mhatre crashes it away through cover point. He is completely unfazed by that 
first-ball wicket!",1.1,4,4.0,"Cummins to Mhatre, FOUR runs  .Mhatre has picked up today from where he left off. This is full, and there's width on  .offer, and Mhatre crashes it away through cover point. He is completely unfazed by that  .first-ball wicket!",Cummins,Mhatre,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Cummins to Mhatre, 1 run 
On a length on off, 140kph, Mhatre taps it to cover for a single",1.2,1,1.0,"Cummins to Mhatre, 1 run  .On a length on off, 140kph, Mhatre taps it to cover for a single",Cummins,Mhatre,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Cummins to Sam Curran, no run 
Full on off and going across him, Curran pushes it towards mid-off. A bit of confusion 
as Curran sends Mhatre back after starting off on the single, but the youngster has 
enough time to get back",1.3,0,0.0,"Cummins to Sam Curran, no run  .Full on off and going across him, Curran pushes it towards mid-off. A bit of confusion  .as Curran sends Mhatre back after starting off on the single, but the youngster has  .enough time to get back",Cummins,Sam Curran,0.0,0,0,1,1,0.0,0,,0
