raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Shami to de Kock, 1 wide 
wild delivery to start off. A mile outside leg and Klaasen does well to get something 
behind it. That swung a great deal, though",0.1,1w,1.0,"Shami to de Kock, 1 wide  .wild delivery to start off. A mile outside leg and Klaasen does well to get something  .behind it. That swung a great deal, though",Shami,de Kock,0.0,0,0,0,0,1.0,0,,1
"0.1 
4lb 
Shami to de Kock, 4 leg byes 
off the pads and into the fence! Back of a length, swinging into the pads. de Kock is late 
on the flick but the ball brushes enough of his pad to beat the keeper to his right! 
Some swing on offer early but Shami has not been able to control it yet. Over the wicket 
now",0.1,4lb,4.0,"Shami to de Kock, 4 leg byes  .off the pads and into the fence! Back of a length, swinging into the pads. de Kock is late  .on the flick but the ball brushes enough of his pad to beat the keeper to his right!  .Some swing on offer early but Shami has not been able to control it yet. Over the wicket  .now",Shami,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Shami to de Kock, 1 run 
back of a length on leg stump. de Kock gets up on his toes and stabs it into the square 
leg region to get off the mark",0.2,1,1.0,"Shami to de Kock, 1 run  .back of a length on leg stump. de Kock gets up on his toes and stabs it into the square  .leg region to get off the mark",Shami,de Kock,1.0,0,0,1,1,1.0,0,,1
"0.3 
1lb 
Shami to Narine, 1 leg bye 
shortish, slanting into leg stump from around the wicket. Narine has a half-hearted tug 
at it and the ball pops up off his body into the on side. That was bowled at 140.4kph 
Over the wicket to QDK",0.3,1lb,1.0,"Shami to Narine, 1 leg bye  .shortish, slanting into leg stump from around the wicket. Narine has a half-hearted tug  .at it and the ball pops up off his body into the on side. That was bowled at 140.4kph  .Over the wicket to QDK",Shami,Narine,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shami to de Kock, no run 
shortish just outside off. de Kock lets the ball come to him before stabbing it into the off 
side",0.4,0,0.0,"Shami to de Kock, no run  .shortish just outside off. de Kock lets the ball come to him before stabbing it into the off  .side",Shami,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shami to de Kock, no run 
back of a length on middle and off, de Kock gets behind the line and drops it into the off 
side with soft hands",0.5,0,0.0,"Shami to de Kock, no run  .back of a length on middle and off, de Kock gets behind the line and drops it into the off  .side with soft hands",Shami,de Kock,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shami to de Kock, no run 
oh! Back of a length, pitching on middle and off and then nipping away with the angle. 
de Kock goes nibbling at it and is beaten on the outside 
end of over 17 runs  
KKR: 7/0CRR: 7.00  
Quinton de Kock1 (5b) 
Sunil Narine0 (1b) 
Mohammed Shami 1-0-2-0 
Cummins to share the new ball. He will hope to extract some help early too. Over the 
wicket to start off",0.6,0,0.0,"Shami to de Kock, no run  .oh! Back of a length, pitching on middle and off and then nipping away with the angle.  .de Kock goes nibbling at it and is beaten on the outside",Shami,de Kock,0.0,0,0,1,1,0.0,0,,0
"1.1 
6 
Cummins to Narine, SIX runs 
fetch that, says Sunil Narine! Banged into the track outside off and this sits up nicely for 
Narine. He picks the length up, clears his front hip and swats it over deep mid wicket!",1.1,6,6.0,"Cummins to Narine, SIX runs  .fetch that, says Sunil Narine! Banged into the track outside off and this sits up nicely for  .Narine. He picks the length up, clears his front hip and swats it over deep mid wicket!",Cummins,Narine,6.0,0,1,1,1,6.0,0,,1
"1.2 
• 
Cummins to Narine, no run 
well well! Zipped into the blockhole just outside leg. Narine gets into a bit of a tangle 
and swishes at thin air. Gets nutmegged too. Cummins has a wry smile on his face 
Long on and deep mid wicket on the fence 
 
Sunil Narine vs Pat Cummins 
BALLS 
9 
RUNS 
25 
OUTS 
2 
SR 
277.77 
4s/6s 
3/2",1.2,0,0.0,"Cummins to Narine, no run  .well well! Zipped into the blockhole just outside leg. Narine gets into a bit of a tangle  .and swishes at thin air. Gets nutmegged too. Cummins has a wry smile on his face  .Long on and deep mid wicket on the fence  .  .Sunil Narine vs Pat Cummins  .BALLS  .9  .RUNS  .25  .OUTS  .2  .SR  .277.77  .4s/6s  .3/2",Cummins,Narine,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Cummins to Narine, no run 
full toss outside off. Narine backs away and drills it straight to extra cover. He will feel 
he missed out there",1.3,0,0.0,"Cummins to Narine, no run  .full toss outside off. Narine backs away and drills it straight to extra cover. He will feel  .he missed out there",Cummins,Narine,0.0,0,0,1,1,0.0,0,,0
