raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Chahar to Abhishek, 2 runs 
Chance first up! Abhishek gives charge to this length ball and looks to go inside out. 
Gets a thick edge that goes above Will Jacks at first slip. It bursts through his hand! 
What a start 
See all photos",0.1,2,2.0,"Chahar to Abhishek, 2 runs  .Chance first up! Abhishek gives charge to this length ball and looks to go inside out.  .Gets a thick edge that goes above Will Jacks at first slip. It bursts through his hand!  .What a start  .See all photos",Chahar,Abhishek,2.0,0,0,1,1,2.0,0,,1
"0.2 
1 
Chahar to Abhishek, 1 run 
Full around middle and leg, Abhishek backs away leg side and drives through cover. 
Good job by the infielder to chase that down",0.2,1,1.0,"Chahar to Abhishek, 1 run  .Full around middle and leg, Abhishek backs away leg side and drives through cover.  .Good job by the infielder to chase that down",Chahar,Abhishek,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Chahar to Head, no run 
On a length around middle, swing away from Head, who parries it back",0.3,0,0.0,"Chahar to Head, no run  .On a length around middle, swing away from Head, who parries it back",Chahar,Head,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Chahar to Head, no run 
Another chance, or just short? It's all happening at the Wankhede! Outswinger around 
middle as well, Head looks to whip it leg side and it goes to Karn Sharma at 
midwicket.And it's just dropped short!",0.4,0,0.0,"Chahar to Head, no run  .Another chance, or just short? It's all happening at the Wankhede! Outswinger around  .middle as well, Head looks to whip it leg side and it goes to Karn Sharma at  .midwicket.And it's just dropped short!",Chahar,Head,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Chahar to Head, 1 run 
Now Head slaps this to point where Dhir grabs it and throws it very high, that goes over 
Rickelton and Jacks both, allowing the single!",0.5,1,1.0,"Chahar to Head, 1 run  .Now Head slaps this to point where Dhir grabs it and throws it very high, that goes over  .Rickelton and Jacks both, allowing the single!",Chahar,Head,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Chahar to Abhishek, 1 run 
Very full outside off, Abhishek drives it out to deep point with an open face 
Abhisek daga: ""What a start to the match.. Everyone is in action in the 1st over itself"" 
end of over 15 runs  
SRH: 5/0CRR: 5.00  
Abhishek Sharma4 (3b) 
Travis Head1 (3b) 
Deepak Chahar 1-0-5-0 
Trent Boult, unsurprisingly, from the other end",0.6,1,1.0,"Chahar to Abhishek, 1 run  .Very full outside off, Abhishek drives it out to deep point with an open face",Chahar,Abhishek,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Boult to Abhishek, no run 
ON a length around middle, swinging away, and Abhishek punches it back to him",1.1,0,0.0,"Boult to Abhishek, no run  .ON a length around middle, swinging away, and Abhishek punches it back to him",Boult,Abhishek,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Boult to Abhishek, FOUR runs 
Beats mid-on! And we have our first boundary. Full and straight on leg, Abhishek gives 
charge and just punches it past the non-striker. Mid-on scrambles to his right but it's too 
straight of him",1.2,4,4.0,"Boult to Abhishek, FOUR runs  .Beats mid-on! And we have our first boundary. Full and straight on leg, Abhishek gives  .charge and just punches it past the non-striker. Mid-on scrambles to his right but it's too  .straight of him",Boult,Abhishek,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Boult to Abhishek, 1 run 
Full around middle and leg, Abhishek flicks it away aerially towards backward square 
leg. Didn't quite get a hold of that",1.3,1,1.0,"Boult to Abhishek, 1 run  .Full around middle and leg, Abhishek flicks it away aerially towards backward square  .leg. Didn't quite get a hold of that",Boult,Abhishek,1.0,0,0,1,1,1.0,0,,1
"1.4 
1w 
Boult to Head, 1 wide 
Now Boult slides one down leg as Head looks to flick and misses",1.4,1w,1.0,"Boult to Head, 1 wide  .Now Boult slides one down leg as Head looks to flick and misses",Boult,Head,0.0,0,0,0,0,1.0,0,,1
