raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Cummins to Rickelton, no run 
Length ball on off and middle to start, punched back defensively off the crease",0.1,0,0.0,"Cummins to Rickelton, no run  .Length ball on off and middle to start, punched back defensively off the crease",Cummins,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Cummins to Rickelton, FOUR runs 
Sweeeeet! Not a driveable length that. Just around good length, outside off. Rickelton 
leans into it and places it through cover, beats the fielder and takes four to get going",0.2,4,4.0,"Cummins to Rickelton, FOUR runs  .Sweeeeet! Not a driveable length that. Just around good length, outside off. Rickelton  .leans into it and places it through cover, beats the fielder and takes four to get going",Cummins,Rickelton,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Cummins to Rickelton, no run 
Length ball on off, punched to mid-off. Takes off for a run, Rohit responds and then is 
sent back. Shy missed by NKR at the bowler's end. Ro would have been in though",0.3,0,0.0,"Cummins to Rickelton, no run  .Length ball on off, punched to mid-off. Takes off for a run, Rohit responds and then is  .sent back. Shy missed by NKR at the bowler's end. Ro would have been in though",Cummins,Rickelton,0.0,0,0,1,1,0.0,0,,0
"0.4 
2 
Cummins to Rickelton, 2 runs 
Half-minded run and a confusion between the fielders. Result? Two runs for MI. 
Rickelton taps it towards and takes off, pauses and continues running. Extra cover runs 
in, Reddy swoops in too from mid-off. Eventually both of them leave it for the other",0.4,2,2.0,"Cummins to Rickelton, 2 runs  .Half-minded run and a confusion between the fielders. Result? Two runs for MI.  .Rickelton taps it towards and takes off, pauses and continues running. Extra cover runs  .in, Reddy swoops in too from mid-off. Eventually both of them leave it for the other",Cummins,Rickelton,2.0,0,0,1,1,2.0,0,,1
"0.5 
1 
Cummins to Rickelton, 1 run 
Slanting away on a length, slapped to deep cover-point 
Cummins vs Rohit time",0.5,1,1.0,"Cummins to Rickelton, 1 run  .Slanting away on a length, slapped to deep cover-point  .Cummins vs Rohit time",Cummins,Rickelton,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Cummins to Rohit Sharma, 1 run 
Full on middle, he comes forward and flicks it to mid-on for a quick single 
end of over 18 runs  
MI: 8/0CRR: 8.00 • RRR: 7.15 • Need 136 runs from 114b 
Rohit Sharma1 (1b) 
Ryan Rickelton7 (5b 1x4) 
Pat Cummins 1-0-8-0 
Jaydev Unadkat into the attack from the other end",0.6,1,1.0,"Cummins to Rohit Sharma, 1 run  .Full on middle, he comes forward and flicks it to mid-on for a quick single",Cummins,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Unadkat to Rohit Sharma, 1 run 
Back of a length on leg, he hops and tucks it through square leg",1.1,1,1.0,"Unadkat to Rohit Sharma, 1 run  .Back of a length on leg, he hops and tucks it through square leg",Unadkat,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Unadkat to Rickelton, FOUR runs 
Thickish outside edge. Or might have deliberate. On a length outside off, 131.8kph, a 
bit of movement away. Rickelton plays away from his body with soft hands, it goes off 
the outer half between short third and backward point",1.2,4,4.0,"Unadkat to Rickelton, FOUR runs  .Thickish outside edge. Or might have deliberate. On a length outside off, 131.8kph, a  .bit of movement away. Rickelton plays away from his body with soft hands, it goes off  .the outer half between short third and backward point",Unadkat,Rickelton,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Unadkat to Rickelton, no run 
Slower one, full around off, taps it towards cover. Wants a run but Rohit says no",1.3,0,0.0,"Unadkat to Rickelton, no run  .Slower one, full around off, taps it towards cover. Wants a run but Rohit says no",Unadkat,Rickelton,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Unadkat to Rickelton, OUT 
What a catch! Early wicket for SRH. Unadkat lands it on a length around off, it holds a bit 
in the surface. Rickelton chips it back, Unadkat sticks his left hand out and he sticks. 
His momentum was taking him to his right, which is why it is an excellent take 
Ryan Rickelton c & b Unadkat 11 (8b 2x4 0x6 8m) SR: 137.5 
See all photos 
Will Jacks in at No. 3",1.4,W,0.0,"Unadkat to Rickelton, OUT  .What a catch! Early wicket for SRH. Unadkat lands it on a length around off, it holds a bit  .in the surface. Rickelton chips it back, Unadkat sticks his left hand out and he sticks.  .His momentum was taking him to his right, which is why it is an excellent take  .Ryan Rickelton c & b Unadkat 11 (8b 2x4 0x6 8m) SR: 137.5",Unadkat,Rickelton,0.0,0,0,1,1,0.0,1,c & b Unadkat,0
"1.5 
• 
Unadkat to Jacks, no run 
Slanting away on a length, steered to backward point",1.5,0,0.0,"Unadkat to Jacks, no run  .Slanting away on a length, steered to backward point",Unadkat,Jacks,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Unadkat to Jacks, no run 
Around the wicket on a length on off, defended back down the track 
end of over 25 runs • 1 wicket 
MI: 13/1CRR: 6.50 • RRR: 7.27 • Need 131 runs from 108b 
Will Jacks0 (2b) 
Rohit Sharma2 (2b) 
Jaydev Unadkat 1-0-5-1 
Pat Cummins 1-0-8-0",1.6,0,0.0,"Unadkat to Jacks, no run  .Around the wicket on a length on off, defended back down the track",Unadkat,Jacks,0.0,0,0,1,1,0.0,0,,0
