raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Head, no run 
Outswing found and it's left alone. Might be the first of the day. Good ball though, three-
quarter length just outside off",0.1,0,0.0,"Arshdeep to Head, no run  .Outswing found and it's left alone. Might be the first of the day. Good ball though, three- .quarter length just outside off",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Arshdeep to Head, FOUR runs 
Inswing this time, Head's got nothing on it yet almost gets six over cover. Three-quarter 
length, curving in towards top of off, Head tried to pick it up on the rise, over midwicket, 
got a leading edge that went real high, but it just kept travelling",0.2,4,4.0,"Arshdeep to Head, FOUR runs  .Inswing this time, Head's got nothing on it yet almost gets six over cover. Three-quarter  .length, curving in towards top of off, Head tried to pick it up on the rise, over midwicket,  .got a leading edge that went real high, but it just kept travelling",Arshdeep,Head,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Arshdeep to Head, no run 
Length around fifth, Head leaves it and practises a gentle cut right after",0.3,0,0.0,"Arshdeep to Head, no run  .Length around fifth, Head leaves it and practises a gentle cut right after",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Arshdeep to Head, FOUR runs 
Slapped on one foot over cover. Length ball rose around waist-height, Head leapt and 
cut it 
Rangadham : ""The carnage begins "" 
 
Travis Head vs Arshdeep Singh 
BALLS 
28 
RUNS 
39 
OUTS 
2 
SR 
139.28 
4s/6s 
8/0",0.4,4,4.0,"Arshdeep to Head, FOUR runs  .Slapped on one foot over cover. Length ball rose around waist-height, Head leapt and  .cut it",Arshdeep,Head,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Arshdeep to Head, no run 
Guides the wide-ish length ball to short third 
Long-off back, point in",0.5,0,0.0,"Arshdeep to Head, no run  .Guides the wide-ish length ball to short third  .Long-off back, point in",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Arshdeep to Head, 1 run 
More outswing. Fullish length ball on off, defended nicely towards mid-on for a quick 
single 
end of over 19 runs  
SRH: 9/0CRR: 9.00 • RRR: 12.47 • Need 237 runs from 114b 
Travis Head9 (6b 2x4) 
Abhishek Sharma0 (0b) 
Arshdeep Singh 1-0-9-0 
Jansen on. No slip",0.6,1,1.0,"Arshdeep to Head, 1 run  .More outswing. Fullish length ball on off, defended nicely towards mid-on for a quick  .single",Arshdeep,Head,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Jansen to Head, 1 run 
Cut late, finds deep-backward point. Length ball around sixth, it looked to have moved 
away",1.1,1,1.0,"Jansen to Head, 1 run  .Cut late, finds deep-backward point. Length ball around sixth, it looked to have moved  .away",Jansen,Head,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Jansen to Abhishek, FOUR runs 
Flayed and the edge goes over short third. Abhishek looked to be going over point. Was 
a 138ks length ball on fifth",1.2,4,4.0,"Jansen to Abhishek, FOUR runs  .Flayed and the edge goes over short third. Abhishek looked to be going over point. Was  .a 138ks length ball on fifth",Jansen,Abhishek,4.0,1,0,1,1,4.0,0,,1
"1.3 
2 
Jansen to Abhishek, 2 runs 
Stoinis at catching cover leaps up but can't grab it, tried to take a right-hander while 
mid-air, just got fingertips on it. Was a length ball that Abhishek had slapped",1.3,2,2.0,"Jansen to Abhishek, 2 runs  .Stoinis at catching cover leaps up but can't grab it, tried to take a right-hander while  .mid-air, just got fingertips on it. Was a length ball that Abhishek had slapped",Jansen,Abhishek,2.0,0,0,1,1,2.0,0,,1
"1.4 
4 
Jansen to Abhishek, FOUR runs 
Clear the front leg and blap it across the line, shows how much trust the batters have in 
the pitch. Three-quarter-length ball at the stumps and Abhishek showed it no mercy",1.4,4,4.0,"Jansen to Abhishek, FOUR runs  .Clear the front leg and blap it across the line, shows how much trust the batters have in  .the pitch. Three-quarter-length ball at the stumps and Abhishek showed it no mercy",Jansen,Abhishek,4.0,1,0,1,1,4.0,0,,1
"1.5 
4 
Jansen to Abhishek, FOUR runs 
Deep-backward square leg in place, he races to the right but can't stop it. The crowd is 
ecstatic! Short ball was at the body, around chest-height, Abhishek was cramped a bit 
but went through with the shot",1.5,4,4.0,"Jansen to Abhishek, FOUR runs  .Deep-backward square leg in place, he races to the right but can't stop it. The crowd is  .ecstatic! Short ball was at the body, around chest-height, Abhishek was cramped a bit  .but went through with the shot",Jansen,Abhishek,4.0,1,0,1,1,4.0,0,,1
"1.6 
4 
Jansen to Abhishek, FOUR runs 
Backward point was the only fielder out on the off side and Abhishek flays it over cover. 
Was a fullish ball on leg stump, the batter made a lot of room while dancing down to 
gain access 
end of over 219 runs  
SRH: 28/0CRR: 14.00 • RRR: 12.11 • Need 218 runs from 108b 
Abhishek Sharma18 (5b 4x4) 
Travis Head10 (7b 2x4) 
Marco Jansen 1-0-19-0 
Arshdeep Singh 1-0-9-0",1.6,4,4.0,"Jansen to Abhishek, FOUR runs  .Backward point was the only fielder out on the off side and Abhishek flays it over cover.  .Was a fullish ball on leg stump, the batter made a lot of room while dancing down to  .gain access",Jansen,Abhishek,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Arshdeep to Head, no run 
Toes a drive, ball doesn't carry to mid-on. Run-out chance... but there's no direct hit. 
All happening. Was a full ball on fourth that Head tried to drive over the infield, Maxwell 
tried to get it on the half-volley, got hit on the thigh and he turned around as the ball 
ricocheted in front. He then took a shy at the non-striker's, where Abhishek had given up, 
and missed 
 
Arshdeep Singh vs SRH in T20s 
INNS 
11 
WKTS 
14 
ECON 
7.60 
AVE 
21.64",2.1,0,0.0,"Arshdeep to Head, no run  .Toes a drive, ball doesn't carry to mid-on. Run-out chance... but there's no direct hit.  .All happening. Was a full ball on fourth that Head tried to drive over the infield, Maxwell  .tried to get it on the half-volley, got hit on the thigh and he turned around as the ball  .ricocheted in front. He then took a shy at the non-striker's, where Abhishek had given up,  .and missed  .  .Arshdeep Singh vs SRH in T20s  .INNS  .11  .WKTS  .14  .ECON  .7.60  .AVE  .21.64",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Arshdeep to Head, no run 
Beaten on the upper cut. Shortish ball just outside off, Head tried to go over the keeper",2.2,0,0.0,"Arshdeep to Head, no run  .Beaten on the upper cut. Shortish ball just outside off, Head tried to go over the keeper",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Arshdeep to Head, no run 
Bumper around the shoulder. Wide not given. 135ks, let go. One for the over called, 
crowd doesn't like it",2.3,0,0.0,"Arshdeep to Head, no run  .Bumper around the shoulder. Wide not given. 135ks, let go. One for the over called,  .crowd doesn't like it",Arshdeep,Head,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
Arshdeep to Head, FOUR runs 
Off side's stacked behind square but Head cuts it in the gap. Didn't middle it, hit around 
the bottom of the sticker, ball flew at a catching height to point's right",2.4,4,4.0,"Arshdeep to Head, FOUR runs  .Off side's stacked behind square but Head cuts it in the gap. Didn't middle it, hit around  .the bottom of the sticker, ball flew at a catching height to point's right",Arshdeep,Head,4.0,1,0,1,1,4.0,0,,1
"2.5 
4 
Arshdeep to Head, FOUR runs 
One-legged flick through long leg. Helped along with the angle. Was a length ball on top 
of front pad",2.5,4,4.0,"Arshdeep to Head, FOUR runs  .One-legged flick through long leg. Helped along with the angle. Was a length ball on top  .of front pad",Arshdeep,Head,4.0,1,0,1,1,4.0,0,,1
"2.6 
4 
Arshdeep to Head, FOUR runs 
Good lord it's loud as the boundaries continue to pour. Head makes room and gets 
followed by a full ball, he's beside it and is able to drive through the line. Over the bowler 
 
IMPACT SUBPBKS 
Yash Thakur 
P Arya 
end of over 312 runs  
SRH: 40/0CRR: 13.33 • RRR: 12.11 • Need 206 runs from 102b 
Travis Head22 (13b 5x4) 
Abhishek Sharma18 (5b 4x4) 
Arshdeep Singh 2-0-21-0 
Marco Jansen 1-0-19-0 
GPS: ""Bring on Vyshak asap to bowl that wide yorkers "" Yash Thakur is the impact sub 
for PBKS, Arya is out. Square leg and backward point are out 
 
Abhishek Sharma in Powerplay overs (in T20s) 
RUNS 
1468 
OUTS 
46 
4s/6s 
179/72 
SR 
160.96 
AVE 
31.91",2.6,4,4.0,"Arshdeep to Head, FOUR runs  .Good lord it's loud as the boundaries continue to pour. Head makes room and gets  .followed by a full ball, he's beside it and is able to drive through the line. Over the bowler  .  .IMPACT SUBPBKS  .Yash Thakur  .P Arya",Arshdeep,Head,4.0,1,0,1,1,4.0,0,,1
"3.1 
• 
Thakur to Abhishek, no run 
Swing and a miss. Pre-meditated shot. Abhishek danced down and tried to carve it over 
cover, the length ball rose above his bat",3.1,0,0.0,"Thakur to Abhishek, no run  .Swing and a miss. Pre-meditated shot. Abhishek danced down and tried to carve it over  .cover, the length ball rose above his bat",Thakur,Abhishek,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Thakur to Abhishek, FOUR runs 
Abhishek gets away with a top-edged pull by clearing short fine leg. The ball races along 
the turf for four more. Was a good bouncer, around head height",3.2,4,4.0,"Thakur to Abhishek, FOUR runs  .Abhishek gets away with a top-edged pull by clearing short fine leg. The ball races along  .the turf for four more. Was a good bouncer, around head height",Thakur,Abhishek,4.0,1,0,1,1,4.0,0,,1
"3.3 
6 
Thakur to Abhishek, SIX runs 
Slugged high, sails over midwicket and SRH's fifty is up in 21 balls. Volume's at its 
highest from the crowd too. Looked like a wobble ball, on a length around top of off 
 
Abhishek Sharma vs Yash Thakur 
BALLS 
17 
RUNS 
53 
OUTS 
0 
SR 
311.76 
4s/6s 
7/4",3.3,6,6.0,"Thakur to Abhishek, SIX runs  .Slugged high, sails over midwicket and SRH's fifty is up in 21 balls. Volume's at its  .highest from the crowd too. Looked like a wobble ball, on a length around top of off  .  .Abhishek Sharma vs Yash Thakur  .BALLS  .17  .RUNS  .53  .OUTS  .0  .SR  .311.76  .4s/6s  .7/4",Thakur,Abhishek,6.0,0,1,1,1,6.0,0,,1
"3.4 
1nb 
Thakur to Abhishek, (no ball) 
Fun's over for Abhishek as it's taken at deep-backward point. Oh no, it continues 
actually as the klaxon goes off. Crowd's alive again after going quiet. A scamble-seam 
length ball on off was cut straight to Shashank, who took the catch. Thakur was 
delighted initially but had to hide his face and walk back in disappointment",3.4,1nb,1.0,"Thakur to Abhishek, (no ball)  .Fun's over for Abhishek as it's taken at deep-backward point. Oh no, it continues  .actually as the klaxon goes off. Crowd's alive again after going quiet. A scamble-seam  .length ball on off was cut straight to Shashank, who took the catch. Thakur was  .delighted initially but had to hide his face and walk back in disappointment",Thakur,Abhishek,0.0,0,0,1,0,1.0,0,,1
"3.4 
6 
Thakur to Abhishek, SIX runs 
Free hit's monstered! Gayle-esque flick over square leg from Abhishek. Cleared the front 
foot, whacked it across the line",3.4,6,6.0,"Thakur to Abhishek, SIX runs  .Free hit's monstered! Gayle-esque flick over square leg from Abhishek. Cleared the front  .foot, whacked it across the line",Thakur,Abhishek,6.0,0,1,1,1,6.0,0,,1
"3.5 
1w 
Thakur to Abhishek, 1 wide 
Wide not given and Abhishek reviews straightaway. Looked risky as he went back and a 
touch across. The slower one is fullish and went past the regular tramline. But the 
imaginary line moved a touch as Abhishek had moved to fourth. But no part of the ball 
is inside the line, so it's given wide",3.5,1w,1.0,"Thakur to Abhishek, 1 wide  .Wide not given and Abhishek reviews straightaway. Looked risky as he went back and a  .touch across. The slower one is fullish and went past the regular tramline. But the  .imaginary line moved a touch as Abhishek had moved to fourth. But no part of the ball  .is inside the line, so it's given wide",Thakur,Abhishek,0.0,0,0,0,0,1.0,0,,1
"3.5 
1 
Thakur to Abhishek, 1 run 
Abhishek's luck index will be through the roof tonight, he's skied a cut but it falls in the 
middle of the outfield despite three fielders - backward point, cover, deep point - running 
towards the ball.",3.5,1,1.0,"Thakur to Abhishek, 1 run  .Abhishek's luck index will be through the roof tonight, he's skied a cut but it falls in the  .middle of the outfield despite three fielders - backward point, cover, deep point - running  .towards the ball.",Thakur,Abhishek,1.0,0,0,1,1,1.0,0,,1
"3.6 
1w 
Thakur to Head, 1 wide 
Wide yorker. The angle's sharp on it and it lands well outside the tramline. Easy leave",3.6,1w,1.0,"Thakur to Head, 1 wide  .Wide yorker. The angle's sharp on it and it lands well outside the tramline. Easy leave",Thakur,Head,0.0,0,0,0,0,1.0,0,,1
"3.6 
• 
Thakur to Head, no run 
Shortish outside off, pulled off the bottom-half of the bat to mid-on. 138ks 
mohan: """,3.6,0,0.0,"Thakur to Head, no run  .Shortish outside off, pulled off the bottom-half of the bat to mid-on. 138ks",Thakur,Head,0.0,0,0,1,1,0.0,0,,0
"4.1 
1 
Maxwell to Abhishek, 1 run 
Full and flat on off, 92ks, driven to long-off",4.1,1,1.0,"Maxwell to Abhishek, 1 run  .Full and flat on off, 92ks, driven to long-off",Maxwell,Abhishek,1.0,0,0,1,1,1.0,0,,1
"4.2 
1w 
Maxwell to Head, 1 wide 
Gets away with a wide down leg. That length ball was a touch loopier and Head tried to 
glance it 
Mustafa Moudi : ""I slept exactly when Yash Thakur began the 4th over. When I woke up 
after completing my 8 hours long sleep, Yash Thakur was still delivered a Wide in what 
could have been the final delivery of the over. Thats how long that over was !!""",4.2,1w,1.0,"Maxwell to Head, 1 wide  .Gets away with a wide down leg. That length ball was a touch loopier and Head tried to  .glance it",Maxwell,Head,0.0,0,0,0,0,1.0,0,,1
"4.2 
• 
Maxwell to Head, no run 
Another wide down leg, but Maxwell is sure that's out caught behind. Shreyas asks the 
keeper, don't think he's fully sure but will take the review.. 93ks length ball kept angling 
down and passed the bat as Head's upper-body slanted to the right with him trying to 
flick the ball. The noise came from ball brushing the trouser",4.2,0,0.0,"Maxwell to Head, no run  .Another wide down leg, but Maxwell is sure that's out caught behind. Shreyas asks the  .keeper, don't think he's fully sure but will take the review.. 93ks length ball kept angling  .down and passed the bat as Head's upper-body slanted to the right with him trying to  .flick the ball. The noise came from ball brushing the trouser",Maxwell,Head,0.0,0,0,1,1,0.0,0,,0
"4.3 
1 
Maxwell to Head, 1 run 
Full ball is worked to long-on 
Atul: ""What does ob stand for - offspinner or orthodox bowler"" Offspinner/offbreak 
 
Abhishek Sharma vs offspin in T20s 
RUNS 
375 
OUTS 
10 
4s/6s 
30/24 
SR 
182.03 
AVE 
41.66",4.3,1,1.0,"Maxwell to Head, 1 run  .Full ball is worked to long-on",Maxwell,Head,1.0,0,0,1,1,1.0,0,,1
"4.4 
6 
Maxwell to Abhishek, SIX runs 
Dances down and goes inside out over sweeper cover. Great skill to open the face of 
the bat while connecting with a length ball that he turned into a full one",4.4,6,6.0,"Maxwell to Abhishek, SIX runs  .Dances down and goes inside out over sweeper cover. Great skill to open the face of  .the bat while connecting with a length ball that he turned into a full one",Maxwell,Abhishek,6.0,0,1,1,1,6.0,0,,1
"4.5 
4 
Maxwell to Abhishek, FOUR runs 
Makes room again and whacks it again. The back-lift is sky high and he powers another 
drive through cover. He was right to the pitch too 
Brad: ""Imagine being a bowler hoping to find confidence in this game. """,4.5,4,4.0,"Maxwell to Abhishek, FOUR runs  .Makes room again and whacks it again. The back-lift is sky high and he powers another  .drive through cover. He was right to the pitch too",Maxwell,Abhishek,4.0,1,0,1,1,4.0,0,,1
"4.6 
1w 
Maxwell to Abhishek, 1 wide 
Down leg, beaten on the pull. The keeper's hit on the glove and the ball falls in front",4.6,1w,1.0,"Maxwell to Abhishek, 1 wide  .Down leg, beaten on the pull. The keeper's hit on the glove and the ball falls in front",Maxwell,Abhishek,0.0,0,0,0,0,1.0,0,,1
"4.6 
2 
Maxwell to Abhishek, 2 runs 
Swipes across the line, not middled, gets a couple to cow corner 
Vicky: ""Shami's final over might make the difference in SRH losing, but I'd be happy to 
be proven wrong"" 
end of over 516 runs  
SRH: 76/0CRR: 15.20 • RRR: 11.33 • Need 170 runs from 90b 
Abhishek Sharma48 (15b 6x4 3x6) 
Travis Head23 (16b 5x4) 
Glenn Maxwell 1-0-16-0 
Yash Thakur 1-0-20-0 
Ferguson to close out the powerplay. Backward point and long-off out",4.6,2,2.0,"Maxwell to Abhishek, 2 runs  .Swipes across the line, not middled, gets a couple to cow corner",Maxwell,Abhishek,2.0,0,0,1,1,2.0,0,,1
"5.1 
1 
Ferguson to Head, 1 run 
And so, Head tries to drag it through the leg side, finds mid-on with the pull. Looked like 
the slower one. Into the pitch, the angle was sharp, finished well outside off",5.1,1,1.0,"Ferguson to Head, 1 run  .And so, Head tries to drag it through the leg side, finds mid-on with the pull. Looked like  .the slower one. Into the pitch, the angle was sharp, finished well outside off",Ferguson,Head,1.0,0,0,1,1,1.0,0,,1
