raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shami to Jaiswal, no run 
on a length on sixth stump, and the ball seams away, even as Jaiswal looks to loft but is 
beaten",0.1,0,0.0,"Shami to Jaiswal, no run  .on a length on sixth stump, and the ball seams away, even as Jaiswal looks to loft but is  .beaten",Shami,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.2 
1w 
Shami to Jaiswal, 1 wide 
Shami goes wide of the crease, and pitches it on a good length and wide of off. Jaiswal 
looks to cut at it far away from his body, and misses. It is called wide, as the ball shapes 
away after pitching",0.2,1w,1.0,"Shami to Jaiswal, 1 wide  .Shami goes wide of the crease, and pitches it on a good length and wide of off. Jaiswal  .looks to cut at it far away from his body, and misses. It is called wide, as the ball shapes  .away after pitching",Shami,Jaiswal,0.0,0,0,0,0,1.0,0,,1
"0.2 
1 
Shami to Jaiswal, 1 run 
shorter side of a length around sixth stump, and slapped towards the man at deep-
backward point 
Shami over the stumps to Samson. Remember, he's still recovering from an injured 
finger.",0.2,1,1.0,"Shami to Jaiswal, 1 run  .shorter side of a length around sixth stump, and slapped towards the man at deep- .backward point  .Shami over the stumps to Samson. Remember, he's still recovering from an injured  .finger.",Shami,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Shami to Samson, no run 
Short of a length around fifth stump, before it seams away. Samson slashes at it, and 
plays on the bounce to the man at cover point",0.3,0,0.0,"Shami to Samson, no run  .Short of a length around fifth stump, before it seams away. Samson slashes at it, and  .plays on the bounce to the man at cover point",Shami,Samson,0.0,0,0,1,1,0.0,0,,0
"0.4 
6 
Shami to Samson, SIX runs 
into the first tier! Samson hooks hard and deep over fine leg! Short in length from 
Shami, who bowls around off, before the ball seams back in. Samson reads the length 
and the movement, and clubs it away",0.4,6,6.0,"Shami to Samson, SIX runs  .into the first tier! Samson hooks hard and deep over fine leg! Short in length from  .Shami, who bowls around off, before the ball seams back in. Samson reads the length  .and the movement, and clubs it away",Shami,Samson,6.0,0,1,1,1,6.0,0,,1
"0.5 
4 
Shami to Samson, FOUR runs 
between point and cover point! Another ball on a short of a length, and this pitches wide 
of off, before shaping away. Samson reaches out, and cuts it hard for four",0.5,4,4.0,"Shami to Samson, FOUR runs  .between point and cover point! Another ball on a short of a length, and this pitches wide  .of off, before shaping away. Samson reaches out, and cuts it hard for four",Shami,Samson,4.0,1,0,1,1,4.0,0,,1
"0.6 
4 
Shami to Samson, FOUR runs 
slapped to deep point! On the shorter side of a length from Shami, who bowls this 
around middle and off. The ball moves away again after pitching, and despite there not 
being too much of a room, Samson manages to chop it away for four more 
end of over 116 runs  
RR: 16/0CRR: 16.00 • RRR: 14.26 • Need 271 runs from 114b 
Sanju Samson14 (4b 2x4 1x6) 
Yashasvi Jaiswal1 (2b) 
Mohammed Shami 1-0-16-0 
Simarjeet from the other end 
A slip for Jaiswal",0.6,4,4.0,"Shami to Samson, FOUR runs  .slapped to deep point! On the shorter side of a length from Shami, who bowls this  .around middle and off. The ball moves away again after pitching, and despite there not  .being too much of a room, Samson manages to chop it away for four more",Shami,Samson,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Simarjeet Singh to Jaiswal, no run 
on a short of a length on leg, as Jaiswal went pulling but missed. The ball shaped away 
slightly, and went over the stumps",1.1,0,0.0,"Simarjeet Singh to Jaiswal, no run  .on a short of a length on leg, as Jaiswal went pulling but missed. The ball shaped away  .slightly, and went over the stumps",Simarjeet Singh,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.2 
4b 
Simarjeet Singh to Jaiswal, 4 byes 
extra bounce, and four byes for RR! Simarjeet bowled this short in length, and pitched 
this on middle and off or thereabouts. Jaiswal went hooking but was beaten by the 
bounce, as was Klaasen, the wicketkeeper",1.2,4b,4.0,"Simarjeet Singh to Jaiswal, 4 byes  .extra bounce, and four byes for RR! Simarjeet bowled this short in length, and pitched  .this on middle and off or thereabouts. Jaiswal went hooking but was beaten by the  .bounce, as was Klaasen, the wicketkeeper",Simarjeet Singh,Jaiswal,0.0,1,0,1,1,0.0,0,,1
"1.3 
W 
Simarjeet Singh to Jaiswal, OUT 
superb catch by Manohar! The orange army at the ground yells its throat out! Manohar, 
at point, leapt up full stretch, and managed to grab the ball in his left hand. He couldn't 
have jumped any higher, and Simarjeet couldn't have been happier. He bowled short and 
wide of off, as Jaiswal went to cut and even got good height, only for Manohar to 
interfere 
Yashasvi Jaiswal c Manohar b Simarjeet Singh 1 (5b 0x4 0x6 6m) SR: 20 
Parag at No. 3",1.3,W,0.0,"Simarjeet Singh to Jaiswal, OUT  .superb catch by Manohar! The orange army at the ground yells its throat out! Manohar,  .at point, leapt up full stretch, and managed to grab the ball in his left hand. He couldn't  .have jumped any higher, and Simarjeet couldn't have been happier. He bowled short and  .wide of off, as Jaiswal went to cut and even got good height, only for Manohar to  .interfere  .Yashasvi Jaiswal c Manohar b Simarjeet Singh 1 (5b 0x4 0x6 6m) SR: 20",Simarjeet Singh,Jaiswal,0.0,0,0,1,1,0.0,1,c Manohar b Simarjeet Singh,0
