raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Sumerauer to Muhammad Waseem, no run",0.1,0,0.0,"Sumerauer to Muhammad Waseem, no run",Sumerauer,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Sumerauer to Muhammad Waseem, no run",0.2,0,0.0,"Sumerauer to Muhammad Waseem, no run",Sumerauer,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Sumerauer to Muhammad Waseem, no run",0.3,0,0.0,"Sumerauer to Muhammad Waseem, no run",Sumerauer,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Sumerauer to Muhammad Waseem, 1 run",0.4,1,1.0,"Sumerauer to Muhammad Waseem, 1 run",Sumerauer,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Sumerauer to Sharma, no run",0.5,0,0.0,"Sumerauer to Sharma, no run",Sumerauer,Sharma,0.0,0,0,1,1,0.0,0,,0
"0.6 
W 
Sumerauer to Sharma, OUT 
Aryansh Sharma c †Dunford b Sumerauer 0 (2b 0x4 0x6) SR: 0 
end of over 11 run • 1 wicket 
UAE: 1/1CRR: 1.00  
Muhammad Waseem1 (4b) 
Julius Sumerauer 1-0-1-1",0.6,W,0.0,"Sumerauer to Sharma, OUT  .Aryansh Sharma c †Dunford b Sumerauer 0 (2b 0x4 0x6) SR: 0",Sumerauer,Sharma,0.0,0,0,1,1,0.0,1,c †Dunford b Sumerauer,0
"1.1 
1 
Birrell to Muhammad Waseem, 1 run",1.1,1,1.0,"Birrell to Muhammad Waseem, 1 run",Birrell,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Birrell to Aravind, no run",1.2,0,0.0,"Birrell to Aravind, no run",Birrell,Aravind,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Birrell to Aravind, no run",1.3,0,0.0,"Birrell to Aravind, no run",Birrell,Aravind,0.0,0,0,1,1,0.0,0,,0
"1.4 
2 
Birrell to Aravind, 2 runs",1.4,2,2.0,"Birrell to Aravind, 2 runs",Birrell,Aravind,2.0,0,0,1,1,2.0,0,,1
"1.5 
1w 
Birrell to Aravind, 1 wide",1.5,1w,1.0,"Birrell to Aravind, 1 wide",Birrell,Aravind,0.0,0,0,0,0,1.0,0,,1
"1.5 
• 
Birrell to Aravind, no run",1.5,0,0.0,"Birrell to Aravind, no run",Birrell,Aravind,0.0,0,0,1,1,0.0,0,,0
