raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Trumpelmann to Aryan Lakra, no run",0.1,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Trumpelmann to Aryan Lakra, no run",0.2,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Trumpelmann to Aryan Lakra, no run",0.3,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Trumpelmann to Aryan Lakra, no run",0.4,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Trumpelmann to Aryan Lakra, no run",0.5,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.6 
1nb 
Trumpelmann to Aryan Lakra, (no ball)",0.6,1nb,1.0,"Trumpelmann to Aryan Lakra, (no ball)",Trumpelmann,Aryan Lakra,0.0,0,0,1,0,1.0,0,,1
"0.6 
• 
Trumpelmann to Aryan Lakra, no run 
end of over 11 run  
UAE: 1/0CRR: 1.00  
Aryan Lakra0 (7b) 
Muhammad Waseem0 (0b) 
Ruben Trumpelmann 1-0-1-0",0.6,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shikongo to Muhammad Waseem, no run",1.1,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Shikongo to Muhammad Waseem, 1 wide",1.2,1w,1.0,"Shikongo to Muhammad Waseem, 1 wide",Shikongo,Muhammad Waseem,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Shikongo to Muhammad Waseem, no run",1.2,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Shikongo to Muhammad Waseem, no run",1.3,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Shikongo to Muhammad Waseem, no run",1.4,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Shikongo to Muhammad Waseem, no run",1.5,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Shikongo to Muhammad Waseem, no run 
end of over 21 run  
UAE: 2/0CRR: 1.00  
Muhammad Waseem0 (6b) 
Aryan Lakra0 (7b) 
Ben Shikongo 1-0-1-0 
Ruben Trumpelmann 1-0-1-0",1.6,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Trumpelmann to Aryan Lakra, 1 run",2.1,1,1.0,"Trumpelmann to Aryan Lakra, 1 run",Trumpelmann,Aryan Lakra,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Trumpelmann to Muhammad Waseem, no run",2.2,0,0.0,"Trumpelmann to Muhammad Waseem, no run",Trumpelmann,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Trumpelmann to Muhammad Waseem, no run",2.3,0,0.0,"Trumpelmann to Muhammad Waseem, no run",Trumpelmann,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Trumpelmann to Muhammad Waseem, no run",2.4,0,0.0,"Trumpelmann to Muhammad Waseem, no run",Trumpelmann,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Trumpelmann to Muhammad Waseem, no run",2.5,0,0.0,"Trumpelmann to Muhammad Waseem, no run",Trumpelmann,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Trumpelmann to Muhammad Waseem, 1 run 
end of over 32 runs  
UAE: 4/0CRR: 1.33  
Muhammad Waseem1 (11b) 
Aryan Lakra1 (8b) 
Ruben Trumpelmann 2-0-3-0 
Ben Shikongo 1-0-1-0",2.6,1,1.0,"Trumpelmann to Muhammad Waseem, 1 run",Trumpelmann,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"3.1 
6 
Shikongo to Muhammad Waseem, SIX runs",3.1,6,6.0,"Shikongo to Muhammad Waseem, SIX runs",Shikongo,Muhammad Waseem,6.0,0,1,1,1,6.0,0,,1
"3.2 
• 
Shikongo to Muhammad Waseem, no run",3.2,0,0.0,"Shikongo to Muhammad Waseem, no run",Shikongo,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Shikongo to Muhammad Waseem, 1 run",3.3,1,1.0,"Shikongo to Muhammad Waseem, 1 run",Shikongo,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"3.4 
2 
Shikongo to Aryan Lakra, 2 runs",3.4,2,2.0,"Shikongo to Aryan Lakra, 2 runs",Shikongo,Aryan Lakra,2.0,0,0,1,1,2.0,0,,1
"3.5 
1nb 
Shikongo to Aryan Lakra, (no ball)",3.5,1nb,1.0,"Shikongo to Aryan Lakra, (no ball)",Shikongo,Aryan Lakra,0.0,0,0,1,0,1.0,0,,1
"3.5 
4 
Shikongo to Aryan Lakra, FOUR runs",3.5,4,4.0,"Shikongo to Aryan Lakra, FOUR runs",Shikongo,Aryan Lakra,4.0,1,0,1,1,4.0,0,,1
"3.6 
1 
Shikongo to Aryan Lakra, 1 run 
end of over 415 runs  
UAE: 19/0CRR: 4.75  
Aryan Lakra8 (12b 1x4) 
Muhammad Waseem8 (14b 1x6) 
Ben Shikongo 2-0-16-0 
Ruben Trumpelmann 2-0-3-0",3.6,1,1.0,"Shikongo to Aryan Lakra, 1 run",Shikongo,Aryan Lakra,1.0,0,0,1,1,1.0,0,,1
"4.1 
• 
Trumpelmann to Aryan Lakra, no run",4.1,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Trumpelmann to Aryan Lakra, no run",4.2,0,0.0,"Trumpelmann to Aryan Lakra, no run",Trumpelmann,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
