raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Karan KC to Asif Khan, no run",0.1,0,0.0,"Karan KC to Asif Khan, no run",Karan KC,Asif Khan,0.0,0,0,1,1,0.0,0,,0
"0.2 
W 
Karan KC to Asif Khan, OUT 
Asif Khan c †Saud b Karan KC 0 (2b 0x4 0x6 1m) SR: 0",0.2,W,0.0,"Karan KC to Asif Khan, OUT  .Asif Khan c †Saud b Karan KC 0 (2b 0x4 0x6 1m) SR: 0",Karan KC,Asif Khan,0.0,0,0,1,1,0.0,1,c †Saud b Karan KC,0
"0.3 
• 
Karan KC to Aravind, no run",0.3,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
"0.4 
2 
Karan KC to Aravind, 2 runs",0.4,2,2.0,"Karan KC to Aravind, 2 runs",Karan KC,Aravind,2.0,0,0,1,1,2.0,0,,1
"0.5 
• 
Karan KC to Aravind, no run",0.5,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Karan KC to Aravind, no run 
end of over 12 runs • 1 wicket 
UAE: 2/1CRR: 2.00  
Vriitya Aravind2 (4b) 
Aryansh Sharma0 (0b) 
Karan KC 1-0-2-1",0.6,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Pratis GC to Sharma, no run",1.1,0,0.0,"Pratis GC to Sharma, no run",Pratis GC,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Pratis GC to Sharma, no run",1.2,0,0.0,"Pratis GC to Sharma, no run",Pratis GC,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Pratis GC to Sharma, no run",1.3,0,0.0,"Pratis GC to Sharma, no run",Pratis GC,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Pratis GC to Sharma, FOUR runs",1.4,4,4.0,"Pratis GC to Sharma, FOUR runs",Pratis GC,Sharma,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Pratis GC to Sharma, no run",1.5,0,0.0,"Pratis GC to Sharma, no run",Pratis GC,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Pratis GC to Sharma, no run 
end of over 24 runs  
UAE: 6/1CRR: 3.00  
Aryansh Sharma4 (6b 1x4) 
Vriitya Aravind2 (4b) 
Pratis GC 1-0-4-0 
Karan KC 1-0-2-1",1.6,0,0.0,"Pratis GC to Sharma, no run",Pratis GC,Sharma,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Karan KC to Aravind, no run",2.1,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Karan KC to Aravind, 1 run",2.2,1,1.0,"Karan KC to Aravind, 1 run",Karan KC,Aravind,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Karan KC to Sharma, 1 run",2.3,1,1.0,"Karan KC to Sharma, 1 run",Karan KC,Sharma,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Karan KC to Aravind, no run",2.4,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Karan KC to Aravind, no run",2.5,0,0.0,"Karan KC to Aravind, no run",Karan KC,Aravind,0.0,0,0,1,1,0.0,0,,0
