raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Kamea to Muhammad Waseem, FOUR runs",0.1,4,4.0,"Kamea to Muhammad Waseem, FOUR runs",Kamea,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"0.2 
1 
Kamea to Muhammad Waseem, 1 run",0.2,1,1.0,"Kamea to Muhammad Waseem, 1 run",Kamea,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Kamea to Aryan Lakra, no run",0.3,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Kamea to Aryan Lakra, no run",0.4,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Kamea to Aryan Lakra, no run",0.5,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Kamea to Aryan Lakra, no run 
end of over 15 runs  
UAE: 5/0CRR: 5.00  
Aryan Lakra0 (4b) 
Muhammad Waseem5 (2b 1x4) 
Semo Kamea 1-0-5-0",0.6,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Soper to Muhammad Waseem, no run",1.1,0,0.0,"Soper to Muhammad Waseem, no run",Soper,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Soper to Muhammad Waseem, 1 run",1.2,1,1.0,"Soper to Muhammad Waseem, 1 run",Soper,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Soper to Aryan Lakra, no run",1.3,0,0.0,"Soper to Aryan Lakra, no run",Soper,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Soper to Aryan Lakra, no run",1.4,0,0.0,"Soper to Aryan Lakra, no run",Soper,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Soper to Aryan Lakra, no run",1.5,0,0.0,"Soper to Aryan Lakra, no run",Soper,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"1.6 
3 
Soper to Aryan Lakra, 3 runs 
end of over 24 runs  
UAE: 9/0CRR: 4.50  
Aryan Lakra3 (8b) 
Muhammad Waseem6 (4b 1x4) 
Chad Soper 1-0-4-0 
Semo Kamea 1-0-5-0",1.6,3,3.0,"Soper to Aryan Lakra, 3 runs",Soper,Aryan Lakra,3.0,0,0,1,1,3.0,0,,1
"2.1 
1w 
Kamea to Aryan Lakra, 1 wide",2.1,1w,1.0,"Kamea to Aryan Lakra, 1 wide",Kamea,Aryan Lakra,0.0,0,0,0,0,1.0,0,,1
"2.1 
• 
Kamea to Aryan Lakra, no run",2.1,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"2.2 
2 
Kamea to Aryan Lakra, 2 runs",2.2,2,2.0,"Kamea to Aryan Lakra, 2 runs",Kamea,Aryan Lakra,2.0,0,0,1,1,2.0,0,,1
"2.3 
• 
Kamea to Aryan Lakra, no run",2.3,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Kamea to Aryan Lakra, no run",2.4,0,0.0,"Kamea to Aryan Lakra, no run",Kamea,Aryan Lakra,0.0,0,0,1,1,0.0,0,,0
