raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Junaid Siddique to Shayan, no run",0.1,0,0.0,"Junaid Siddique to Shayan, no run",Junaid Siddique,Shayan,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Junaid Siddique to Shayan, 1 run",0.2,1,1.0,"Junaid Siddique to Shayan, 1 run",Junaid Siddique,Shayan,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Junaid Siddique to Modani, 1 run",0.3,1,1.0,"Junaid Siddique to Modani, 1 run",Junaid Siddique,Modani,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Junaid Siddique to Shayan, no run",0.4,0,0.0,"Junaid Siddique to Shayan, no run",Junaid Siddique,Shayan,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Shayan, no run",0.5,0,0.0,"Junaid Siddique to Shayan, no run",Junaid Siddique,Shayan,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Junaid Siddique to Shayan, no run 
end of over 12 runs  
USA: 2/0CRR: 2.00 • RRR: 5.67 • Need 278 runs from 49 overs 
Shayan Jahangir1 (5b) 
Sushant Modani1 (1b) 
Junaid Siddique 1-0-2-0",0.6,0,0.0,"Junaid Siddique to Shayan, no run",Junaid Siddique,Shayan,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Matiullah Khan to Modani, 1 run",1.1,1,1.0,"Matiullah Khan to Modani, 1 run",Matiullah Khan,Modani,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Matiullah Khan to Shayan, 1 run",1.2,1,1.0,"Matiullah Khan to Shayan, 1 run",Matiullah Khan,Shayan,1.0,0,0,1,1,1.0,0,,1
"1.3 
1lb 
Matiullah Khan to Modani, 1 leg bye",1.3,1lb,1.0,"Matiullah Khan to Modani, 1 leg bye",Matiullah Khan,Modani,0.0,0,0,1,1,0.0,0,,0
"1.4 
2 
Matiullah Khan to Shayan, 2 runs",1.4,2,2.0,"Matiullah Khan to Shayan, 2 runs",Matiullah Khan,Shayan,2.0,0,0,1,1,2.0,0,,1
"1.5 
• 
Matiullah Khan to Shayan, no run",1.5,0,0.0,"Matiullah Khan to Shayan, no run",Matiullah Khan,Shayan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Matiullah Khan to Shayan, no run 
end of over 25 runs  
USA: 7/0CRR: 3.50 • RRR: 5.68 • Need 273 runs from 48 overs 
Shayan Jahangir4 (9b) 
Sushant Modani2 (3b) 
Matiullah Khan 1-0-4-0 
Junaid Siddique 1-0-2-0",1.6,0,0.0,"Matiullah Khan to Shayan, no run",Matiullah Khan,Shayan,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Junaid Siddique to Modani, no run",2.1,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Junaid Siddique to Modani, no run",2.2,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Junaid Siddique to Modani, no run",2.3,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
