raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Junaid Siddique to Modani, no run",0.1,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Junaid Siddique to Modani, no run",0.2,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"0.3 
2 
Junaid Siddique to Modani, 2 runs",0.3,2,2.0,"Junaid Siddique to Modani, 2 runs",Junaid Siddique,Modani,2.0,0,0,1,1,2.0,0,,1
"0.4 
• 
Junaid Siddique to Modani, no run",0.4,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to Modani, no run",0.5,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Junaid Siddique to Modani, no run 
end of over 12 runs  
USA: 2/0CRR: 2.00 • RRR: 6.26 • Need 307 runs from 49 overs 
Sushant Modani2 (6b) 
Saiteja Mukkamalla0 (0b) 
Junaid Siddique 1-0-2-0",0.6,0,0.0,"Junaid Siddique to Modani, no run",Junaid Siddique,Modani,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
Muhammad Jawadullah to Mukkamalla, 1 wide",1.1,1w,1.0,"Muhammad Jawadullah to Mukkamalla, 1 wide",Muhammad Jawadullah,Mukkamalla,0.0,0,0,0,0,1.0,0,,1
"1.1 
1w 
Muhammad Jawadullah to Mukkamalla, 1 wide",1.1,1w,1.0,"Muhammad Jawadullah to Mukkamalla, 1 wide",Muhammad Jawadullah,Mukkamalla,0.0,0,0,0,0,1.0,0,,1
"1.1 
• 
Muhammad Jawadullah to Mukkamalla, no run",1.1,0,0.0,"Muhammad Jawadullah to Mukkamalla, no run",Muhammad Jawadullah,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Muhammad Jawadullah to Mukkamalla, 2 runs",1.2,2,2.0,"Muhammad Jawadullah to Mukkamalla, 2 runs",Muhammad Jawadullah,Mukkamalla,2.0,0,0,1,1,2.0,0,,1
"1.3 
• 
Muhammad Jawadullah to Mukkamalla, no run",1.3,0,0.0,"Muhammad Jawadullah to Mukkamalla, no run",Muhammad Jawadullah,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Muhammad Jawadullah to Mukkamalla, no run",1.4,0,0.0,"Muhammad Jawadullah to Mukkamalla, no run",Muhammad Jawadullah,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"1.5 
3 
Muhammad Jawadullah to Mukkamalla, 3 runs",1.5,3,3.0,"Muhammad Jawadullah to Mukkamalla, 3 runs",Muhammad Jawadullah,Mukkamalla,3.0,0,0,1,1,3.0,0,,1
"1.6 
1 
Muhammad Jawadullah to Modani, 1 run 
end of over 28 runs  
USA: 10/0CRR: 5.00 • RRR: 6.22 • Need 299 runs from 48 overs 
Sushant Modani3 (7b) 
Saiteja Mukkamalla5 (5b) 
Muhammad Jawadullah 1-0-8-0 
Junaid Siddique 1-0-2-0",1.6,1,1.0,"Muhammad Jawadullah to Modani, 1 run",Muhammad Jawadullah,Modani,1.0,0,0,1,1,1.0,0,,1
"2.1 
1 
Junaid Siddique to Modani, 1 run",2.1,1,1.0,"Junaid Siddique to Modani, 1 run",Junaid Siddique,Modani,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Junaid Siddique to Mukkamalla, no run",2.2,0,0.0,"Junaid Siddique to Mukkamalla, no run",Junaid Siddique,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Junaid Siddique to Mukkamalla, no run",2.3,0,0.0,"Junaid Siddique to Mukkamalla, no run",Junaid Siddique,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Junaid Siddique to Mukkamalla, no run",2.4,0,0.0,"Junaid Siddique to Mukkamalla, no run",Junaid Siddique,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Junaid Siddique to Mukkamalla, no run",2.5,0,0.0,"Junaid Siddique to Mukkamalla, no run",Junaid Siddique,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Junaid Siddique to Mukkamalla, no run 
end of over 31 run  
USA: 11/0CRR: 3.66 • RRR: 6.34 • Need 298 runs from 47 overs 
Saiteja Mukkamalla5 (10b) 
Sushant Modani4 (8b) 
Junaid Siddique 2-0-3-0 
Muhammad Jawadullah 1-0-8-0",2.6,0,0.0,"Junaid Siddique to Mukkamalla, no run",Junaid Siddique,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Muhammad Jawadullah to Modani, no run",3.1,0,0.0,"Muhammad Jawadullah to Modani, no run",Muhammad Jawadullah,Modani,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Muhammad Jawadullah to Modani, no run",3.2,0,0.0,"Muhammad Jawadullah to Modani, no run",Muhammad Jawadullah,Modani,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Muhammad Jawadullah to Modani, no run",3.3,0,0.0,"Muhammad Jawadullah to Modani, no run",Muhammad Jawadullah,Modani,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Muhammad Jawadullah to Modani, no run",3.4,0,0.0,"Muhammad Jawadullah to Modani, no run",Muhammad Jawadullah,Modani,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Muhammad Jawadullah to Modani, no run",3.5,0,0.0,"Muhammad Jawadullah to Modani, no run",Muhammad Jawadullah,Modani,0.0,0,0,1,1,0.0,0,,0
