raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Junaid Siddique to King, no run 
nice and full, angling in and straightening away off the seam a touch, King knocks it 
defensively to cover",0.1,0,0.0,"Junaid Siddique to King, no run  .nice and full, angling in and straightening away off the seam a touch, King knocks it  .defensively to cover",Junaid Siddique,King,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Junaid Siddique to King, no run 
short and ducking into the thigh pad as King falls over the flick",0.2,0,0.0,"Junaid Siddique to King, no run  .short and ducking into the thigh pad as King falls over the flick",Junaid Siddique,King,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Junaid Siddique to King, no run 
banged in short and outside off, the ball isn't coming onto the bat. Chopped into the 
covers",0.3,0,0.0,"Junaid Siddique to King, no run  .banged in short and outside off, the ball isn't coming onto the bat. Chopped into the  .covers",Junaid Siddique,King,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Junaid Siddique to King, no run 
rising short ball outside off, spliced into the covers this time as King sits back",0.4,0,0.0,"Junaid Siddique to King, no run  .rising short ball outside off, spliced into the covers this time as King sits back",Junaid Siddique,King,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Junaid Siddique to King, no run 
full and angling into the pads, chipped in the air but does not carry to midwicket",0.5,0,0.0,"Junaid Siddique to King, no run  .full and angling into the pads, chipped in the air but does not carry to midwicket",Junaid Siddique,King,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Junaid Siddique to King, 1 run 
back of a length and holds its line outside off, steered away between backward point 
and cover point 
end of over 11 run  
WI: 1/0CRR: 1.00 • RRR: 4.12 • Need 202 runs from 49 overs 
Brandon King1 (6b) 
Johnson Charles0 (0b) 
Junaid Siddique 1-0-1-0 
Ali Naseer with the ball now",0.6,1,1.0,"Junaid Siddique to King, 1 run  .back of a length and holds its line outside off, steered away between backward point  .and cover point",Junaid Siddique,King,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Ali Naseer to King, no run 
Fuller around offstump, driven to mid-off fielder",1.1,0,0.0,"Ali Naseer to King, no run  .Fuller around offstump, driven to mid-off fielder",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Ali Naseer to King, no run 
Length ball around off, angling in, goes for a flick and misses. Gets hit on the pads",1.2,0,0.0,"Ali Naseer to King, no run  .Length ball around off, angling in, goes for a flick and misses. Gets hit on the pads",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Ali Naseer to King, no run 
Length ball outside off, keeps low, as King tries to drill it to covers. This Might be a 
tough chase",1.3,0,0.0,"Ali Naseer to King, no run  .Length ball outside off, keeps low, as King tries to drill it to covers. This Might be a  .tough chase",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Ali Naseer to King, FOUR runs 
Full length outside off, comes into the bat nicely as he lofts it towards deep extra cover",1.4,4,4.0,"Ali Naseer to King, FOUR runs  .Full length outside off, comes into the bat nicely as he lofts it towards deep extra cover",Ali Naseer,King,4.0,1,0,1,1,4.0,0,,1
