raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Drakes to Muhammad Waseem, no run 
On a length on off, Waseem defends it",0.1,0,0.0,"Drakes to Muhammad Waseem, no run  .On a length on off, Waseem defends it",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Drakes to Muhammad Waseem, no run 
On a length on leg, angling across, and he nudges it towards midwicket",0.2,0,0.0,"Drakes to Muhammad Waseem, no run  .On a length on leg, angling across, and he nudges it towards midwicket",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Drakes to Muhammad Waseem, no run 
Fuller around off, driven to cover",0.3,0,0.0,"Drakes to Muhammad Waseem, no run  .Fuller around off, driven to cover",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.4 
4lb 
Drakes to Muhammad Waseem, 4 leg byes 
On a length outside leg and Waseem misses his flick but it goes off his hips and runs 
fine down leg for four leg-byes. First runs for UAE",0.4,4lb,4.0,"Drakes to Muhammad Waseem, 4 leg byes  .On a length outside leg and Waseem misses his flick but it goes off his hips and runs  .fine down leg for four leg-byes. First runs for UAE",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Drakes to Muhammad Waseem, no run 
Full around leg and Waseem doesn't connect with his flick. Appeal for lbw turned down. 
That pitched outside leg",0.5,0,0.0,"Drakes to Muhammad Waseem, no run  .Full around leg and Waseem doesn't connect with his flick. Appeal for lbw turned down.  .That pitched outside leg",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Drakes to Muhammad Waseem, no run 
Full on middle and Waseem tucks it to the midwicket fielder 
end of over 1Maiden 
UAE: 4/0CRR: 4.00 • RRR: 6.18 • Need 303 runs from 49 overs 
Muhammad Waseem0 (6b) 
Aryansh Sharma0 (0b) 
Dominic Drakes 1-1-0-0 
Debutant Akeem Jordan from the other end. Over the wicket to Aryansh",0.6,0,0.0,"Drakes to Muhammad Waseem, no run  .Full on middle and Waseem tucks it to the midwicket fielder",Drakes,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Akeem Jordan to Sharma, no run 
Starts off with a back of length delivery outside off. Aryansh has a swipe at it and finds 
thin air",1.1,0,0.0,"Akeem Jordan to Sharma, no run  .Starts off with a back of length delivery outside off. Aryansh has a swipe at it and finds  .thin air",Akeem Jordan,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Akeem Jordan to Sharma, 1 run 
Fuller this time, outside off again. The ball swings in a little but it's wide enough and 
Aryansh pushes at it and gets a thin outside edge that stays low and rolls down to deep 
third's left",1.2,1,1.0,"Akeem Jordan to Sharma, 1 run  .Fuller this time, outside off again. The ball swings in a little but it's wide enough and  .Aryansh pushes at it and gets a thin outside edge that stays low and rolls down to deep  .third's left",Akeem Jordan,Sharma,1.0,0,0,1,1,1.0,0,,1
"1.3 
4 
Akeem Jordan to Muhammad Waseem, FOUR runs 
What a drive. Full outside off, swinging in but Waseem leans into it and caresses it 
through extra cover",1.3,4,4.0,"Akeem Jordan to Muhammad Waseem, FOUR runs  .What a drive. Full outside off, swinging in but Waseem leans into it and caresses it  .through extra cover",Akeem Jordan,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"1.4 
2 
Akeem Jordan to Muhammad Waseem, 2 runs 
Shorter outside off, Waseem cuts it past the point fielder. Dominic Drakes does well to 
run in from deep third and dive to stop the boundary",1.4,2,2.0,"Akeem Jordan to Muhammad Waseem, 2 runs  .Shorter outside off, Waseem cuts it past the point fielder. Dominic Drakes does well to  .run in from deep third and dive to stop the boundary",Akeem Jordan,Muhammad Waseem,2.0,0,0,1,1,2.0,0,,1
"1.5 
• 
Akeem Jordan to Muhammad Waseem, no run 
Short outside off again, he tries to cut again and almost plays on. The inside edge sees 
the ball bounce over the stumps to the keeper",1.5,0,0.0,"Akeem Jordan to Muhammad Waseem, no run  .Short outside off again, he tries to cut again and almost plays on. The inside edge sees  .the ball bounce over the stumps to the keeper",Akeem Jordan,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
