raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Netravalkar to Sharma, no run",0.1,0,0.0,"Netravalkar to Sharma, no run",Netravalkar,Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Netravalkar to Sharma, no run",0.2,0,0.0,"Netravalkar to Sharma, no run",Netravalkar,Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Netravalkar to Sharma, no run",0.3,0,0.0,"Netravalkar to Sharma, no run",Netravalkar,Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Netravalkar to Sharma, no run",0.4,0,0.0,"Netravalkar to Sharma, no run",Netravalkar,Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Netravalkar to Sharma, 1 run",0.5,1,1.0,"Netravalkar to Sharma, 1 run",Netravalkar,Sharma,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Netravalkar to Asif Khan, no run 
end of over 11 run  
UAE: 1/0CRR: 1.00  
Asif Khan0 (1b) 
Aryansh Sharma1 (5b) 
Saurabh Netravalkar 1-0-1-0",0.6,0,0.0,"Netravalkar to Asif Khan, no run",Netravalkar,Asif Khan,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Ali Khan to Sharma, FOUR runs",1.1,4,4.0,"Ali Khan to Sharma, FOUR runs",Ali Khan,Sharma,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Ali Khan to Sharma, no run",1.2,0,0.0,"Ali Khan to Sharma, no run",Ali Khan,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Ali Khan to Sharma, no run",1.3,0,0.0,"Ali Khan to Sharma, no run",Ali Khan,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Ali Khan to Sharma, FOUR runs",1.4,4,4.0,"Ali Khan to Sharma, FOUR runs",Ali Khan,Sharma,4.0,1,0,1,1,4.0,0,,1
