raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Kenjige to Gumbie, 1 run 
Starts off with a length delivery shaping away from the southpaw who leans out and 
taps it on the up to short cover 
See all photos",0.1,1,1.0,"Kenjige to Gumbie, 1 run  .Starts off with a length delivery shaping away from the southpaw who leans out and  .taps it on the up to short cover  .See all photos",Kenjige,Gumbie,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Kenjige to Kaia, no run 
good length ball on middle, defended.",0.2,0,0.0,"Kenjige to Kaia, no run  .good length ball on middle, defended.",Kenjige,Kaia,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Kenjige to Kaia, 1 run 
full on fourth stump, punched to long-off for one.",0.3,1,1.0,"Kenjige to Kaia, 1 run  .full on fourth stump, punched to long-off for one.",Kenjige,Kaia,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Kenjige to Gumbie, no run 
full on off, defended.",0.4,0,0.0,"Kenjige to Gumbie, no run  .full on off, defended.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Kenjige to Gumbie, no run 
back of a length on the hips, Gumbie dangles his hands before pulling back late. Appeal 
from Kenjige given not out but no wide as it clipped his hip.",0.5,0,0.0,"Kenjige to Gumbie, no run  .back of a length on the hips, Gumbie dangles his hands before pulling back late. Appeal  .from Kenjige given not out but no wide as it clipped his hip.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Kenjige to Gumbie, no run 
full on off, defended. 
end of over 12 runs  
ZIM: 2/0CRR: 2.00  
Joylord Gumbie1 (4b) 
Innocent Kaia1 (2b) 
Nosthush Kenjige 1-0-2-0 
Abhishek Paradkar opening with new ball left-arm swing in place of left-armer 
Netravalkar who is out ill. First ODI for Paradkar since 2021. He's currently a student at 
Leeds University in England trying to further his cricket development there.",0.6,0,0.0,"Kenjige to Gumbie, no run  .full on off, defended.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Paradkar to Kaia, no run 
good length ball on middle, defended.",1.1,0,0.0,"Paradkar to Kaia, no run  .good length ball on middle, defended.",Paradkar,Kaia,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Paradkar to Kaia, no run 
nearly a wicket! Fullish length on fourth stump shapes in late and beats a drive between 
bat and pad but somehow doesn't clip off stump.",1.2,0,0.0,"Paradkar to Kaia, no run  .nearly a wicket! Fullish length on fourth stump shapes in late and beats a drive between  .bat and pad but somehow doesn't clip off stump.",Paradkar,Kaia,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Paradkar to Kaia, 1 run 
full on fifth stump, drives at this and pokes a thick edge to deep third for one.",1.3,1,1.0,"Paradkar to Kaia, 1 run  .full on fifth stump, drives at this and pokes a thick edge to deep third for one.",Paradkar,Kaia,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Paradkar to Gumbie, no run 
short on fifth stump, gets on his toes to defend this to gully.",1.4,0,0.0,"Paradkar to Gumbie, no run  .short on fifth stump, gets on his toes to defend this to gully.",Paradkar,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Paradkar to Gumbie, no run 
good length ball angled across sixth stump, beats Gumbie poking away from his body.",1.5,0,0.0,"Paradkar to Gumbie, no run  .good length ball angled across sixth stump, beats Gumbie poking away from his body.",Paradkar,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Paradkar to Gumbie, no run 
full on leg stump, flicked straight to midwicket for none. 
end of over 21 run  
ZIM: 3/0CRR: 1.50  
Joylord Gumbie1 (7b) 
Innocent Kaia2 (5b) 
Abhishek Paradkar 1-0-1-0 
Nosthush Kenjige 1-0-2-0",1.6,0,0.0,"Paradkar to Gumbie, no run  .full on leg stump, flicked straight to midwicket for none.",Paradkar,Gumbie,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Kenjige to Kaia, 1 run 
full on seventh stump, driven to long-off for one.",2.1,1,1.0,"Kenjige to Kaia, 1 run  .full on seventh stump, driven to long-off for one.",Kenjige,Kaia,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Kenjige to Gumbie, no run 
good length ball on off, defended.",2.2,0,0.0,"Kenjige to Gumbie, no run  .good length ball on off, defended.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"2.3 
2 
Kenjige to Gumbie, 2 runs 
good length ball on fourth stump, pokes forward and a thick edge goes wide of Taylor at 
slip for two to deep third.",2.3,2,2.0,"Kenjige to Gumbie, 2 runs  .good length ball on fourth stump, pokes forward and a thick edge goes wide of Taylor at  .slip for two to deep third.",Kenjige,Gumbie,2.0,0,0,1,1,2.0,0,,1
"2.4 
• 
Kenjige to Gumbie, no run 
quicker ball slanted in full on fifth stump, defended to point.",2.4,0,0.0,"Kenjige to Gumbie, no run  .quicker ball slanted in full on fifth stump, defended to point.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Kenjige to Gumbie, no run 
full on middle, defended.",2.5,0,0.0,"Kenjige to Gumbie, no run  .full on middle, defended.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Kenjige to Gumbie, no run 
full on fifth stump, drives firmly but straight to cover. 
end of over 33 runs  
ZIM: 6/0CRR: 2.00  
Joylord Gumbie3 (12b) 
Innocent Kaia3 (6b) 
Nosthush Kenjige 2-0-5-0 
Abhishek Paradkar 1-0-1-0",2.6,0,0.0,"Kenjige to Gumbie, no run  .full on fifth stump, drives firmly but straight to cover.",Kenjige,Gumbie,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Paradkar to Kaia, no run 
short on sixth stump, goes to cut but miscues it into the ground.",3.1,0,0.0,"Paradkar to Kaia, no run  .short on sixth stump, goes to cut but miscues it into the ground.",Paradkar,Kaia,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Paradkar to Kaia, no run 
charge down the pitch is telegraphed and Paradkar drags the length back on fifth stump 
to beat a wild heave for midwicket.",3.2,0,0.0,"Paradkar to Kaia, no run  .charge down the pitch is telegraphed and Paradkar drags the length back on fifth stump  .to beat a wild heave for midwicket.",Paradkar,Kaia,0.0,0,0,1,1,0.0,0,,0
