raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Alzarri Joseph to Litton Das, no run 
outstanding bounce and movement away from outside off. Forces Das to just evade it, 
dropping his wrists",0.1,0,0.0,"Alzarri Joseph to Litton Das, no run  .outstanding bounce and movement away from outside off. Forces Das to just evade it,  .dropping his wrists",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Alzarri Joseph to Litton Das, no run 
fuller, in the channel outside off, and he leaves 
Sayeem: ""What a comeback by Superstar Shakib! This reminds me of the comeback of 
SPD Smith. Once a legend always a legend.""",0.2,0,0.0,"Alzarri Joseph to Litton Das, no run  .fuller, in the channel outside off, and he leaves",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Alzarri Joseph to Litton Das, no run 
length, around off, and he is forced to drop his wrists again as it nips back in off the 
seam 
Just one slip in place now",0.3,0,0.0,"Alzarri Joseph to Litton Das, no run  .length, around off, and he is forced to drop his wrists again as it nips back in off the  .seam  .Just one slip in place now",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Alzarri Joseph to Litton Das, no run 
length, movement away from him, and good bounce. Das is beaten again as he has a 
tentative defensive poke at it",0.4,0,0.0,"Alzarri Joseph to Litton Das, no run  .length, movement away from him, and good bounce. Das is beaten again as he has a  .tentative defensive poke at it",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Alzarri Joseph to Litton Das, no run 
length, around off, and he shoulders arms to this 
This is no WACA, but can West Indies do unto Bangladesh, what India once did unto 
them 30 years ago?",0.5,0,0.0,"Alzarri Joseph to Litton Das, no run  .length, around off, and he shoulders arms to this  .This is no WACA, but can West Indies do unto Bangladesh, what India once did unto  .them 30 years ago?",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Alzarri Joseph to Litton Das, no run 
length, nips away from a spot outside off, again with steepling bounce. Left alone by 
Liton Das 
end of over 1Maiden 
BAN: 0/0CRR: 0.00 • RRR: 2.51 
Litton Das0 (6b) 
Tamim Iqbal0 (0b) 
Alzarri Joseph 1-1-0-0 
Chemar Holder shares the new ball",0.6,0,0.0,"Alzarri Joseph to Litton Das, no run  .length, nips away from a spot outside off, again with steepling bounce. Left alone by  .Liton Das",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Holder to Tamim, no run 
fullish length, outside off, a bit of movement off the seam away from Tamim, who 
leaves 
Charl: ""Just 49 more maidens and WI win""",1.1,0,0.0,"Holder to Tamim, no run  .fullish length, outside off, a bit of movement off the seam away from Tamim, who  .leaves",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Holder to Tamim, no run 
length, angles across him, and he leaves",1.2,0,0.0,"Holder to Tamim, no run  .length, angles across him, and he leaves",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Holder to Tamim, no run 
length, way outside off, and Tamim lets it pass",1.3,0,0.0,"Holder to Tamim, no run  .length, way outside off, and Tamim lets it pass",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Holder to Tamim, 1 run 
length, down the pads, and worked away towards deep backward square leg 
Tarun: ""I remember some years back India were bowled out for 105 and in reply BD were 
skitted on 58. I hope WI fights hard and makes this an exciting contest."" --- Yes, the 
Stuart Binny match. Happened around the time of the 2014 FIFA World Cup",1.4,1,1.0,"Holder to Tamim, 1 run  .length, down the pads, and worked away towards deep backward square leg",Holder,Tamim,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Holder to Litton Das, no run 
length, nips back in from around off, and he looks to whip this away. On to thigh pad, 
and lands around the leg side",1.5,0,0.0,"Holder to Litton Das, no run  .length, nips back in from around off, and he looks to whip this away. On to thigh pad,  .and lands around the leg side",Holder,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Holder to Litton Das, FOUR runs 
full, wide, and he eases into a square drive. Placed between point and cover-point to 
perfection 
end of over 25 runs  
BAN: 5/0CRR: 2.50 • RRR: 2.45 
Litton Das4 (8b 1x4) 
Tamim Iqbal1 (4b) 
Chemar Holder 1-0-5-0 
Alzarri Joseph 1-1-0-0",1.6,4,4.0,"Holder to Litton Das, FOUR runs  .full, wide, and he eases into a square drive. Placed between point and cover-point to  .perfection",Holder,Litton Das,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Alzarri Joseph to Tamim, no run 
short, and he can duck underneath this to avoid it",2.1,0,0.0,"Alzarri Joseph to Tamim, no run  .short, and he can duck underneath this to avoid it",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Alzarri Joseph to Tamim, no run 
fuller, around off, and he defends with a little forward press",2.2,0,0.0,"Alzarri Joseph to Tamim, no run  .fuller, around off, and he defends with a little forward press",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Alzarri Joseph to Tamim, no run 
length, and he defends towards point 
Shoaib Memon: ""i hope a wicket fall and we get to see the MVP with the bat too """,2.3,0,0.0,"Alzarri Joseph to Tamim, no run  .length, and he defends towards point",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
Alzarri Joseph to Tamim, FOUR runs 
just a little short in length, and he can go up and over the slips with an upper cut",2.4,4,4.0,"Alzarri Joseph to Tamim, FOUR runs  .just a little short in length, and he can go up and over the slips with an upper cut",Alzarri Joseph,Tamim,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
Alzarri Joseph to Tamim, no run 
length, around off, and he defends this towards the onside",2.5,0,0.0,"Alzarri Joseph to Tamim, no run  .length, around off, and he defends this towards the onside",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Alzarri Joseph to Tamim, 1 run 
fuller, on the pads, and he works this off his pads down to fine leg 
end of over 35 runs  
BAN: 10/0CRR: 3.33 • RRR: 2.40 
Tamim Iqbal6 (10b 1x4) 
Litton Das4 (8b 1x4) 
Alzarri Joseph 2-1-5-0 
Chemar Holder 1-0-5-0 
Tom G: ""Sounds weird, but Net Run Rate is actually quite important here. These two and 
Sri Lanka are likely to be fighting over two automatic qualification places, so a big win 
for Bangladesh could give them an extra advantage!"" --- That's true. Although the best 
thing to do here is to bat normally. Taking any undue risks might also open the door for 
the West Indies bowlers",2.6,1,1.0,"Alzarri Joseph to Tamim, 1 run  .fuller, on the pads, and he works this off his pads down to fine leg",Alzarri Joseph,Tamim,1.0,0,0,1,1,1.0,0,,1
"3.1 
1 
Holder to Tamim, 1 run 
back of a length, jumps up from outside off, and he does well to defend this with soft 
hands towards point. The fielder is deep, and they can get through for a single",3.1,1,1.0,"Holder to Tamim, 1 run  .back of a length, jumps up from outside off, and he does well to defend this with soft  .hands towards point. The fielder is deep, and they can get through for a single",Holder,Tamim,1.0,0,0,1,1,1.0,0,,1
"3.2 
1 
Holder to Litton Das, 1 run 
drops a short, incoming ball with soft hands towards short leg, and they scamper 
through for a single",3.2,1,1.0,"Holder to Litton Das, 1 run  .drops a short, incoming ball with soft hands towards short leg, and they scamper  .through for a single",Holder,Litton Das,1.0,0,0,1,1,1.0,0,,1
"3.3 
4 
Holder to Tamim, FOUR runs 
there's the Tamim cover drive! Not a bad length, but the width on offer gives him a 
chance to stretch forward and drive this through the cover region. Great timing",3.3,4,4.0,"Holder to Tamim, FOUR runs  .there's the Tamim cover drive! Not a bad length, but the width on offer gives him a  .chance to stretch forward and drive this through the cover region. Great timing",Holder,Tamim,4.0,1,0,1,1,4.0,0,,1
"3.4 
• 
Holder to Tamim, no run 
short of a length, and he drops it to the off side. Wants a single, but is quickly forced to 
have a rethink by an advancing fieldsman",3.4,0,0.0,"Holder to Tamim, no run  .short of a length, and he drops it to the off side. Wants a single, but is quickly forced to  .have a rethink by an advancing fieldsman",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Holder to Tamim, no run 
length, angles across him, and he works this towards mid-on with a flourish of the 
wrists. The batsmen again look for a quick single, but abort the mission quickly",3.5,0,0.0,"Holder to Tamim, no run  .length, angles across him, and he works this towards mid-on with a flourish of the  .wrists. The batsmen again look for a quick single, but abort the mission quickly",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"3.6 
1nb 
Holder to Tamim, (no ball) 
length, drops this towards point with soft hands 
Called a no ball in retrospect by the TV umpire",3.6,1nb,1.0,"Holder to Tamim, (no ball)  .length, drops this towards point with soft hands  .Called a no ball in retrospect by the TV umpire",Holder,Tamim,0.0,0,0,1,0,1.0,0,,1
"3.6 
4 
Holder to Tamim, FOUR runs 
flays the free hit past mid-off. Holder may have been looking for a yorker, but didn't get 
the length right. Tamim hangs back in the crease and swings through the line 
David: ""So if India fielded a reserve side against Australia, how should this West Indies 
team be described??? "" 
end of over 411 runs  
BAN: 21/0CRR: 5.25 • RRR: 2.21 
Tamim Iqbal15 (16b 3x4) 
Litton Das5 (9b 1x4) 
Chemar Holder 2-0-16-0 
Alzarri Joseph 2-1-5-0",3.6,4,4.0,"Holder to Tamim, FOUR runs  .flays the free hit past mid-off. Holder may have been looking for a yorker, but didn't get  .the length right. Tamim hangs back in the crease and swings through the line",Holder,Tamim,4.0,1,0,1,1,4.0,0,,1
"4.1 
1 
Alzarri Joseph to Litton Das, 1 run 
short, angles in, and he works it off his legs towards square leg",4.1,1,1.0,"Alzarri Joseph to Litton Das, 1 run  .short, angles in, and he works it off his legs towards square leg",Alzarri Joseph,Litton Das,1.0,0,0,1,1,1.0,0,,1
"4.2 
• 
Alzarri Joseph to Tamim, no run 
short of a length, down the leg side. Tamim shapes to flick, but it strikes his thigh pad",4.2,0,0.0,"Alzarri Joseph to Tamim, no run  .short of a length, down the leg side. Tamim shapes to flick, but it strikes his thigh pad",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Alzarri Joseph to Tamim, no run 
good ball! Length ball, and Tamim shapes to play a straighter ball, but it seams across 
him. Just over the stumps too",4.3,0,0.0,"Alzarri Joseph to Tamim, no run  .good ball! Length ball, and Tamim shapes to play a straighter ball, but it seams across  .him. Just over the stumps too",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Alzarri Joseph to Tamim, no run 
fuller, faster, and he defends from the crease",4.4,0,0.0,"Alzarri Joseph to Tamim, no run  .fuller, faster, and he defends from the crease",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"4.5 
1lb 
Alzarri Joseph to Tamim, 1 leg bye 
length, angles into him, at 135.9 kph, and he looks to flick this off his hips. Gets it off 
the thigh pad towards square leg",4.5,1lb,1.0,"Alzarri Joseph to Tamim, 1 leg bye  .length, angles into him, at 135.9 kph, and he looks to flick this off his hips. Gets it off  .the thigh pad towards square leg",Alzarri Joseph,Tamim,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Alzarri Joseph to Litton Das, no run 
short, and guided to point along the ground 
Here's another commentary stint for Sreshth 
end of over 52 runs  
BAN: 23/0CRR: 4.60 • RRR: 2.22 
Litton Das6 (11b 1x4) 
Tamim Iqbal15 (20b 3x4) 
Alzarri Joseph 3-1-6-0 
Chemar Holder 2-0-16-0 
Thanks, Debayan. Holder to continue",4.6,0,0.0,"Alzarri Joseph to Litton Das, no run  .short, and guided to point along the ground  .Here's another commentary stint for Sreshth",Alzarri Joseph,Litton Das,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Holder to Tamim, no run 
full, on leg stump. Nudged to the leg side",5.1,0,0.0,"Holder to Tamim, no run  .full, on leg stump. Nudged to the leg side",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Holder to Tamim, no run 
full outside off, with a bit of movement away. A flourished drive, but finds mid off",5.2,0,0.0,"Holder to Tamim, no run  .full outside off, with a bit of movement away. A flourished drive, but finds mid off",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"5.3 
4 
Holder to Tamim, FOUR runs 
slapped! Short, angling away, and he rides the bounce before cutting through the infield",5.3,4,4.0,"Holder to Tamim, FOUR runs  .slapped! Short, angling away, and he rides the bounce before cutting through the infield",Holder,Tamim,4.0,1,0,1,1,4.0,0,,1
"5.4 
• 
Holder to Tamim, no run 
full, on off, angling away. A square drive, to cover",5.4,0,0.0,"Holder to Tamim, no run  .full, on off, angling away. A square drive, to cover",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Holder to Tamim, no run 
fullish, on leg stump. Turns the bat's face and rolling away to square leg",5.5,0,0.0,"Holder to Tamim, no run  .fullish, on leg stump. Turns the bat's face and rolling away to square leg",Holder,Tamim,0.0,0,0,1,1,0.0,0,,0
"5.6 
2nb 
Holder to Tamim, (no ball) 1 run 
full on leg, and flicked to short fine leg. Calls early for the single, and off they go. No ball 
though, so free-hit incoming.",5.6,2nb,2.0,"Holder to Tamim, (no ball) 1 run  .full on leg, and flicked to short fine leg. Calls early for the single, and off they go. No ball  .though, so free-hit incoming.",Holder,Tamim,1.0,0,0,1,0,2.0,0,,1
