raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bresnan to Smith, no run 
ooh, hint of movement back into Smith who plays off the back foot to point 
Slip and a short midwicket are the catching men",0.1,0,0.0,"Bresnan to Smith, no run  .ooh, hint of movement back into Smith who plays off the back foot to point  .Slip and a short midwicket are the catching men",Bresnan,Smith,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Bresnan to Smith, 1 run 
nicely driven off the back foot, cover gets a hand on it which means mid-off can come 
round and keep them to a single",0.2,1,1.0,"Bresnan to Smith, 1 run  .nicely driven off the back foot, cover gets a hand on it which means mid-off can come  .round and keep them to a single",Bresnan,Smith,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Bresnan to Gayle, no run 
good line, back of a length on off stump, defended into the covers",0.3,0,0.0,"Bresnan to Gayle, no run  .good line, back of a length on off stump, defended into the covers",Bresnan,Gayle,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Bresnan to Gayle, 1 run 
driven off the back foot into the off side...the fielders are deep so Gayle can just jog 
through",0.4,1,1.0,"Bresnan to Gayle, 1 run  .driven off the back foot into the off side...the fielders are deep so Gayle can just jog  .through",Bresnan,Gayle,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Bresnan to Smith, 1 run 
hint of width and Smith cuts it down to third man...was in the air but nowhere near a 
fielder",0.5,1,1.0,"Bresnan to Smith, 1 run  .hint of width and Smith cuts it down to third man...was in the air but nowhere near a  .fielder",Bresnan,Smith,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Bresnan to Gayle, no run 
here we go! Gayle down the pitch but then misses with his attempted heave through the 
leg side 
end of over 13 runs  
WI: 3/0CRR: 3.00 • RRR: 4.91 
Chris Gayle1 (3b) 
Devon Smith2 (3b) 
Tim Bresnan 1-0-3-0 
It's spin with the new ball. Here's Graeme Swann. This should be fun",0.6,0,0.0,"Bresnan to Gayle, no run  .here we go! Gayle down the pitch but then misses with his attempted heave through the  .leg side",Bresnan,Gayle,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Swann to Smith, no run 
round the wicket, on off stump, defended to the covers 
Swann has been all over Smith in previous meetings",1.1,0,0.0,"Swann to Smith, no run  .round the wicket, on off stump, defended to the covers  .Swann has been all over Smith in previous meetings",Swann,Smith,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Swann to Smith, 1 run 
drifts onto leg stump and worked into a gap at square leg 
Slip and a close short fine-leg catching",1.2,1,1.0,"Swann to Smith, 1 run  .drifts onto leg stump and worked into a gap at square leg  .Slip and a close short fine-leg catching",Swann,Smith,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Swann to Gayle, 1 run 
nicely bowled, but Swann is annoyed as a single is given away to cover with Gayle just 
dropping the ball and setting off",1.3,1,1.0,"Swann to Gayle, 1 run  .nicely bowled, but Swann is annoyed as a single is given away to cover with Gayle just  .dropping the ball and setting off",Swann,Gayle,1.0,0,0,1,1,1.0,0,,1
"1.4 
2 
Swann to Smith, 2 runs 
touch too full and Smith whips it away through midwicket",1.4,2,2.0,"Swann to Smith, 2 runs  .touch too full and Smith whips it away through midwicket",Swann,Smith,2.0,0,0,1,1,2.0,0,,1
"1.5 
• 
Swann to Smith, no run 
wow, that's a ripper! Turn and huge bounce from outside off, Smith jerks his bat out of 
the line",1.5,0,0.0,"Swann to Smith, no run  .wow, that's a ripper! Turn and huge bounce from outside off, Smith jerks his bat out of  .the line",Swann,Smith,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Swann to Smith, no run 
on off stump, comes forward and defends to cover 
Some promising signs for Swann in that over. How many will Strauss give him? 
end of over 24 runs  
WI: 7/0CRR: 3.50 • RRR: 4.93 
Devon Smith5 (8b) 
Chris Gayle2 (4b) 
Graeme Swann 1-0-4-0 
Tim Bresnan 1-0-3-0 
The batsmen have already called for a drink so a small delay",1.6,0,0.0,"Swann to Smith, no run  .on off stump, comes forward and defends to cover  .Some promising signs for Swann in that over. How many will Strauss give him?",Swann,Smith,0.0,0,0,1,1,0.0,0,,0
"2.1 
4 
Bresnan to Gayle, FOUR runs 
down the leg side, poor ball especially with fine leg up and it's whipped away off the hip 
by Gayle",2.1,4,4.0,"Bresnan to Gayle, FOUR runs  .down the leg side, poor ball especially with fine leg up and it's whipped away off the hip  .by Gayle",Bresnan,Gayle,4.0,1,0,1,1,4.0,0,,1
"2.2 
2 
Bresnan to Gayle, 2 runs 
on leg stump, nicely timed off the pads but it's straighter through midwicket this time",2.2,2,2.0,"Bresnan to Gayle, 2 runs  .on leg stump, nicely timed off the pads but it's straighter through midwicket this time",Bresnan,Gayle,2.0,0,0,1,1,2.0,0,,1
"2.3 
4 
Bresnan to Gayle, FOUR runs 
on the charge! Gayle comes down the pitch and clubs this back over Bresnan's head 
straight down the ground",2.3,4,4.0,"Bresnan to Gayle, FOUR runs  .on the charge! Gayle comes down the pitch and clubs this back over Bresnan's head  .straight down the ground",Bresnan,Gayle,4.0,1,0,1,1,4.0,0,,1
"2.4 
• 
Bresnan to Gayle, no run 
banged in short and it goes across Gayle who leaves it alone",2.4,0,0.0,"Bresnan to Gayle, no run  .banged in short and it goes across Gayle who leaves it alone",Bresnan,Gayle,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Bresnan to Gayle, FOUR runs 
through the off side this time, full and wide from Bresnan and Gayle leans on the 
drive...it's not all brute force",2.5,4,4.0,"Bresnan to Gayle, FOUR runs  .through the off side this time, full and wide from Bresnan and Gayle leans on the  .drive...it's not all brute force",Bresnan,Gayle,4.0,1,0,1,1,4.0,0,,1
