raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Drakes to Ishan, no run 
Length outside off, guided to point",0.1,0,0.0,"Drakes to Ishan, no run  .Length outside off, guided to point",Drakes,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.2 
2lb 
Drakes to Ishan, 2 leg byes 
Jumps off a length but it's down leg, Kishan tries to glance it. Goes off the thigh pad to 
deep fine leg",0.2,2lb,2.0,"Drakes to Ishan, 2 leg byes  .Jumps off a length but it's down leg, Kishan tries to glance it. Goes off the thigh pad to  .deep fine leg",Drakes,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Drakes to Ishan, no run 
Back of length ball doesn't come onto the bat nicely. Kishan had to wait for it a bit 
before jabbing it in front",0.3,0,0.0,"Drakes to Ishan, no run  .Back of length ball doesn't come onto the bat nicely. Kishan had to wait for it a bit  .before jabbing it in front",Drakes,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Drakes to Ishan, FOUR runs 
Dismissive pull behind square. Kishan swivelled and helped the bouncer along over the 
infield. Gets four",0.4,4,4.0,"Drakes to Ishan, FOUR runs  .Dismissive pull behind square. Kishan swivelled and helped the bouncer along over the  .infield. Gets four",Drakes,Ishan,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Drakes to Ishan, no run 
Wide on a length from around the wicket, let go",0.5,0,0.0,"Drakes to Ishan, no run  .Wide on a length from around the wicket, let go",Drakes,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Drakes to Ishan, no run 
Pitched up outside off, swings away a bit. The 126kph ball is let go 
Pranali: ""Will Rohit bat at 4?"" Not sure. Wonder if India'll promote someone else too 
end of over 16 runs  
IND: 6/0CRR: 6.00 • RRR: 2.22 • Need 109 runs from 49 overs 
Ishan Kishan4 (6b 1x4) 
Shubman Gill0 (0b) 
Dominic Drakes 1-0-4-0",0.6,0,0.0,"Drakes to Ishan, no run  .Pitched up outside off, swings away a bit. The 126kph ball is let go",Drakes,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Seales to Gill, no run 
Wide on a length, left alone",1.1,0,0.0,"Seales to Gill, no run  .Wide on a length, left alone",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Seales to Gill, no run 
Fullish ball outside off, punched firmly to cover",1.2,0,0.0,"Seales to Gill, no run  .Fullish ball outside off, punched firmly to cover",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Seales to Gill, FOUR runs 
Top edge of the pull goes behind the keeper. Gill tried to drag the bouncer from just 
outside off, to square leg. The short-arm pull wasn't helped by the uneven-paced pitch. 
Luckily it landed around long stop and went for four",1.3,4,4.0,"Seales to Gill, FOUR runs  .Top edge of the pull goes behind the keeper. Gill tried to drag the bouncer from just  .outside off, to square leg. The short-arm pull wasn't helped by the uneven-paced pitch.  .Luckily it landed around long stop and went for four",Seales,Gill,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Seales to Gill, no run 
Shortish ball outside off, let go 
Arun: ""If a wicket falls SKY should come in next. No point in having Kohli or Rohit bat in 
this game""",1.4,0,0.0,"Seales to Gill, no run  .Shortish ball outside off, let go",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
