raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rankin to Smith, no run 
short and wide and he goes after it, not as much bounce as he expected, slashes hard, 
misses",0.1,0,0.0,"Rankin to Smith, no run  .short and wide and he goes after it, not as much bounce as he expected, slashes hard,  .misses",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rankin to Smith, no run 
short and wide, connects this time, slashes it hard into the ground but straight to point",0.2,0,0.0,"Rankin to Smith, no run  .short and wide, connects this time, slashes it hard into the ground but straight to point",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rankin to Smith, no run 
more on a good length this time, in the channel outside off, shoulders arms to leave it 
through",0.3,0,0.0,"Rankin to Smith, no run  .more on a good length this time, in the channel outside off, shoulders arms to leave it  .through",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Rankin to Smith, no run 
back of a length on middle, rocks back and turns it towards midwicket 
Meety: ""I think the loss of Johnston for Ireland cannot be underestimated. That being 
said Gayle is a bigger loss for the WINDIES. Makes this match even harder to pick! The 
WINDIES are due for a shocker sometime soon!""",0.4,0,0.0,"Rankin to Smith, no run  .back of a length on middle, rocks back and turns it towards midwicket",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rankin to Smith, no run 
in the corridor again, a bit of width but Smith's not taking risks yet, leaves it be",0.5,0,0.0,"Rankin to Smith, no run  .in the corridor again, a bit of width but Smith's not taking risks yet, leaves it be",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rankin to Smith, no run 
back of a length on the off, stands tall and knocks it down in front of point, starts off 
with a maiden 
There is more grass on this track than most others in India. However, we are still to see 
some movement 
end of over 1Maiden 
WI: 0/0CRR: 0.00  
Devon Smith0 (6b) 
Shivnarine Chanderpaul0 (0b) 
Boyd Rankin 1-1-0-0 
Cusack to bowl now, no chicken dancing Johnston sadly for Ireland",0.6,0,0.0,"Rankin to Smith, no run  .back of a length on the off, stands tall and knocks it down in front of point, starts off  .with a maiden  .There is more grass on this track than most others in India. However, we are still to see  .some movement",Rankin,Smith,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Cusack to Chanderpaul, no run 
short of a good length outside off, Shivnarine Chanderpaul drops his hands on that one 
and lets it through",1.1,0,0.0,"Cusack to Chanderpaul, no run  .short of a good length outside off, Shivnarine Chanderpaul drops his hands on that one  .and lets it through",Cusack,Chanderpaul,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Cusack to Chanderpaul, no run 
back of a length on the off, gets back and punches it towards extra cover",1.2,0,0.0,"Cusack to Chanderpaul, no run  .back of a length on the off, gets back and punches it towards extra cover",Cusack,Chanderpaul,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Cusack to Chanderpaul, no run 
much fuller this time, on a good length just around off stump, steps forward with a 
closed face and taps it back down the pitch",1.3,0,0.0,"Cusack to Chanderpaul, no run  .much fuller this time, on a good length just around off stump, steps forward with a  .closed face and taps it back down the pitch",Cusack,Chanderpaul,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Cusack to Chanderpaul, no run 
held it back this time, rising up well to Chanders who drops it in front of the bowler, 
disciplined stuff so far from the Irish",1.4,0,0.0,"Cusack to Chanderpaul, no run  .held it back this time, rising up well to Chanders who drops it in front of the bowler,  .disciplined stuff so far from the Irish",Cusack,Chanderpaul,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Cusack to Chanderpaul, no run 
short of a good length on middle, accurate, on middle and off, Chanderpaul gets back 
and presents the full face 
Batting outside the crease is Chanders",1.5,0,0.0,"Cusack to Chanderpaul, no run  .short of a good length on middle, accurate, on middle and off, Chanderpaul gets back  .and presents the full face  .Batting outside the crease is Chanders",Cusack,Chanderpaul,0.0,0,0,1,1,0.0,0,,0
