raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Holder to Vikramjit Singh, no run 
back of a length delivery just outside off stump. Left alone comfortably",0.1,0,0.0,"Holder to Vikramjit Singh, no run  .back of a length delivery just outside off stump. Left alone comfortably",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Holder to Vikramjit Singh, no run 
short and way outside off stump. Vikramjit has a waft at it but is late on the stroke as 
the ball goes past the flailing blade",0.2,0,0.0,"Holder to Vikramjit Singh, no run  .short and way outside off stump. Vikramjit has a waft at it but is late on the stroke as  .the ball goes past the flailing blade",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Holder to Vikramjit Singh, no run 
full delivery just outside off. Vikramjit comes forward and pokes it down the ground",0.3,0,0.0,"Holder to Vikramjit Singh, no run  .full delivery just outside off. Vikramjit comes forward and pokes it down the ground",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Holder to Vikramjit Singh, no run 
back of a length delivery outside off stump. Vikramjit gets up on his toes and scuffs it 
towards mid off",0.4,0,0.0,"Holder to Vikramjit Singh, no run  .back of a length delivery outside off stump. Vikramjit gets up on his toes and scuffs it  .towards mid off",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Holder to Vikramjit Singh, no run 
back of a length delivery outside off stump. Vikramjit punches it straight to extra cover",0.5,0,0.0,"Holder to Vikramjit Singh, no run  .back of a length delivery outside off stump. Vikramjit punches it straight to extra cover",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Holder to Vikramjit Singh, no run 
full delivery just outside off stump that shapes back in. Vikramjit chunks it off the inside 
half of the bat towards mid on 
end of over 1Maiden 
NED: 0/0CRR: 0.00 • RRR: 7.65 • Need 375 runs from 49 overs 
Vikramjit Singh0 (6b) 
Max O'Dowd0 (0b) 
Jason Holder 1-1-0-0 
Joseph to take the new ball from the other end",0.6,0,0.0,"Holder to Vikramjit Singh, no run  .full delivery just outside off stump that shapes back in. Vikramjit chunks it off the inside  .half of the bat towards mid on",Holder,Vikramjit Singh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Alzarri Joseph to O'Dowd, no run 
back of a length delivery on off stump that climbs up on the batter. O'Dowd hops up 
onto his toes and fends it into the off side",1.1,0,0.0,"Alzarri Joseph to O'Dowd, no run  .back of a length delivery on off stump that climbs up on the batter. O'Dowd hops up  .onto his toes and fends it into the off side",Alzarri Joseph,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Alzarri Joseph to O'Dowd, 1 run 
back of a length delivery on leg stump. O'Dowd gets up on his toes and helps it behind 
square on the leg side to get off the mark",1.2,1,1.0,"Alzarri Joseph to O'Dowd, 1 run  .back of a length delivery on leg stump. O'Dowd gets up on his toes and helps it behind  .square on the leg side to get off the mark",Alzarri Joseph,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"1.3 
4 
Alzarri Joseph to Vikramjit Singh, FOUR runs 
short, wide and punished! Too much width and Vikramjit pounces. Hangs back in his 
crease and crashes it through cover point for four! 
Around the wicket now",1.3,4,4.0,"Alzarri Joseph to Vikramjit Singh, FOUR runs  .short, wide and punished! Too much width and Vikramjit pounces. Hangs back in his  .crease and crashes it through cover point for four!  .Around the wicket now",Alzarri Joseph,Vikramjit Singh,4.0,1,0,1,1,4.0,0,,1
"1.4 
1w 
Alzarri Joseph to Vikramjit Singh, 1 wide 
short and wide outside off stump. Vikramjit swishes and misses as the umpire calls it a 
wide",1.4,1w,1.0,"Alzarri Joseph to Vikramjit Singh, 1 wide  .short and wide outside off stump. Vikramjit swishes and misses as the umpire calls it a  .wide",Alzarri Joseph,Vikramjit Singh,0.0,0,0,0,0,1.0,0,,1
