raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mayers to Prajapati, no run 
very full delivery outside off stump. Prajapati comes forward and pushes it towards 
short extra cover",0.1,0,0.0,"Mayers to Prajapati, no run  .very full delivery outside off stump. Prajapati comes forward and pushes it towards  .short extra cover",Mayers,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mayers to Prajapati, no run 
back of a length delivery that starts well outside off stump before swinging in. Prajapati 
has a fish at it and is beaten on the outside edge",0.2,0,0.0,"Mayers to Prajapati, no run  .back of a length delivery that starts well outside off stump before swinging in. Prajapati  .has a fish at it and is beaten on the outside edge",Mayers,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mayers to Prajapati, no run 
another hooping in-swinger on a length just outside off stump. Prajapati plonks it into 
the on side",0.3,0,0.0,"Mayers to Prajapati, no run  .another hooping in-swinger on a length just outside off stump. Prajapati plonks it into  .the on side",Mayers,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Mayers to Prajapati, no run 
appeal! Length delivery just outside off that shapes back into Prajapati late. He plays all 
over it and gets rapped on the pads. Perhaps going down leg, though, because it swung 
so much",0.4,0,0.0,"Mayers to Prajapati, no run  .appeal! Length delivery just outside off that shapes back into Prajapati late. He plays all  .over it and gets rapped on the pads. Perhaps going down leg, though, because it swung  .so much",Mayers,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Mayers to Prajapati, no run 
back of a length delivery outside off that nips back. Prajapati is caught on the crease 
this time and gets pinged on the back thigh",0.5,0,0.0,"Mayers to Prajapati, no run  .back of a length delivery outside off that nips back. Prajapati is caught on the crease  .this time and gets pinged on the back thigh",Mayers,Prajapati,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Mayers to Prajapati, 1 run 
back of a length delivery outside off stump. Prajapati dangles his bat and edges it down 
to third man to get off the mark 
end of over 11 run  
OMA: 1/0CRR: 1.00  
Kashyap Prajapati1 (6b) 
Jatinder Singh0 (0b) 
Kyle Mayers 1-0-1-0 
Shepherd to take the new ball from the other end",0.6,1,1.0,"Mayers to Prajapati, 1 run  .back of a length delivery outside off stump. Prajapati dangles his bat and edges it down  .to third man to get off the mark",Mayers,Prajapati,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Shepherd to Prajapati, 1 run 
back of a length outside off. Prajapati hangs back and runs it down to third man",1.1,1,1.0,"Shepherd to Prajapati, 1 run  .back of a length outside off. Prajapati hangs back and runs it down to third man",Shepherd,Prajapati,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Shepherd to Jatinder, no run 
back of a length delivery just outside off stump. Jatinder gets behind the line nicely and 
meets it right under his eyes",1.2,0,0.0,"Shepherd to Jatinder, no run  .back of a length delivery just outside off stump. Jatinder gets behind the line nicely and  .meets it right under his eyes",Shepherd,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Shepherd to Jatinder, no run 
full delivery on off stump. Jatinder takes a step down the track before driving it straight 
to mid off",1.3,0,0.0,"Shepherd to Jatinder, no run  .full delivery on off stump. Jatinder takes a step down the track before driving it straight  .to mid off",Shepherd,Jatinder,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Shepherd to Jatinder, FOUR runs 
shot! Full delivery outside off stump that shapes away. Jatinder transfers his weight 
forward, goes with the swing and threads it past extra cover for four",1.4,4,4.0,"Shepherd to Jatinder, FOUR runs  .shot! Full delivery outside off stump that shapes away. Jatinder transfers his weight  .forward, goes with the swing and threads it past extra cover for four",Shepherd,Jatinder,4.0,1,0,1,1,4.0,0,,1
