raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Pradeep to Lewis, no run",0.1,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Pradeep to Lewis, no run",0.2,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Pradeep to Lewis, no run",0.3,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Pradeep to Lewis, no run",0.4,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Pradeep to Lewis, no run",0.5,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Pradeep to Lewis, no run 
end of over 1Maiden 
WI: 0/0CRR: 0.00 • RRR: 4.75 
Evin Lewis0 (6b) 
Shai Hope0 (0b) 
Nuwan Pradeep 1-1-0-0",0.6,0,0.0,"Pradeep to Lewis, no run",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Chameera to Hope, FOUR runs 
turned beautifully through square leg, angles his bat and it's going all the way",1.1,4,4.0,"Chameera to Hope, FOUR runs  .turned beautifully through square leg, angles his bat and it's going all the way",Chameera,Hope,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Chameera to Hope, no run 
fuller, pins him back, he presses back down the pitch in defence",1.2,0,0.0,"Chameera to Hope, no run  .fuller, pins him back, he presses back down the pitch in defence",Chameera,Hope,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Chameera to Hope, no run 
length ball, outside off, fended towards cover",1.3,0,0.0,"Chameera to Hope, no run  .length ball, outside off, fended towards cover",Chameera,Hope,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Chameera to Hope, 1 run 
backs away and clips deftly in front of point",1.4,1,1.0,"Chameera to Hope, 1 run  .backs away and clips deftly in front of point",Chameera,Hope,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Chameera to Lewis, no run 
length ball, on middle, pressed away towards mid off",1.5,0,0.0,"Chameera to Lewis, no run  .length ball, on middle, pressed away towards mid off",Chameera,Lewis,0.0,0,0,1,1,0.0,0,,0
"1.6 
2 
Chameera to Lewis, 2 runs 
full, on the pads, clipped through midwicket to get off the mark 
end of over 27 runs  
WI: 7/0CRR: 3.50 • RRR: 4.70 
Evin Lewis2 (8b) 
Shai Hope5 (4b 1x4) 
Dushmantha Chameera 1-0-7-0 
Nuwan Pradeep 1-1-0-0",1.6,2,2.0,"Chameera to Lewis, 2 runs  .full, on the pads, clipped through midwicket to get off the mark",Chameera,Lewis,2.0,0,0,1,1,2.0,0,,1
"2.1 
1 
Pradeep to Hope, 1 run 
outside off and carved away to the off side",2.1,1,1.0,"Pradeep to Hope, 1 run  .outside off and carved away to the off side",Pradeep,Hope,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Pradeep to Lewis, no run 
outside off and defended away to the off side",2.2,0,0.0,"Pradeep to Lewis, no run  .outside off and defended away to the off side",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Pradeep to Lewis, no run 
length ball, in line and he fends back down the pitch",2.3,0,0.0,"Pradeep to Lewis, no run  .length ball, in line and he fends back down the pitch",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Pradeep to Lewis, 1 run 
fuller, in line and he pokes it sharply towards square leg",2.4,1,1.0,"Pradeep to Lewis, 1 run  .fuller, in line and he pokes it sharply towards square leg",Pradeep,Lewis,1.0,0,0,1,1,1.0,0,,1
"2.5 
• 
Pradeep to Hope, no run 
fullish, worked off the pads towards midwicket",2.5,0,0.0,"Pradeep to Hope, no run  .fullish, worked off the pads towards midwicket",Pradeep,Hope,0.0,0,0,1,1,0.0,0,,0
"2.6 
4 
Pradeep to Hope, FOUR runs 
lenghth ball, in line and worked to square leg 
end of over 36 runs  
WI: 13/0CRR: 4.33 • RRR: 4.68 
Shai Hope10 (7b 2x4) 
Evin Lewis3 (11b) 
Nuwan Pradeep 2-1-6-0 
Dushmantha Chameera 1-0-7-0",2.6,4,4.0,"Pradeep to Hope, FOUR runs  .lenghth ball, in line and worked to square leg",Pradeep,Hope,4.0,1,0,1,1,4.0,0,,1
"3.1 
• 
Chameera to Lewis, no run 
lenght ball, in line, worked away to the leg side",3.1,0,0.0,"Chameera to Lewis, no run  .lenght ball, in line, worked away to the leg side",Chameera,Lewis,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Chameera to Lewis, no run 
back of a length, blocked towards mid off",3.2,0,0.0,"Chameera to Lewis, no run  .back of a length, blocked towards mid off",Chameera,Lewis,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Chameera to Lewis, no run 
length ball, outside off, cut away firmly but there's a man at backward point to meet it",3.3,0,0.0,"Chameera to Lewis, no run  .length ball, outside off, cut away firmly but there's a man at backward point to meet it",Chameera,Lewis,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Chameera to Lewis, no run 
fuller, worked off the pads in the direction of mid off",3.4,0,0.0,"Chameera to Lewis, no run  .fuller, worked off the pads in the direction of mid off",Chameera,Lewis,0.0,0,0,1,1,0.0,0,,0
"3.5 
1 
Chameera to Lewis, 1 run 
ever so slightly fuller, angling in from off stump, clipped towards midwicket and the set 
off sharpish for that run",3.5,1,1.0,"Chameera to Lewis, 1 run  .ever so slightly fuller, angling in from off stump, clipped towards midwicket and the set  .off sharpish for that run",Chameera,Lewis,1.0,0,0,1,1,1.0,0,,1
"3.6 
4 
Chameera to Hope, FOUR runs 
slightly full, outside off, beautiful drive to pierce the covers and that's a lovely shot for 
four 
end of over 45 runs  
WI: 18/0CRR: 4.50 • RRR: 4.67 
Shai Hope14 (8b 3x4) 
Evin Lewis4 (16b) 
Dushmantha Chameera 2-0-12-0 
Nuwan Pradeep 2-1-6-0",3.6,4,4.0,"Chameera to Hope, FOUR runs  .slightly full, outside off, beautiful drive to pierce the covers and that's a lovely shot for  .four",Chameera,Hope,4.0,1,0,1,1,4.0,0,,1
"4.1 
4 
Pradeep to Lewis, FOUR runs 
full drifting onto off stump, driven effortlessly down the ground right through long on for 
a boundary",4.1,4,4.0,"Pradeep to Lewis, FOUR runs  .full drifting onto off stump, driven effortlessly down the ground right through long on for  .a boundary",Pradeep,Lewis,4.0,1,0,1,1,4.0,0,,1
"4.2 
• 
Pradeep to Lewis, no run 
pitching outside off, he prods it away in the direction of point",4.2,0,0.0,"Pradeep to Lewis, no run  .pitching outside off, he prods it away in the direction of point",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Pradeep to Lewis, no run 
slightly back of a length down the leg side and clipped away",4.3,0,0.0,"Pradeep to Lewis, no run  .slightly back of a length down the leg side and clipped away",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Pradeep to Lewis, no run 
length ball, angling away and he swings and misses",4.4,0,0.0,"Pradeep to Lewis, no run  .length ball, angling away and he swings and misses",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Pradeep to Lewis, no run 
on a length and off off stump, he presses it back down the pitch",4.5,0,0.0,"Pradeep to Lewis, no run  .on a length and off off stump, he presses it back down the pitch",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Pradeep to Lewis, no run 
fuller, on a middle stump line, he works it away to the leg side 
Kula: ""That middle order collapse is gonna cost the game for SL"" 
end of over 54 runs  
WI: 22/0CRR: 4.40 • RRR: 4.68 
Evin Lewis8 (22b 1x4) 
Shai Hope14 (8b 3x4) 
Nuwan Pradeep 3-1-10-0 
Dushmantha Chameera 2-0-12-0",4.6,0,0.0,"Pradeep to Lewis, no run  .fuller, on a middle stump line, he works it away to the leg side",Pradeep,Lewis,0.0,0,0,1,1,0.0,0,,0
