raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Ali Naseer to King, no run 
short and wide of off, King has a flat-footed slash away from the body and does not 
touch the ball",0.1,0,0.0,"Ali Naseer to King, no run  .short and wide of off, King has a flat-footed slash away from the body and does not  .touch the ball",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Ali Naseer to King, no run 
back of a length and slanting in at the top of off, King gets right behind the line and 
blocks it solidly to cover",0.2,0,0.0,"Ali Naseer to King, no run  .back of a length and slanting in at the top of off, King gets right behind the line and  .blocks it solidly to cover",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Ali Naseer to King, no run 
much fuller and swinging back into King who eyes up the leg side and only manages an 
inside edge onto the pad. It was heading down leg anyway",0.3,0,0.0,"Ali Naseer to King, no run  .much fuller and swinging back into King who eyes up the leg side and only manages an  .inside edge onto the pad. It was heading down leg anyway",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Ali Naseer to King, FOUR runs 
regal drive from King! Slightly overpitched and outside off, King leans into it and 
caresses it between mid-off and extra-cover",0.4,4,4.0,"Ali Naseer to King, FOUR runs  .regal drive from King! Slightly overpitched and outside off, King leans into it and  .caresses it between mid-off and extra-cover",Ali Naseer,King,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Ali Naseer to King, no run 
Naseer drags his length back on off, driven past him to mid-off",0.5,0,0.0,"Ali Naseer to King, no run  .Naseer drags his length back on off, driven past him to mid-off",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Ali Naseer to King, no run 
shorter and skidding into middle and leg, King closes the bat-face and turns it more or 
less straight to midwicket 
end of over 14 runs  
WI: 4/0CRR: 4.00  
Brandon King4 (6b 1x4) 
Johnson Charles0 (0b) 
Ali Naseer 1-0-4-0 
Sanchit Sharma is on from the other end",0.6,0,0.0,"Ali Naseer to King, no run  .shorter and skidding into middle and leg, King closes the bat-face and turns it more or  .less straight to midwicket",Ali Naseer,King,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Sharma to Charles, no run 
Pitches it up outside off, Charles drives it gently to cover",1.1,0,0.0,"Sharma to Charles, no run  .Pitches it up outside off, Charles drives it gently to cover",Sharma,Charles,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Sharma to Charles, 2 runs 
Full and drifting down leg, Charles nudges it through the vacant midwicket area and they 
pick up two. Charles off the mark",1.2,2,2.0,"Sharma to Charles, 2 runs  .Full and drifting down leg, Charles nudges it through the vacant midwicket area and they  .pick up two. Charles off the mark",Sharma,Charles,2.0,0,0,1,1,2.0,0,,1
"1.3 
4 
Sharma to Charles, FOUR runs 
A misfield at cover point and Charles gets his first boundary! This is full around off and 
he drives it along the ground and it goes through the fielder's hands",1.3,4,4.0,"Sharma to Charles, FOUR runs  .A misfield at cover point and Charles gets his first boundary! This is full around off and  .he drives it along the ground and it goes through the fielder's hands",Sharma,Charles,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Sharma to Charles, no run 
Full around off again, he drives it to cover point again. This time it's more 
straightforward for the fielder",1.4,0,0.0,"Sharma to Charles, no run  .Full around off again, he drives it to cover point again. This time it's more  .straightforward for the fielder",Sharma,Charles,0.0,0,0,1,1,0.0,0,,0
