raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Paul to Muhammad Waseem, no run 
Fuller with just a hint is shape away from the batter, who gets half-forward and pushes 
to mid-off.",0.1,0,0.0,"Paul to Muhammad Waseem, no run  .Fuller with just a hint is shape away from the batter, who gets half-forward and pushes  .to mid-off.",Paul,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Paul to Muhammad Waseem, no run 
Fuller again, with just a bit of swing away from Waseem who is nicely into the drive but 
can only it straight to mid-off.",0.2,0,0.0,"Paul to Muhammad Waseem, no run  .Fuller again, with just a bit of swing away from Waseem who is nicely into the drive but  .can only it straight to mid-off.",Paul,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Paul to Muhammad Waseem, no run 
Length ball outside off stump. Waseem gets across and lets the ball go through to the 
keeper.",0.3,0,0.0,"Paul to Muhammad Waseem, no run  .Length ball outside off stump. Waseem gets across and lets the ball go through to the  .keeper.",Paul,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Paul to Muhammad Waseem, no run 
Goes fuller again, looking for some swing does Paul. Not a lot of pace. Waseem strides 
forward and pushes to mid-off confidently.",0.4,0,0.0,"Paul to Muhammad Waseem, no run  .Goes fuller again, looking for some swing does Paul. Not a lot of pace. Waseem strides  .forward and pushes to mid-off confidently.",Paul,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Paul to Muhammad Waseem, FOUR runs 
IMPERIOUS! Length but on the off and middle. Waseem flicks and does it elegantly past 
a diving mid-on. He rolled his wrists to get it past the fielder.",0.5,4,4.0,"Paul to Muhammad Waseem, FOUR runs  .IMPERIOUS! Length but on the off and middle. Waseem flicks and does it elegantly past  .a diving mid-on. He rolled his wrists to get it past the fielder.",Paul,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"0.6 
4lb 
Paul to Muhammad Waseem, 4 leg byes 
Four more, albeit off the pads, but UAE will take it. Line goes awry as Paul drifts down 
leg. The ball catches Waseem's pads and goes away to the fine leg fence. 
end of over 18 runs  
UAE: 8/0CRR: 8.00  
Muhammad Waseem4 (6b 1x4) 
Lovepreet Singh0 (0b) 
Keemo Paul 1-0-4-0 
Akeem Jordan to start from the other end. Over the wicket.",0.6,4lb,4.0,"Paul to Muhammad Waseem, 4 leg byes  .Four more, albeit off the pads, but UAE will take it. Line goes awry as Paul drifts down  .leg. The ball catches Waseem's pads and goes away to the fine leg fence.",Paul,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Akeem Jordan to Lovepreet Singh, no run 
Loud, loud appeal as Lovepreet is rapped on the pads. Not given. Sliding down leg? Yes, 
the ball moved in quite a bit and would have gone down leg.",1.1,0,0.0,"Akeem Jordan to Lovepreet Singh, no run  .Loud, loud appeal as Lovepreet is rapped on the pads. Not given. Sliding down leg? Yes,  .the ball moved in quite a bit and would have gone down leg.",Akeem Jordan,Lovepreet Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Akeem Jordan to Lovepreet Singh, 1 wide 
Short and very wide, Lovepreet looks for a hard cut but that is way past the tramline",1.2,1w,1.0,"Akeem Jordan to Lovepreet Singh, 1 wide  .Short and very wide, Lovepreet looks for a hard cut but that is way past the tramline",Akeem Jordan,Lovepreet Singh,0.0,0,0,0,0,1.0,0,,1
"1.2 
2 
Akeem Jordan to Lovepreet Singh, 2 runs 
Length on middle and leg, a bit of inward movement again but the line made it easy for 
the batter to clip it past square leg for a couple of runs.",1.2,2,2.0,"Akeem Jordan to Lovepreet Singh, 2 runs  .Length on middle and leg, a bit of inward movement again but the line made it easy for  .the batter to clip it past square leg for a couple of runs.",Akeem Jordan,Lovepreet Singh,2.0,0,0,1,1,2.0,0,,1
"1.3 
1 
Akeem Jordan to Lovepreet Singh, 1 run 
On a length but the line is outside off. He pats it towards deep third man for a run.",1.3,1,1.0,"Akeem Jordan to Lovepreet Singh, 1 run  .On a length but the line is outside off. He pats it towards deep third man for a run.",Akeem Jordan,Lovepreet Singh,1.0,0,0,1,1,1.0,0,,1
