raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Netravalkar to King, no run 
back of a length delivery just outside off stump. King gets up on his toes and drops it 
into the off side with soft hands",0.1,0,0.0,"Netravalkar to King, no run  .back of a length delivery just outside off stump. King gets up on his toes and drops it  .into the off side with soft hands",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Netravalkar to King, no run 
back of a length delivery on middle and leg stump. King lets the ball come to him before 
meeting it right under his eyes",0.2,0,0.0,"Netravalkar to King, no run  .back of a length delivery on middle and leg stump. King lets the ball come to him before  .meeting it right under his eyes",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Netravalkar to King, no run 
back of a length delivery on middle and leg stump that shapes in just a tad. King comes 
half forward and defends",0.3,0,0.0,"Netravalkar to King, no run  .back of a length delivery on middle and leg stump that shapes in just a tad. King comes  .half forward and defends",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Netravalkar to King, no run 
peach! Length delivery in the channel that threatens to shape in before holding its line. 
King goes nibbling at it and is beaten comprehensively 
A slip and a gully in place",0.4,0,0.0,"Netravalkar to King, no run  .peach! Length delivery in the channel that threatens to shape in before holding its line.  .King goes nibbling at it and is beaten comprehensively  .A slip and a gully in place",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Netravalkar to King, no run 
length delivery angled across the batter just outside off stump. King presses half 
forward and dabs it into the off side",0.5,0,0.0,"Netravalkar to King, no run  .length delivery angled across the batter just outside off stump. King presses half  .forward and dabs it into the off side",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Netravalkar to King, no run 
back of a length delivery on middle and leg stump. King gets up on his toes and pats it 
gently towards the bowler 
end of over 1Maiden 
WI: 0/0CRR: 0.00  
Brandon King0 (6b) 
Kyle Mayers0 (0b) 
Saurabh Netravalkar 1-1-0-0 
Phillip to take the new ball from the other end",0.6,0,0.0,"Netravalkar to King, no run  .back of a length delivery on middle and leg stump. King gets up on his toes and pats it  .gently towards the bowler",Netravalkar,King,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Phillip to Mayers, no run 
back of a length delivery at the stumps that nips back and cramps Mayers for room. He 
jams it off the inside edge into his pads",1.1,0,0.0,"Phillip to Mayers, no run  .back of a length delivery at the stumps that nips back and cramps Mayers for room. He  .jams it off the inside edge into his pads",Phillip,Mayers,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Phillip to Mayers, no run 
full delivery on leg stump. Mayers comes half forward and pokes it down the ground",1.2,0,0.0,"Phillip to Mayers, no run  .full delivery on leg stump. Mayers comes half forward and pokes it down the ground",Phillip,Mayers,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Phillip to Mayers, no run 
oh dear! Dug into the track on leg stump, and this one seems to come back into Mayers. 
The batter is taken by surprise totally and is late in ducking out of the way. The ball 
thuds into the helmet. Let's hope he is alright! 
The physio is out checking on Mayers. They take a look at the helmet as well and it 
seems Mayers is good to continue",1.3,0,0.0,"Phillip to Mayers, no run  .oh dear! Dug into the track on leg stump, and this one seems to come back into Mayers.  .The batter is taken by surprise totally and is late in ducking out of the way. The ball  .thuds into the helmet. Let's hope he is alright!  .The physio is out checking on Mayers. They take a look at the helmet as well and it  .seems Mayers is good to continue",Phillip,Mayers,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Phillip to Mayers, no run 
length delivery on leg stump that shapes into the batter again. Mayers is caught on the 
crease and has a prod at it, getting an inside edge into his pad",1.4,0,0.0,"Phillip to Mayers, no run  .length delivery on leg stump that shapes into the batter again. Mayers is caught on the  .crease and has a prod at it, getting an inside edge into his pad",Phillip,Mayers,0.0,0,0,1,1,0.0,0,,0
