raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Holder to Gumbie, no run 
Good length outside off, some shape away and bounce to start. Pooran takes this at 
shoulder height as this is left alone by Joylord",0.1,0,0.0,"Holder to Gumbie, no run  .Good length outside off, some shape away and bounce to start. Pooran takes this at  .shoulder height as this is left alone by Joylord",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Holder to Gumbie, no run 
good length outside off, hops on his toes and pokes this towards point",0.2,0,0.0,"Holder to Gumbie, no run  .good length outside off, hops on his toes and pokes this towards point",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Holder to Gumbie, no run 
Squares him up! Pitches just outside off and straightens. Strikes him on the thigh guard",0.3,0,0.0,"Holder to Gumbie, no run  .Squares him up! Pitches just outside off and straightens. Strikes him on the thigh guard",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Holder to Gumbie, no run 
good length outside off, defended square on the offside",0.4,0,0.0,"Holder to Gumbie, no run  .good length outside off, defended square on the offside",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Holder to Gumbie, no run 
good length wider of off, this one nips back in. But not enough to trouble Gumbie, who 
leaves it alone",0.5,0,0.0,"Holder to Gumbie, no run  .good length wider of off, this one nips back in. But not enough to trouble Gumbie, who  .leaves it alone",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Holder to Gumbie, no run 
fuller on off, defended from within the crease. Opens the face slightly to guide this 
towards point. Maiden to start for Holder. 
end of over 1Maiden 
ZIM: 0/0CRR: 0.00  
Joylord Gumbie0 (6b) 
Craig Ervine0 (0b) 
Jason Holder 1-1-0-0 
Alzarri Joseph to share the new ball",0.6,0,0.0,"Holder to Gumbie, no run  .fuller on off, defended from within the crease. Opens the face slightly to guide this  .towards point. Maiden to start for Holder.",Holder,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Alzarri Joseph to Ervine, 1 run 
back of a length on the stumps, drop and run into the offside. 
Two slips and a gully in place, and a catching mid-on",1.1,1,1.0,"Alzarri Joseph to Ervine, 1 run  .back of a length on the stumps, drop and run into the offside.  .Two slips and a gully in place, and a catching mid-on",Alzarri Joseph,Ervine,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Alzarri Joseph to Gumbie, no run 
Full outside off, shapes away, Play and a miss from Gumbie",1.2,0,0.0,"Alzarri Joseph to Gumbie, no run  .Full outside off, shapes away, Play and a miss from Gumbie",Alzarri Joseph,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.3 
2 
Alzarri Joseph to Gumbie, 2 runs 
Played uppishly past backward point. This was short of a length outside off, Gumbie 
goes on his toes off the back foot and punches this behind square for a couple",1.3,2,2.0,"Alzarri Joseph to Gumbie, 2 runs  .Played uppishly past backward point. This was short of a length outside off, Gumbie  .goes on his toes off the back foot and punches this behind square for a couple",Alzarri Joseph,Gumbie,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Alzarri Joseph to Gumbie, no run 
length wider of off, left alone",1.4,0,0.0,"Alzarri Joseph to Gumbie, no run  .length wider of off, left alone",Alzarri Joseph,Gumbie,0.0,0,0,1,1,0.0,0,,0
