raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Adair to Gumbie, no run 
nips away off the seam from outside off, left alone",0.1,0,0.0,"Adair to Gumbie, no run  .nips away off the seam from outside off, left alone",Adair,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Adair to Gumbie, no run 
movement away from outside off again, watched through to the keeper once again 
The surface has a dry tinge to it. Plenty of cracks right through",0.2,0,0.0,"Adair to Gumbie, no run  .movement away from outside off again, watched through to the keeper once again  .The surface has a dry tinge to it. Plenty of cracks right through",Adair,Gumbie,0.0,0,0,1,1,0.0,0,,0
"0.3 
3 
Adair to Gumbie, 3 runs 
first runs through a pull past square leg Not all that controlled as he got it high on the 
bat",0.3,3,3.0,"Adair to Gumbie, 3 runs  .first runs through a pull past square leg Not all that controlled as he got it high on the  .bat",Adair,Gumbie,3.0,0,0,1,1,3.0,0,,1
"0.4 
• 
Adair to TS Kamunhukamwe, no run 
floats it fuller outside off, pushed to cover",0.4,0,0.0,"Adair to TS Kamunhukamwe, no run  .floats it fuller outside off, pushed to cover",Adair,TS Kamunhukamwe,0.0,0,0,1,1,0.0,0,,0
"0.5 
3 
Adair to TS Kamunhukamwe, 3 runs 
once again not in control of the pull, gets it over square leg. The fielder at long leg 
comes around to cut that off",0.5,3,3.0,"Adair to TS Kamunhukamwe, 3 runs  .once again not in control of the pull, gets it over square leg. The fielder at long leg  .comes around to cut that off",Adair,TS Kamunhukamwe,3.0,0,0,1,1,3.0,0,,1
"0.6 
• 
Adair to Gumbie, no run 
beats the edge with late movement outside off. 
end of over 16 runs  
ZIM: 6/0CRR: 6.00  
Joylord Gumbie3 (4b) 
Tinashe Kamunhukamwe3 (2b) 
Mark Adair 1-0-6-0 
Little with the new ball from the other end",0.6,0,0.0,"Adair to Gumbie, no run  .beats the edge with late movement outside off.",Adair,Gumbie,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Little to TS Kamunhukamwe, FOUR runs 
what a welcome! The half-volley has been walloped to the cover boundary",1.1,4,4.0,"Little to TS Kamunhukamwe, FOUR runs  .what a welcome! The half-volley has been walloped to the cover boundary",Little,TS Kamunhukamwe,4.0,1,0,1,1,4.0,0,,1
"1.2 
4 
Little to TS Kamunhukamwe, FOUR runs 
streaky! The thick inside edge flies past leg stump for four",1.2,4,4.0,"Little to TS Kamunhukamwe, FOUR runs  .streaky! The thick inside edge flies past leg stump for four",Little,TS Kamunhukamwe,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Little to TS Kamunhukamwe, no run 
beauty! Lifter from length around off, he's committed to playing forward but sees this 
spit from the deck and whizz past his nose.",1.3,0,0.0,"Little to TS Kamunhukamwe, no run  .beauty! Lifter from length around off, he's committed to playing forward but sees this  .spit from the deck and whizz past his nose.",Little,TS Kamunhukamwe,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Little to TS Kamunhukamwe, no run 
rises with the bounce and fends to the off side",1.4,0,0.0,"Little to TS Kamunhukamwe, no run  .rises with the bounce and fends to the off side",Little,TS Kamunhukamwe,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Little to TS Kamunhukamwe, no run 
has a mighty heave at that and misses. Looked to clobber it over long-on",1.5,0,0.0,"Little to TS Kamunhukamwe, no run  .has a mighty heave at that and misses. Looked to clobber it over long-on",Little,TS Kamunhukamwe,0.0,0,0,1,1,0.0,0,,0
