raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Muzarabani to Balbirnie, no run 
Starts off with a good length ball outside off and Balbirnie pulls his bat away as it flies 
through to the keeper",0.1,0,0.0,"Muzarabani to Balbirnie, no run  .Starts off with a good length ball outside off and Balbirnie pulls his bat away as it flies  .through to the keeper",Muzarabani,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Muzarabani to Balbirnie, 1 run 
On a length outside off, Balbirnie looks to push it away and gets an inside edge to the 
leg side and gets off the mark",0.2,1,1.0,"Muzarabani to Balbirnie, 1 run  .On a length outside off, Balbirnie looks to push it away and gets an inside edge to the  .leg side and gets off the mark",Muzarabani,Balbirnie,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Muzarabani to Stirling, no run 
Full on off, Stirling gets his bat down to block 
Zed: ""Due to DLS adjustment, shouldn't the target be around 202-205."" Indeed it is. 
Ireland's target is 201, as the broadcast has now confirmed",0.3,0,0.0,"Muzarabani to Stirling, no run  .Full on off, Stirling gets his bat down to block",Muzarabani,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Muzarabani to Stirling, no run 
Full on off, pushed towards mid-on",0.4,0,0.0,"Muzarabani to Stirling, no run  .Full on off, pushed towards mid-on",Muzarabani,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Muzarabani to Stirling, no run 
Full outside off, Stirling defends and it goes off the inside half to square leg",0.5,0,0.0,"Muzarabani to Stirling, no run  .Full outside off, Stirling defends and it goes off the inside half to square leg",Muzarabani,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Muzarabani to Stirling, no run 
Full on off, clipped to square leg 
end of over 11 run  
IRE: 1/0CRR: 1.00 • RRR: 5.17 • Need 202 runs from 39 overs 
Paul Stirling0 (4b) 
Andy Balbirnie1 (2b) 
Blessing Muzarabani 1-0-1-0 
Tanaka Chivanga from the other end",0.6,0,0.0,"Muzarabani to Stirling, no run  .Full on off, clipped to square leg",Muzarabani,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Chivanga to Balbirnie, 1 run 
Full on middle and leg, flicked away to deep backward square for a single",1.1,1,1.0,"Chivanga to Balbirnie, 1 run  .Full on middle and leg, flicked away to deep backward square for a single",Chivanga,Balbirnie,1.0,0,0,1,1,1.0,0,,1
"1.2 
1w 
Chivanga to Stirling, 1 wide 
Full and wide, swinging away and that's too wide for the umpire's liking",1.2,1w,1.0,"Chivanga to Stirling, 1 wide  .Full and wide, swinging away and that's too wide for the umpire's liking",Chivanga,Stirling,0.0,0,0,0,0,1.0,0,,1
"1.2 
4 
Chivanga to Stirling, FOUR runs 
Dug in short and Stirling rocks back and latches onto it with a pull over midwicket. One 
bounce and four",1.2,4,4.0,"Chivanga to Stirling, FOUR runs  .Dug in short and Stirling rocks back and latches onto it with a pull over midwicket. One  .bounce and four",Chivanga,Stirling,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Chivanga to Stirling, no run 
Full on leg, dug out to mid-off",1.3,0,0.0,"Chivanga to Stirling, no run  .Full on leg, dug out to mid-off",Chivanga,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Chivanga to Stirling, no run 
On a length around off, he defends off the outside half",1.4,0,0.0,"Chivanga to Stirling, no run  .On a length around off, he defends off the outside half",Chivanga,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Chivanga to Stirling, no run 
Big swing and a miss. Stirling comes down the track and Chivanga pulls his length back. 
The ball seams away as Stirling tries to muscle it",1.5,0,0.0,"Chivanga to Stirling, no run  .Big swing and a miss. Stirling comes down the track and Chivanga pulls his length back.  .The ball seams away as Stirling tries to muscle it",Chivanga,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Chivanga to Stirling, FOUR runs 
Gorgeous square drive! It's pitched up outside off and he opens the face and pushes it 
through point. Two boundaries off the over 
end of over 210 runs  
IRE: 11/0CRR: 5.50 • RRR: 5.00 • Need 190 runs from 38 overs 
Paul Stirling8 (9b 2x4) 
Andy Balbirnie2 (3b) 
Tanaka Chivanga 1-0-10-0 
Blessing Muzarabani 1-0-1-0",1.6,4,4.0,"Chivanga to Stirling, FOUR runs  .Gorgeous square drive! It's pitched up outside off and he opens the face and pushes it  .through point. Two boundaries off the over",Chivanga,Stirling,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Muzarabani to Balbirnie, no run 
Fuller side of good length outside off and swinging away, Balbirnie leaves it alone",2.1,0,0.0,"Muzarabani to Balbirnie, no run  .Fuller side of good length outside off and swinging away, Balbirnie leaves it alone",Muzarabani,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Muzarabani to Balbirnie, 1 run 
Length ball just outside off, Balbirnie steers it in front of point for a quick run",2.2,1,1.0,"Muzarabani to Balbirnie, 1 run  .Length ball just outside off, Balbirnie steers it in front of point for a quick run",Muzarabani,Balbirnie,1.0,0,0,1,1,1.0,0,,1
"2.3 
W 
Muzarabani to Stirling, OUT 
Edged behind! And Stirling walks immediately! Muzarabani bowls it on a length outside 
off with the ball seaming away. Stirling pushes at it, looking to drive and gets a thin 
edge. Goes high to the keeper's right but he makes no mistake, taking it high above his 
right shoulder. Zimbabwe have their first breakthrough! 
Paul Stirling c †Gumbie b Muzarabani 8 (10b 2x4 0x6 10m) SR: 80 
Curtis Campher, last match's half-centurion",2.3,W,0.0,"Muzarabani to Stirling, OUT  .Edged behind! And Stirling walks immediately! Muzarabani bowls it on a length outside  .off with the ball seaming away. Stirling pushes at it, looking to drive and gets a thin  .edge. Goes high to the keeper's right but he makes no mistake, taking it high above his  .right shoulder. Zimbabwe have their first breakthrough!  .Paul Stirling c †Gumbie b Muzarabani 8 (10b 2x4 0x6 10m) SR: 80",Muzarabani,Stirling,0.0,0,0,1,1,0.0,1,c †Gumbie b Muzarabani,0
"2.4 
1w 
Muzarabani to Campher, 1 wide 
Muzarabani fires a length ball down leg for a wide",2.4,1w,1.0,"Muzarabani to Campher, 1 wide  .Muzarabani fires a length ball down leg for a wide",Muzarabani,Campher,0.0,0,0,0,0,1.0,0,,1
