raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Chigumbura to Obuya, no run",0.1,0,0.0,"Chigumbura to Obuya, no run",Chigumbura,Obuya,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Chigumbura to Obuya, no run",0.2,0,0.0,"Chigumbura to Obuya, no run",Chigumbura,Obuya,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Chigumbura to Obuya, 1 run",0.3,1,1.0,"Chigumbura to Obuya, 1 run",Chigumbura,Obuya,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Chigumbura to Rakep, no run",0.4,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Chigumbura to Rakep, no run",0.5,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Chigumbura to Rakep, no run 
end of over 11 run  
KENYA: 1/0CRR: 1.00  
Rakep Patel0 (3b) 
David Obuya1 (3b) 
Elton Chigumbura 1-0-1-0",0.6,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"1.1 
2 
Jarvis to Obuya, 2 runs",1.1,2,2.0,"Jarvis to Obuya, 2 runs",Jarvis,Obuya,2.0,0,0,1,1,2.0,0,,1
"1.2 
1 
Jarvis to Obuya, 1 run",1.2,1,1.0,"Jarvis to Obuya, 1 run",Jarvis,Obuya,1.0,0,0,1,1,1.0,0,,1
"1.3 
1nb 
Jarvis to Rakep, (no ball)",1.3,1nb,1.0,"Jarvis to Rakep, (no ball)",Jarvis,Rakep,0.0,0,0,1,0,1.0,0,,1
"1.3 
• 
Jarvis to Rakep, no run",1.3,0,0.0,"Jarvis to Rakep, no run",Jarvis,Rakep,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Jarvis to Rakep, 1 run",1.4,1,1.0,"Jarvis to Rakep, 1 run",Jarvis,Rakep,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Jarvis to Obuya, no run",1.5,0,0.0,"Jarvis to Obuya, no run",Jarvis,Obuya,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Jarvis to Obuya, no run 
end of over 25 runs  
KENYA: 6/0CRR: 3.00  
David Obuya4 (7b) 
Rakep Patel1 (6b) 
Kyle Jarvis 1-0-5-0",1.6,0,0.0,"Jarvis to Obuya, no run",Jarvis,Obuya,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Chigumbura to Rakep, no run",2.1,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"2.2 
2 
Chigumbura to Rakep, 2 runs",2.2,2,2.0,"Chigumbura to Rakep, 2 runs",Chigumbura,Rakep,2.0,0,0,1,1,2.0,0,,1
"2.3 
• 
Chigumbura to Rakep, no run",2.3,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
Chigumbura to Rakep, FOUR runs",2.4,4,4.0,"Chigumbura to Rakep, FOUR runs",Chigumbura,Rakep,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
Chigumbura to Rakep, no run",2.5,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Chigumbura to Rakep, no run 
end of over 36 runs  
KENYA: 12/0CRR: 4.00 • RRR: 6.42 
Rakep Patel7 (12b 1x4) 
David Obuya4 (7b) 
Elton Chigumbura 2-0-7-0",2.6,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Jarvis to Obuya, no run",3.1,0,0.0,"Jarvis to Obuya, no run",Jarvis,Obuya,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Jarvis to Obuya, no run",3.2,0,0.0,"Jarvis to Obuya, no run",Jarvis,Obuya,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Jarvis to Obuya, no run",3.3,0,0.0,"Jarvis to Obuya, no run",Jarvis,Obuya,0.0,0,0,1,1,0.0,0,,0
"3.4 
1 
Jarvis to Obuya, 1 run",3.4,1,1.0,"Jarvis to Obuya, 1 run",Jarvis,Obuya,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Jarvis to Rakep, no run",3.5,0,0.0,"Jarvis to Rakep, no run",Jarvis,Rakep,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Jarvis to Rakep, no run 
end of over 41 run  
KENYA: 13/0CRR: 3.25 • RRR: 6.54 
Rakep Patel7 (14b 1x4) 
David Obuya5 (11b) 
Kyle Jarvis 2-0-6-0",3.6,0,0.0,"Jarvis to Rakep, no run",Jarvis,Rakep,0.0,0,0,1,1,0.0,0,,0
"4.1 
4 
Chigumbura to Obuya, FOUR runs",4.1,4,4.0,"Chigumbura to Obuya, FOUR runs",Chigumbura,Obuya,4.0,1,0,1,1,4.0,0,,1
"4.2 
4 
Chigumbura to Obuya, FOUR runs",4.2,4,4.0,"Chigumbura to Obuya, FOUR runs",Chigumbura,Obuya,4.0,1,0,1,1,4.0,0,,1
"4.3 
3 
Chigumbura to Obuya, 3 runs",4.3,3,3.0,"Chigumbura to Obuya, 3 runs",Chigumbura,Obuya,3.0,0,0,1,1,3.0,0,,1
"4.4 
• 
Chigumbura to Rakep, no run",4.4,0,0.0,"Chigumbura to Rakep, no run",Chigumbura,Rakep,0.0,0,0,1,1,0.0,0,,0
"4.5 
4 
Chigumbura to Rakep, FOUR runs",4.5,4,4.0,"Chigumbura to Rakep, FOUR runs",Chigumbura,Rakep,4.0,1,0,1,1,4.0,0,,1
"4.6 
4 
Chigumbura to Rakep, FOUR runs 
end of over 519 runs  
KENYA: 32/0CRR: 6.40 • RRR: 6.26 
Rakep Patel15 (17b 3x4) 
David Obuya16 (14b 2x4) 
Elton Chigumbura 3-0-26-0",4.6,4,4.0,"Chigumbura to Rakep, FOUR runs",Chigumbura,Rakep,4.0,1,0,1,1,4.0,0,,1
"5.1 
W 
Jarvis to Obuya, OUT 
David Obuya lbw b Jarvis 16 (15b 2x4 0x6 24m) SR: 106.66",5.1,W,0.0,"Jarvis to Obuya, OUT  .David Obuya lbw b Jarvis 16 (15b 2x4 0x6 24m) SR: 106.66",Jarvis,Obuya,0.0,0,0,1,1,0.0,1,lbw b Jarvis,0
"5.2 
2 
Jarvis to Obanda, 2 runs",5.2,2,2.0,"Jarvis to Obanda, 2 runs",Jarvis,Obanda,2.0,0,0,1,1,2.0,0,,1
"5.3 
• 
Jarvis to Obanda, no run",5.3,0,0.0,"Jarvis to Obanda, no run",Jarvis,Obanda,0.0,0,0,1,1,0.0,0,,0
"5.4 
4 
Jarvis to Obanda, FOUR runs",5.4,4,4.0,"Jarvis to Obanda, FOUR runs",Jarvis,Obanda,4.0,1,0,1,1,4.0,0,,1
"5.5 
• 
Jarvis to Obanda, no run",5.5,0,0.0,"Jarvis to Obanda, no run",Jarvis,Obanda,0.0,0,0,1,1,0.0,0,,0
"5.6 
1 
Jarvis to Obanda, 1 run 
end of over 67 runs • 1 wicket 
KENYA: 39/1CRR: 6.50 • RRR: 6.25 
Alex Obanda7 (5b 1x4) 
Rakep Patel15 (17b 3x4) 
Kyle Jarvis 3-0-13-1",5.6,1,1.0,"Jarvis to Obanda, 1 run",Jarvis,Obanda,1.0,0,0,1,1,1.0,0,,1
"6.1 
1 
Price to Obanda, 1 run",6.1,1,1.0,"Price to Obanda, 1 run",Price,Obanda,1.0,0,0,1,1,1.0,0,,1
