raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Muzarabani to Imam-ul-Haq, FOUR runs 
Shot! Full ball, on leg stump, flicks it away over square leg for four",0.1,4,4.0,"Muzarabani to Imam-ul-Haq, FOUR runs  .Shot! Full ball, on leg stump, flicks it away over square leg for four",Muzarabani,Imam-ul-Haq,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Muzarabani to Imam-ul-Haq, no run 
good length ball, on middle stump and angling across the left hander, lets it go",0.2,0,0.0,"Muzarabani to Imam-ul-Haq, no run  .good length ball, on middle stump and angling across the left hander, lets it go",Muzarabani,Imam-ul-Haq,0.0,0,0,1,1,0.0,0,,0
"0.3 
W 
Muzarabani to Imam-ul-Haq, OUT 
Beauty! Full ball, pitches on middle stump and swings back in to the left hander, Imam 
tries to drive, goes through the gate and hits the stumps 
Imam-ul-Haq b Muzarabani 4 (3b 1x4 0x6 2m) SR: 133.33",0.3,W,0.0,"Muzarabani to Imam-ul-Haq, OUT  .Beauty! Full ball, pitches on middle stump and swings back in to the left hander, Imam  .tries to drive, goes through the gate and hits the stumps  .Imam-ul-Haq b Muzarabani 4 (3b 1x4 0x6 2m) SR: 133.33",Muzarabani,Imam-ul-Haq,0.0,0,0,1,1,0.0,1,b Muzarabani,0
"0.4 
• 
Muzarabani to Babar Azam, no run 
full and wide outside off, moves away, lets it go",0.4,0,0.0,"Muzarabani to Babar Azam, no run  .full and wide outside off, moves away, lets it go",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Muzarabani to Babar Azam, no run 
back of length, on off stump, stands tall and defends to off side",0.5,0,0.0,"Muzarabani to Babar Azam, no run  .back of length, on off stump, stands tall and defends to off side",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Muzarabani to Babar Azam, no run 
short ball, outside off, Babar ducks underneath it 
end of over 14 runs • 1 wicket 
PAK: 4/1CRR: 4.00 • RRR: 5.61 
Babar Azam0 (3b) 
Fakhar Zaman0 (0b) 
Blessing Muzarabani 1-0-4-1",0.6,0,0.0,"Muzarabani to Babar Azam, no run  .short ball, outside off, Babar ducks underneath it",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"1.1 
2 
Ngarava to Zaman, 2 runs 
full ball, outside off, drives to point for couple of runs",1.1,2,2.0,"Ngarava to Zaman, 2 runs  .full ball, outside off, drives to point for couple of runs",Ngarava,Zaman,2.0,0,0,1,1,2.0,0,,1
"1.2 
W 
Ngarava to Zaman, OUT 
Gone! good length ball, pitches just outside off and angling in, hits the pad, big shout for 
lbw and up goes the finger of umpire. Review has been taken and it stands umpire call 
as ball was clipping top of leg 
Fakhar Zaman lbw b Ngarava 2 (2b 0x4 0x6 8m) SR: 100",1.2,W,0.0,"Ngarava to Zaman, OUT  .Gone! good length ball, pitches just outside off and angling in, hits the pad, big shout for  .lbw and up goes the finger of umpire. Review has been taken and it stands umpire call  .as ball was clipping top of leg  .Fakhar Zaman lbw b Ngarava 2 (2b 0x4 0x6 8m) SR: 100",Ngarava,Zaman,0.0,0,0,1,1,0.0,1,lbw b Ngarava,0
"1.3 
4 
Ngarava to Haider Ali, FOUR runs 
Short in length, outside off, Haider cuts it to backward point fence for four",1.3,4,4.0,"Ngarava to Haider Ali, FOUR runs  .Short in length, outside off, Haider cuts it to backward point fence for four",Ngarava,Haider Ali,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
Ngarava to Haider Ali, FOUR runs 
This time on the leg side, short in length, down the leg side, flicks it away to fine leg 
fence for four more",1.4,4,4.0,"Ngarava to Haider Ali, FOUR runs  .This time on the leg side, short in length, down the leg side, flicks it away to fine leg  .fence for four more",Ngarava,Haider Ali,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Ngarava to Haider Ali, no run 
full ball, outside off, drives to short cover",1.5,0,0.0,"Ngarava to Haider Ali, no run  .full ball, outside off, drives to short cover",Ngarava,Haider Ali,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Ngarava to Haider Ali, FOUR runs 
Shot! Full ball just outside off, leans well forward and drives to deep point for four 
end of over 214 runs • 1 wicket 
PAK: 18/2CRR: 9.00 • RRR: 5.43 
Haider Ali12 (4b 3x4) 
Babar Azam0 (3b) 
Richard Ngarava 1-0-14-1 
Blessing Muzarabani 1-0-4-1",1.6,4,4.0,"Ngarava to Haider Ali, FOUR runs  .Shot! Full ball just outside off, leans well forward and drives to deep point for four",Ngarava,Haider Ali,4.0,1,0,1,1,4.0,0,,1
"2.1 
1 
Muzarabani to Babar Azam, 1 run 
good length ball, on off stump, edges it down to third man",2.1,1,1.0,"Muzarabani to Babar Azam, 1 run  .good length ball, on off stump, edges it down to third man",Muzarabani,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Muzarabani to Haider Ali, no run 
full ball, on off stump, defends to off side",2.2,0,0.0,"Muzarabani to Haider Ali, no run  .full ball, on off stump, defends to off side",Muzarabani,Haider Ali,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Muzarabani to Haider Ali, no run 
good length ball, on middle and leg stump, pushes to mid-on",2.3,0,0.0,"Muzarabani to Haider Ali, no run  .good length ball, on middle and leg stump, pushes to mid-on",Muzarabani,Haider Ali,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Muzarabani to Haider Ali, no run 
full ball, on middle stump, pushes to cover",2.4,0,0.0,"Muzarabani to Haider Ali, no run  .full ball, on middle stump, pushes to cover",Muzarabani,Haider Ali,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Muzarabani to Haider Ali, 1 run 
on middle and leg stump, turned away to leg side",2.5,1,1.0,"Muzarabani to Haider Ali, 1 run  .on middle and leg stump, turned away to leg side",Muzarabani,Haider Ali,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Muzarabani to Babar Azam, no run 
back of length, just outside off, punches to off side 
end of over 32 runs  
PAK: 20/2CRR: 6.66 • RRR: 5.51 
Babar Azam1 (5b) 
Haider Ali13 (8b 3x4) 
Blessing Muzarabani 2-0-6-1 
Richard Ngarava 1-0-14-1",2.6,0,0.0,"Muzarabani to Babar Azam, no run  .back of length, just outside off, punches to off side",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"3.1 
W 
Ngarava to Haider Ali, OUT 
Full ball, on middle and leg stump, swings back into the right hander, hits the pad in line 
of middle and leg stump, big shout for lbw and up goes the finger. Review has been 
taken it shows no bat and ball hitting the stumps 
Haider Ali lbw b Ngarava 13 (9b 3x4 0x6 8m) SR: 144.44",3.1,W,0.0,"Ngarava to Haider Ali, OUT  .Full ball, on middle and leg stump, swings back into the right hander, hits the pad in line  .of middle and leg stump, big shout for lbw and up goes the finger. Review has been  .taken it shows no bat and ball hitting the stumps  .Haider Ali lbw b Ngarava 13 (9b 3x4 0x6 8m) SR: 144.44",Ngarava,Haider Ali,0.0,0,0,1,1,0.0,1,lbw b Ngarava,0
"3.2 
• 
Ngarava to Rizwan, no run 
good length ball, just outside off and moves away, tries to push at it and misses it",3.2,0,0.0,"Ngarava to Rizwan, no run  .good length ball, just outside off and moves away, tries to push at it and misses it",Ngarava,Rizwan,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Ngarava to Rizwan, 1 run 
good length ball, on off stump, angles it to gully for a single",3.3,1,1.0,"Ngarava to Rizwan, 1 run  .good length ball, on off stump, angles it to gully for a single",Ngarava,Rizwan,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Ngarava to Babar Azam, no run 
good length ball, on off stump, pushes to off side",3.4,0,0.0,"Ngarava to Babar Azam, no run  .good length ball, on off stump, pushes to off side",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"3.5 
4 
Ngarava to Babar Azam, FOUR runs 
back of length, stands tall and punches to deep point fence for four",3.5,4,4.0,"Ngarava to Babar Azam, FOUR runs  .back of length, stands tall and punches to deep point fence for four",Ngarava,Babar Azam,4.0,1,0,1,1,4.0,0,,1
"3.6 
• 
Ngarava to Babar Azam, no run 
short ball, ducks underneath it 
end of over 45 runs • 1 wicket 
PAK: 25/3CRR: 6.25 • RRR: 5.52 
Babar Azam5 (8b 1x4) 
Mohammad Rizwan1 (2b) 
Richard Ngarava 2-0-19-2 
Blessing Muzarabani 2-0-6-1",3.6,0,0.0,"Ngarava to Babar Azam, no run  .short ball, ducks underneath it",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, pushes to cover",4.1,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, pushes to cover",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Muzarabani to Rizwan, no run 
good length ball, just outside off and moves away, plays and misses",4.2,0,0.0,"Muzarabani to Rizwan, no run  .good length ball, just outside off and moves away, plays and misses",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Muzarabani to Rizwan, no run 
good length ball, outside off and left alone",4.3,0,0.0,"Muzarabani to Rizwan, no run  .good length ball, outside off and left alone",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, pushes to cover",4.4,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, pushes to cover",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"4.5 
1lb 
Muzarabani to Rizwan, 1 leg bye 
good length ball, on leg stump, off the pads to fine leg",4.5,1lb,1.0,"Muzarabani to Rizwan, 1 leg bye  .good length ball, on leg stump, off the pads to fine leg",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Muzarabani to Babar Azam, no run 
good length ball, just outside off and left alone 
end of over 5Maiden 
PAK: 26/3CRR: 5.20 • RRR: 5.62 
Babar Azam5 (9b 1x4) 
Mohammad Rizwan1 (7b) 
Blessing Muzarabani 3-1-6-1 
Richard Ngarava 2-0-19-2",4.6,0,0.0,"Muzarabani to Babar Azam, no run  .good length ball, just outside off and left alone",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Ngarava to Rizwan, no run 
full ball, on middle stump, gets well forward and defends it back to bowler",5.1,0,0.0,"Ngarava to Rizwan, no run  .full ball, on middle stump, gets well forward and defends it back to bowler",Ngarava,Rizwan,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Ngarava to Rizwan, no run 
again on target, defended back to bowler",5.2,0,0.0,"Ngarava to Rizwan, no run  .again on target, defended back to bowler",Ngarava,Rizwan,0.0,0,0,1,1,0.0,0,,0
"5.3 
1 
Ngarava to Rizwan, 1 run 
short and wide outside off, cuts it down to third man",5.3,1,1.0,"Ngarava to Rizwan, 1 run  .short and wide outside off, cuts it down to third man",Ngarava,Rizwan,1.0,0,0,1,1,1.0,0,,1
"5.4 
• 
Ngarava to Babar Azam, no run 
full ball, on off stump, pushes to cover",5.4,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on off stump, pushes to cover",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"5.5 
• 
Ngarava to Babar Azam, no run 
short ball, outside off, cuts it to point",5.5,0,0.0,"Ngarava to Babar Azam, no run  .short ball, outside off, cuts it to point",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"5.6 
• 
Ngarava to Babar Azam, no run 
full ball, on leg stump, comes well forward and defended back to bowler 
end of over 61 run  
PAK: 27/3CRR: 4.50 • RRR: 5.72 
Babar Azam5 (12b 1x4) 
Mohammad Rizwan2 (10b) 
Richard Ngarava 3-0-20-2 
Blessing Muzarabani 3-1-6-1",5.6,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on leg stump, comes well forward and defended back to bowler",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"6.1 
2 
Muzarabani to Rizwan, 2 runs 
full ball, on middle and leg stump, whips it away to midwicket for couple of runs",6.1,2,2.0,"Muzarabani to Rizwan, 2 runs  .full ball, on middle and leg stump, whips it away to midwicket for couple of runs",Muzarabani,Rizwan,2.0,0,0,1,1,2.0,0,,1
"6.2 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, pushes to cover",6.2,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, pushes to cover",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"6.3 
• 
Muzarabani to Rizwan, no run 
good length ball, on middle and leg stump, turned to square leg",6.3,0,0.0,"Muzarabani to Rizwan, no run  .good length ball, on middle and leg stump, turned to square leg",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"6.4 
• 
Muzarabani to Rizwan, no run 
short ball, goes for the pull shot and mistimes to leg side",6.4,0,0.0,"Muzarabani to Rizwan, no run  .short ball, goes for the pull shot and mistimes to leg side",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, drives back to bowler",6.5,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, drives back to bowler",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"6.6 
1 
Muzarabani to Rizwan, 1 run 
short ball, on leg stump, pulls it down to fine leg 
end of over 73 runs  
PAK: 30/3CRR: 4.28 • RRR: 5.79 
Mohammad Rizwan5 (16b) 
Babar Azam5 (12b 1x4) 
Blessing Muzarabani 4-1-9-1 
Richard Ngarava 3-0-20-2",6.6,1,1.0,"Muzarabani to Rizwan, 1 run  .short ball, on leg stump, pulls it down to fine leg",Muzarabani,Rizwan,1.0,0,0,1,1,1.0,0,,1
"7.1 
1 
Ngarava to Rizwan, 1 run 
short in length, on leg stump, turned away to fine leg",7.1,1,1.0,"Ngarava to Rizwan, 1 run  .short in length, on leg stump, turned away to fine leg",Ngarava,Rizwan,1.0,0,0,1,1,1.0,0,,1
"7.2 
• 
Ngarava to Babar Azam, no run 
good length ball, on off stump, punched to point",7.2,0,0.0,"Ngarava to Babar Azam, no run  .good length ball, on off stump, punched to point",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"7.3 
• 
Ngarava to Babar Azam, no run 
full ball, on off stump, comes well forward and pushes to cover",7.3,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on off stump, comes well forward and pushes to cover",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"7.4 
4 
Ngarava to Babar Azam, FOUR runs 
Shot! Full ball, just outside off, leans well forward and drives to extra cover fence for 
four",7.4,4,4.0,"Ngarava to Babar Azam, FOUR runs  .Shot! Full ball, just outside off, leans well forward and drives to extra cover fence for  .four",Ngarava,Babar Azam,4.0,1,0,1,1,4.0,0,,1
"7.5 
• 
Ngarava to Babar Azam, no run 
full ball, on off stump, pushes to cover",7.5,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on off stump, pushes to cover",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"7.6 
• 
Ngarava to Babar Azam, no run 
full ball, outside off, driven to cover 
end of over 85 runs  
PAK: 35/3CRR: 4.37 • RRR: 5.80 
Babar Azam9 (17b 2x4) 
Mohammad Rizwan6 (17b) 
Richard Ngarava 4-0-25-2 
Blessing Muzarabani 4-1-9-1",7.6,0,0.0,"Ngarava to Babar Azam, no run  .full ball, outside off, driven to cover",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"8.1 
1w 
Muzarabani to Rizwan, 1 wide 
good length ball, sliding down the leg side through to keeper for a wide",8.1,1w,1.0,"Muzarabani to Rizwan, 1 wide  .good length ball, sliding down the leg side through to keeper for a wide",Muzarabani,Rizwan,0.0,0,0,0,0,1.0,0,,1
"8.1 
1 
Muzarabani to Rizwan, 1 run 
on middle and leg stump, pushes to mid-on for a quick single",8.1,1,1.0,"Muzarabani to Rizwan, 1 run  .on middle and leg stump, pushes to mid-on for a quick single",Muzarabani,Rizwan,1.0,0,0,1,1,1.0,0,,1
"8.2 
• 
Muzarabani to Babar Azam, no run 
good length ball, angling in, goes bck and defends it awkwardly",8.2,0,0.0,"Muzarabani to Babar Azam, no run  .good length ball, angling in, goes bck and defends it awkwardly",Muzarabani,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"8.3 
1 
Muzarabani to Babar Azam, 1 run 
good length all, on leg stump, flicked away down to fine leg",8.3,1,1.0,"Muzarabani to Babar Azam, 1 run  .good length all, on leg stump, flicked away down to fine leg",Muzarabani,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"8.4 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, pushed to cover",8.4,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, pushed to cover",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"8.5 
• 
Muzarabani to Rizwan, no run 
good length ball, on target, defended on the front foot",8.5,0,0.0,"Muzarabani to Rizwan, no run  .good length ball, on target, defended on the front foot",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"8.6 
• 
Muzarabani to Rizwan, no run 
full ball, on off stump, drives down the ground to mid-off 
end of over 93 runs  
PAK: 38/3CRR: 4.22 • RRR: 5.87 
Mohammad Rizwan7 (21b) 
Babar Azam10 (19b 2x4) 
Blessing Muzarabani 5-1-12-1 
Richard Ngarava 4-0-25-2",8.6,0,0.0,"Muzarabani to Rizwan, no run  .full ball, on off stump, drives down the ground to mid-off",Muzarabani,Rizwan,0.0,0,0,1,1,0.0,0,,0
"9.1 
• 
Ngarava to Babar Azam, no run 
back of length, on leg stump, goes back and pushes to mid-on",9.1,0,0.0,"Ngarava to Babar Azam, no run  .back of length, on leg stump, goes back and pushes to mid-on",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"9.2 
• 
Ngarava to Babar Azam, no run 
full ball, on off stump, pushes to cover",9.2,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on off stump, pushes to cover",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"9.3 
4 
Ngarava to Babar Azam, FOUR runs 
Shot! Full ball, outside off, leans well forward and drives to extra cover fence for four",9.3,4,4.0,"Ngarava to Babar Azam, FOUR runs  .Shot! Full ball, outside off, leans well forward and drives to extra cover fence for four",Ngarava,Babar Azam,4.0,1,0,1,1,4.0,0,,1
"9.4 
4 
Ngarava to Babar Azam, FOUR runs 
good length ball, on leg stump, gets across and flicks it away down to fine leg fence for 
four more",9.4,4,4.0,"Ngarava to Babar Azam, FOUR runs  .good length ball, on leg stump, gets across and flicks it away down to fine leg fence for  .four more",Ngarava,Babar Azam,4.0,1,0,1,1,4.0,0,,1
"9.5 
• 
Ngarava to Babar Azam, no run 
short in length, on leg stump, tries to flick it away, misses it and takes it on the pad",9.5,0,0.0,"Ngarava to Babar Azam, no run  .short in length, on leg stump, tries to flick it away, misses it and takes it on the pad",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"9.6 
• 
Ngarava to Babar Azam, no run 
full ball, on off stump, pushes to off side 
end of over 108 runs  
PAK: 46/3CRR: 4.60 • RRR: 5.82 
Babar Azam18 (25b 4x4) 
Mohammad Rizwan7 (21b) 
Richard Ngarava 5-0-33-2 
Blessing Muzarabani 5-1-12-1",9.6,0,0.0,"Ngarava to Babar Azam, no run  .full ball, on off stump, pushes to off side",Ngarava,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"10.1 
1 
Chisoro to Rizwan, 1 run 
short in length, outside off, angles it to gully",10.1,1,1.0,"Chisoro to Rizwan, 1 run  .short in length, outside off, angles it to gully",Chisoro,Rizwan,1.0,0,0,1,1,1.0,0,,1
"10.2 
1 
Chisoro to Babar Azam, 1 run 
short in length, outside off, cuts to deep cover",10.2,1,1.0,"Chisoro to Babar Azam, 1 run  .short in length, outside off, cuts to deep cover",Chisoro,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"10.3 
1 
Chisoro to Rizwan, 1 run 
tossed up, outside off, driven to deep cover",10.3,1,1.0,"Chisoro to Rizwan, 1 run  .tossed up, outside off, driven to deep cover",Chisoro,Rizwan,1.0,0,0,1,1,1.0,0,,1
"10.4 
1 
Chisoro to Babar Azam, 1 run 
short in length, on off stump, punches to long-off",10.4,1,1.0,"Chisoro to Babar Azam, 1 run  .short in length, on off stump, punches to long-off",Chisoro,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"10.5 
1 
Chisoro to Rizwan, 1 run 
short ball, outside off, cuts to deep point",10.5,1,1.0,"Chisoro to Rizwan, 1 run  .short ball, outside off, cuts to deep point",Chisoro,Rizwan,1.0,0,0,1,1,1.0,0,,1
"10.6 
• 
Chisoro to Babar Azam, no run 
tossed up, on middle stump, came well forward and defended to leg side 
end of over 115 runs  
PAK: 51/3CRR: 4.63 • RRR: 5.84 
Babar Azam20 (28b 4x4) 
Mohammad Rizwan10 (24b) 
Tendai Chisoro 1-0-5-0 
Richard Ngarava 5-0-33-2",10.6,0,0.0,"Chisoro to Babar Azam, no run  .tossed up, on middle stump, came well forward and defended to leg side",Chisoro,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"11.1 
• 
Tiripano to Rizwan, no run 
short in length, outside off, mistimed drive to cover",11.1,0,0.0,"Tiripano to Rizwan, no run  .short in length, outside off, mistimed drive to cover",Tiripano,Rizwan,0.0,0,0,1,1,0.0,0,,0
"11.2 
W 
Tiripano to Rizwan, OUT 
Zimbabwe strikes again! Full ball, just outside off and angling in, Rizwan tries to drive 
away from the body, thick inside edge onto stumps 
Mohammad Rizwan b Tiripano 10 (26b 0x4 0x6 32m) SR: 38.46",11.2,W,0.0,"Tiripano to Rizwan, OUT  .Zimbabwe strikes again! Full ball, just outside off and angling in, Rizwan tries to drive  .away from the body, thick inside edge onto stumps  .Mohammad Rizwan b Tiripano 10 (26b 0x4 0x6 32m) SR: 38.46",Tiripano,Rizwan,0.0,0,0,1,1,0.0,1,b Tiripano,0
"11.3 
1 
Tiripano to Iftikhar, 1 run 
short in length, outside off, cuts it down to third man",11.3,1,1.0,"Tiripano to Iftikhar, 1 run  .short in length, outside off, cuts it down to third man",Tiripano,Iftikhar,1.0,0,0,1,1,1.0,0,,1
"11.4 
1 
Tiripano to Babar Azam, 1 run 
good length ball, outside off, driven to deep cover",11.4,1,1.0,"Tiripano to Babar Azam, 1 run  .good length ball, outside off, driven to deep cover",Tiripano,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"11.5 
• 
Tiripano to Iftikhar, no run 
full ball, just wide outside off and left alone",11.5,0,0.0,"Tiripano to Iftikhar, no run  .full ball, just wide outside off and left alone",Tiripano,Iftikhar,0.0,0,0,1,1,0.0,0,,0
"11.6 
• 
Tiripano to Iftikhar, no run 
full ball, outside off and left alone 
end of over 122 runs • 1 wicket 
PAK: 53/4CRR: 4.41 • RRR: 5.94 
Iftikhar Ahmed1 (3b) 
Babar Azam21 (29b 4x4) 
Donald Tiripano 1-0-2-1 
Tendai Chisoro 1-0-5-0",11.6,0,0.0,"Tiripano to Iftikhar, no run  .full ball, outside off and left alone",Tiripano,Iftikhar,0.0,0,0,1,1,0.0,0,,0
"12.1 
1 
Chisoro to Babar Azam, 1 run 
low full toss on off stump, pushes to cover, misfielded cost a single",12.1,1,1.0,"Chisoro to Babar Azam, 1 run  .low full toss on off stump, pushes to cover, misfielded cost a single",Chisoro,Babar Azam,1.0,0,0,1,1,1.0,0,,1
"12.2 
1 
Chisoro to Iftikhar, 1 run 
short in length, outside off, cuts to deep point",12.2,1,1.0,"Chisoro to Iftikhar, 1 run  .short in length, outside off, cuts to deep point",Chisoro,Iftikhar,1.0,0,0,1,1,1.0,0,,1
"12.3 
• 
Chisoro to Babar Azam, no run 
tossed up, outside off, driven to cover",12.3,0,0.0,"Chisoro to Babar Azam, no run  .tossed up, outside off, driven to cover",Chisoro,Babar Azam,0.0,0,0,1,1,0.0,0,,0
"12.4 
1 
Chisoro to Babar Azam, 1 run 
short in length, outside off, cuts to deep point",12.4,1,1.0,"Chisoro to Babar Azam, 1 run  .short in length, outside off, cuts to deep point",Chisoro,Babar Azam,1.0,0,0,1,1,1.0,0,,1
