raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mpofu to Upul Tharanga, no run 
and an appeal right away, some movement from the seam, hits Tharanga on the knee 
roll, umpire says not out, looked to be a bit high, might have been going down leg",0.1,0,0.0,"Mpofu to Upul Tharanga, no run  .and an appeal right away, some movement from the seam, hits Tharanga on the knee  .roll, umpire says not out, looked to be a bit high, might have been going down leg",Mpofu,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mpofu to Upul Tharanga, no run 
comes forward and eases a fuller one towards mid off",0.2,0,0.0,"Mpofu to Upul Tharanga, no run  .comes forward and eases a fuller one towards mid off",Mpofu,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mpofu to Upul Tharanga, no run 
just around a length and going across Tharanga who comes out and blocks it towards 
covers",0.3,0,0.0,"Mpofu to Upul Tharanga, no run  .just around a length and going across Tharanga who comes out and blocks it towards  .covers",Mpofu,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Mpofu to Upul Tharanga, FOUR runs 
and he is away now, gets one pitched up and slightly wide outside off, Tharanga's zone 
all the way, gets the foot out and sends it between the gap between cover and point",0.4,4,4.0,"Mpofu to Upul Tharanga, FOUR runs  .and he is away now, gets one pitched up and slightly wide outside off, Tharanga's zone  .all the way, gets the foot out and sends it between the gap between cover and point",Mpofu,Upul Tharanga,4.0,1,0,1,1,4.0,0,,1
"0.5 
1 
Mpofu to Upul Tharanga, 1 run 
goes straighter now, on the stumps, Tharanga shuffles and works it wide of midwicket",0.5,1,1.0,"Mpofu to Upul Tharanga, 1 run  .goes straighter now, on the stumps, Tharanga shuffles and works it wide of midwicket",Mpofu,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Mpofu to Dilshan, 1 run 
Dilshan looks for the flailing drive through covers, it is too close to off stump, and he 
closes the face of the bat to hit it away to mid on 
end of over 16 runs  
SL: 6/0CRR: 6.00  
Tillakaratne Dilshan1 (1b) 
Upul Tharanga5 (5b 1x4) 
Chris Mpofu 1-0-6-0 
Panyangara on from the other end",0.6,1,1.0,"Mpofu to Dilshan, 1 run  .Dilshan looks for the flailing drive through covers, it is too close to off stump, and he  .closes the face of the bat to hit it away to mid on",Mpofu,Dilshan,1.0,0,0,1,1,1.0,0,,1
"1.1 
4 
Panyangara to Dilshan, FOUR runs 
skiddy length delivery that angles in to the pads, Dilshan goes through the straight drive 
with a flick of the wrists, and mid on dives over the ball to let it through",1.1,4,4.0,"Panyangara to Dilshan, FOUR runs  .skiddy length delivery that angles in to the pads, Dilshan goes through the straight drive  .with a flick of the wrists, and mid on dives over the ball to let it through",Panyangara,Dilshan,4.0,1,0,1,1,4.0,0,,1
"1.2 
6 
Panyangara to Dilshan, SIX runs 
hammered, this could be painful for Zimbabwe if they don't sort out Dilshan, who gets 
one marginally short and latches on to it hungrily, pulling it over deep midwicket into the 
grass banks",1.2,6,6.0,"Panyangara to Dilshan, SIX runs  .hammered, this could be painful for Zimbabwe if they don't sort out Dilshan, who gets  .one marginally short and latches on to it hungrily, pulling it over deep midwicket into the  .grass banks",Panyangara,Dilshan,6.0,0,1,1,1,6.0,0,,1
"1.3 
4 
Panyangara to Dilshan, FOUR runs 
this time he goes full, but provides Dilshan just a hint of width outside off stump, 
mistake, he latches on to it with that whiplash drive that goes in the huge gap between 
extra cover and mid off, horror start for Panyangara",1.3,4,4.0,"Panyangara to Dilshan, FOUR runs  .this time he goes full, but provides Dilshan just a hint of width outside off stump,  .mistake, he latches on to it with that whiplash drive that goes in the huge gap between  .extra cover and mid off, horror start for Panyangara",Panyangara,Dilshan,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
Panyangara to Dilshan, FOUR runs 
more trouble for Zimbabwe, this time Dilshan gets on top of one that bounces outside 
off stump, cuts hard, and the ball races past point and beats squarish third man who 
was hardly a few paces from it",1.4,4,4.0,"Panyangara to Dilshan, FOUR runs  .more trouble for Zimbabwe, this time Dilshan gets on top of one that bounces outside  .off stump, cuts hard, and the ball races past point and beats squarish third man who  .was hardly a few paces from it",Panyangara,Dilshan,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Panyangara to Dilshan, no run 
finally some respite for the bowler, Dilshan defends an angled delivery with the 
straightest of bats in to the off side",1.5,0,0.0,"Panyangara to Dilshan, no run  .finally some respite for the bowler, Dilshan defends an angled delivery with the  .straightest of bats in to the off side",Panyangara,Dilshan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Panyangara to Dilshan, no run 
another one blocked in to the off side, still 18 runs off this over 
end of over 218 runs  
SL: 24/0CRR: 12.00  
Tillakaratne Dilshan19 (7b 3x4 1x6) 
Upul Tharanga5 (5b 1x4) 
Tinashe Panyangara 1-0-18-0 
Chris Mpofu 1-0-6-0",1.6,0,0.0,"Panyangara to Dilshan, no run  .another one blocked in to the off side, still 18 runs off this over",Panyangara,Dilshan,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Mpofu to Upul Tharanga, no run 
too close to off stump for Tharanga to go for the drive, eases it away to short extra 
cover",2.1,0,0.0,"Mpofu to Upul Tharanga, no run  .too close to off stump for Tharanga to go for the drive, eases it away to short extra  .cover",Mpofu,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Mpofu to Upul Tharanga, FOUR runs 
this will help, poor bowling, gentle full delivery way outside off stump, Tharanga loves it 
there, and reaches out to smash it over covers",2.2,4,4.0,"Mpofu to Upul Tharanga, FOUR runs  .this will help, poor bowling, gentle full delivery way outside off stump, Tharanga loves it  .there, and reaches out to smash it over covers",Mpofu,Upul Tharanga,4.0,1,0,1,1,4.0,0,,1
"2.3 
1 
Mpofu to Upul Tharanga, 1 run 
goes leg stump now, and Tharanga flicks it away wide of midwicket 
Bruce: ""Hope they issued hard hats to the crowd. Go Dishan, you good thing!!!""",2.3,1,1.0,"Mpofu to Upul Tharanga, 1 run  .goes leg stump now, and Tharanga flicks it away wide of midwicket",Mpofu,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
"2.4 
4 
Mpofu to Dilshan, FOUR runs 
whoops, Dilshan is in some mood today, not much wrong with this one, slowish length 
ball around middle, but Dilshan shuffles a bit and heaves it away with those wrists 
backward of square leg, and fine leg had no chance",2.4,4,4.0,"Mpofu to Dilshan, FOUR runs  .whoops, Dilshan is in some mood today, not much wrong with this one, slowish length  .ball around middle, but Dilshan shuffles a bit and heaves it away with those wrists  .backward of square leg, and fine leg had no chance",Mpofu,Dilshan,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
Mpofu to Dilshan, no run 
looks to pull this one away through midwicket, but gets an inside edge on to body pad 
and close to off stump",2.5,0,0.0,"Mpofu to Dilshan, no run  .looks to pull this one away through midwicket, but gets an inside edge on to body pad  .and close to off stump",Mpofu,Dilshan,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Mpofu to Dilshan, no run 
slower one this time, well bowled, he picks it late and defends it down the track 
end of over 39 runs  
SL: 33/0CRR: 11.00  
Tillakaratne Dilshan23 (10b 4x4 1x6) 
Upul Tharanga10 (8b 2x4) 
Chris Mpofu 2-0-15-0 
Tinashe Panyangara 1-0-18-0",2.6,0,0.0,"Mpofu to Dilshan, no run  .slower one this time, well bowled, he picks it late and defends it down the track",Mpofu,Dilshan,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Panyangara to Upul Tharanga, no run 
bounces outside off stump from short of a good length, left alone quietly",3.1,0,0.0,"Panyangara to Upul Tharanga, no run  .bounces outside off stump from short of a good length, left alone quietly",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"3.2 
1 
Panyangara to Upul Tharanga, 1 run 
better start from Panyangara to the over, fuller now around off and Tharanga drives it 
without power to mid off 
Atif: ""I can't believe this ! i just changed my captain from Dilshan to Malinga minutes 
before the toss.""",3.2,1,1.0,"Panyangara to Upul Tharanga, 1 run  .better start from Panyangara to the over, fuller now around off and Tharanga drives it  .without power to mid off",Panyangara,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
"3.3 
1 
Panyangara to Dilshan, 1 run 
again Dilshan latches on to one that is marginally short, doesn't bounce as much as 
Dilshan expected but he still pulls it away, there is man at deep midwicket now",3.3,1,1.0,"Panyangara to Dilshan, 1 run  .again Dilshan latches on to one that is marginally short, doesn't bounce as much as  .Dilshan expected but he still pulls it away, there is man at deep midwicket now",Panyangara,Dilshan,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Panyangara to Upul Tharanga, no run 
bit of width outside off stump, he opens the face to guide it to backward point",3.4,0,0.0,"Panyangara to Upul Tharanga, no run  .bit of width outside off stump, he opens the face to guide it to backward point",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Panyangara to Upul Tharanga, no run 
good over so far, cramps him for room with one on the stumps, pushed away in to the 
leg side",3.5,0,0.0,"Panyangara to Upul Tharanga, no run  .good over so far, cramps him for room with one on the stumps, pushed away in to the  .leg side",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Panyangara to Upul Tharanga, no run 
and almost gets Tharanga this time, had him feeling for one that was angled across on 
off stump, Tharanga brought down an angled bat, and the inside edge rolled away 
perilously close to the stumps 
end of over 42 runs  
SL: 35/0CRR: 8.75  
Upul Tharanga11 (13b 2x4) 
Tillakaratne Dilshan24 (11b 4x4 1x6) 
Tinashe Panyangara 2-0-20-0 
Chris Mpofu 2-0-15-0 
Zimbabwe are back to normal service now, as Ray Price comes on to bowl",3.6,0,0.0,"Panyangara to Upul Tharanga, no run  .and almost gets Tharanga this time, had him feeling for one that was angled across on  .off stump, Tharanga brought down an angled bat, and the inside edge rolled away  .perilously close to the stumps",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Price to Dilshan, no run 
pushed through flat on middle stump, some turn, he plays it out towards covers",4.1,0,0.0,"Price to Dilshan, no run  .pushed through flat on middle stump, some turn, he plays it out towards covers",Price,Dilshan,0.0,0,0,1,1,0.0,0,,0
"4.2 
1 
Price to Dilshan, 1 run 
coming slowly on middle stump from a length, he goes back and works it away in front 
of square leg",4.2,1,1.0,"Price to Dilshan, 1 run  .coming slowly on middle stump from a length, he goes back and works it away in front  .of square leg",Price,Dilshan,1.0,0,0,1,1,1.0,0,,1
"4.3 
1 
Price to Upul Tharanga, 1 run 
bowled quicker and very flat, he pushes hard at it",4.3,1,1.0,"Price to Upul Tharanga, 1 run  .bowled quicker and very flat, he pushes hard at it",Price,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
"4.4 
4 
Price to Dilshan, FOUR runs 
Dilshan takes Price on, lovely use of the feet, gets to the pitch and opens up to drive it 
past short extra cover",4.4,4,4.0,"Price to Dilshan, FOUR runs  .Dilshan takes Price on, lovely use of the feet, gets to the pitch and opens up to drive it  .past short extra cover",Price,Dilshan,4.0,1,0,1,1,4.0,0,,1
"4.5 
• 
Price to Dilshan, no run 
nudged backward of square off the back foot",4.5,0,0.0,"Price to Dilshan, no run  .nudged backward of square off the back foot",Price,Dilshan,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Price to Dilshan, no run 
thinks about the charge again, but stays in the crease to block this ball coming in with 
the angle on the leg side 
end of over 56 runs  
SL: 41/0CRR: 8.20  
Tillakaratne Dilshan29 (16b 5x4 1x6) 
Upul Tharanga12 (14b 2x4) 
Ray Price 1-0-6-0 
Tinashe Panyangara 2-0-20-0",4.6,0,0.0,"Price to Dilshan, no run  .thinks about the charge again, but stays in the crease to block this ball coming in with  .the angle on the leg side",Price,Dilshan,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Panyangara to Upul Tharanga, no run 
111.6 slower one, he adjusts the front foot movement to push it away in to covers",5.1,0,0.0,"Panyangara to Upul Tharanga, no run  .111.6 slower one, he adjusts the front foot movement to push it away in to covers",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"5.2 
• 
Panyangara to Upul Tharanga, no run 
short and wide, but he cannot capitalise as he reaches out to play the cut, the ball kept 
low, that's why",5.2,0,0.0,"Panyangara to Upul Tharanga, no run  .short and wide, but he cannot capitalise as he reaches out to play the cut, the ball kept  .low, that's why",Panyangara,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"5.3 
2 
Panyangara to Upul Tharanga, 2 runs 
steers this one that is not that wide outside off stump, and it goes through gully's hands 
wide of third man",5.3,2,2.0,"Panyangara to Upul Tharanga, 2 runs  .steers this one that is not that wide outside off stump, and it goes through gully's hands  .wide of third man",Panyangara,Upul Tharanga,2.0,0,0,1,1,2.0,0,,1
"5.4 
4 
Panyangara to Upul Tharanga, FOUR runs 
Tharanga lofts wide of mid on, and Tharanga gets four, friendly length delivery around 
middle and leg stump, and he goes through with the swing, and mid on's desperate dive 
was in vain",5.4,4,4.0,"Panyangara to Upul Tharanga, FOUR runs  .Tharanga lofts wide of mid on, and Tharanga gets four, friendly length delivery around  .middle and leg stump, and he goes through with the swing, and mid on's desperate dive  .was in vain",Panyangara,Upul Tharanga,4.0,1,0,1,1,4.0,0,,1
"5.5 
1 
Panyangara to Upul Tharanga, 1 run 
makes some room outside leg stump now to one that is short of a length, and steers it 
to third man",5.5,1,1.0,"Panyangara to Upul Tharanga, 1 run  .makes some room outside leg stump now to one that is short of a length, and steers it  .to third man",Panyangara,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
"5.6 
• 
Panyangara to Dilshan, no run 
he had set himself up for the slap-drive through extra cover, but it came in off the seam, 
and he under-edged it close to the stumps, he thought he could at least get a single, but 
point was quick to get to the ball 
end of over 67 runs  
SL: 48/0CRR: 8.00  
Tillakaratne Dilshan29 (17b 5x4 1x6) 
Upul Tharanga19 (19b 3x4) 
Tinashe Panyangara 3-0-27-0 
Ray Price 1-0-6-0",5.6,0,0.0,"Panyangara to Dilshan, no run  .he had set himself up for the slap-drive through extra cover, but it came in off the seam,  .and he under-edged it close to the stumps, he thought he could at least get a single, but  .point was quick to get to the ball",Panyangara,Dilshan,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Price to Upul Tharanga, no run 
goes a long way outside leg stump, and looks to cut this one away, but hits it to extra 
cover in the end",6.1,0,0.0,"Price to Upul Tharanga, no run  .goes a long way outside leg stump, and looks to cut this one away, but hits it to extra  .cover in the end",Price,Upul Tharanga,0.0,0,0,1,1,0.0,0,,0
"6.2 
1 
Price to Upul Tharanga, 1 run 
gets a thick inside edge that goes towards square leg as he looks to drive through 
midwicket",6.2,1,1.0,"Price to Upul Tharanga, 1 run  .gets a thick inside edge that goes towards square leg as he looks to drive through  .midwicket",Price,Upul Tharanga,1.0,0,0,1,1,1.0,0,,1
